Gene = OMA1
index = 984
Annotated 5SS: [   98  8006 10288 12643 12848 16200 19540 40741]
Annotated 3SS: [ 7489 10058 12468 12739 16070 19464 40590 65625]
SMsplice 5SS: [  246 10288 12643 12848 15982 16200 19540 34124 34593 40741]
SMsplice 3SS: [10058 12468 12739 15883 16110 19464 34005 34507 40590 64570]
top_k =  1000
Partition function (log Z): -22.716295131905937

Sorted 5' Splice Sites (High to Low Probability):
Position 19540: 0.9822913066167905
Position 12643: 0.961853202783619
Position 12848: 0.9378799242023185
Position 10288: 0.9120891970956875
Position 16200: 0.856627825049606
Position 246: 0.6155961837828539
Position 15982: 0.6050466652702314
Position 16671: 0.30198278196090206
Position 8006: 0.22174879490375898
Position 13397: 0.20064167566546454
Position 25849: 0.1775681241025725
Position 1128: 0.10253650335118668
Position 9504: 0.10216568399561822
Position 1636: 0.09629426181306903
Position 20: 0.09509411485123181
Position 23577: 0.09502753198900812
Position 42: 0.09107752106284372
Position 1098: 0.0878318987036835
Position 15977: 0.08759464965349592
Position 16311: 0.07790497978803816
Position 264: 0.07521497506090713
Position 10592: 0.07381224007031034
Position 16407: 0.07309208225382366
Position 9963: 0.07252683724303936
Position 25835: 0.071308957492431
Position 10204: 0.06553278752687929
Position 111: 0.06477713204374748
Position 7765: 0.061914148655009424
Position 27296: 0.06116508577937209
Position 16615: 0.05838700541212615
Position 4318: 0.05705914604473416
Position 6193: 0.054840099696867955
Position 8249: 0.05426839201588859
Position 26167: 0.04033467610110633
Position 1088: 0.03902064094921877
Position 12873: 0.03746690776912361
Position 2965: 0.03290363713446159
Position 1155: 0.03161806432366703
Position 18877: 0.026759460462978113
Position 7644: 0.01960963413135756
Position 8179: 0.01656447075282928
Position 16583: 0.016052293165727108
Position 27232: 0.014762856382399131
Position 11694: 0.01291060671363766
Position 816: 0.010735617947855262
Position 24348: 0.010664391789162717
Position 20983: 0.01036527177978266
Position 16012: 0.010172276015764897
Position 10295: 0.010085080850064519
Position 19207: 0.009227169042321641
Position 24989: 0.008400604055192504
Position 17380: 0.007875489798302967
Position 23700: 0.007378354949493504
Position 137: 0.006803093510298536
Position 260: 0.006193261942231086
Position 28364: 0.005986492248140725
Position 4481: 0.005726753839554588
Position 12647: 0.005675848177798014
Position 19176: 0.005632932017277713
Position 98: 0.005438980020299768
Position 13751: 0.005006507172547573
Position 2587: 0.004888128431912416
Position 16549: 0.0043714503670890924
Position 15845: 0.003478215280425777
Position 23974: 0.003306970806816976
Position 14265: 0.0031746261127408083
Position 16887: 0.002800929691166982
Position 7685: 0.002582724031458457
Position 1431: 0.0024923903285938463
Position 60: 0.0024791419348838208
Position 65: 0.002460823271539634
Position 15015: 0.002236115339362725
Position 8839: 0.001993702589355194
Position 4991: 0.0016901440782319023
Position 6672: 0.0014598705828410253
Position 3152: 0.0013001845343448468
Position 2808: 0.0012968680847846904
Position 166: 0.0012637284441105773
Position 6179: 0.0012312629675749137
Position 16240: 0.0011657297134887881
Position 952: 0.0010800285029942283
Position 4546: 0.0010522812688966653
Position 17913: 0.0008622855887458959
Position 3973: 0.0008214025412077526
Position 13594: 0.0006992452891475935
Position 24575: 0.0006902942638658019
Position 1383: 0.0006009049692911877
Position 376: 0.0005723951636741584
Position 7626: 0.0004989518528805357
Position 6689: 0.00048742818566895133
Position 36: 0.00041232033637270935
Position 20886: 0.0004018257459966696
Position 384: 0.000377542915449123
Position 14961: 0.00031222094155379103
Position 19812: 0.0003000000995159978
Position 871: 0.00028765136568215235
Position 16262: 0.00024898225517790455
Position 12966: 0.00023385746572195503
Position 983: 0.00023131840454202173
Position 16416: 0.00021897318811096479
Position 19796: 0.0002091123109298213
Position 715: 0.00016231824062956076
Position 224: 0.00011837254418821975
Position 12934: 9.607783895686842e-05
Position 5753: 9.555873211522875e-05
Position 4557: 9.405010531401591e-05
Position 20715: 7.018145823383763e-05
Position 693: 4.941356680372894e-05
Position 642: 4.396662019352678e-05
Position 845: 3.879085523187353e-05
Position 16111: 3.5744643838721014e-05
Position 2176: 3.5254695564218356e-05
Position 403: 2.881496322059499e-05
Position 550: 2.1136357381637835e-05
Position 345: 2.0917263424096016e-05
Position 72: 2.0414003034285572e-05
Position 912: 1.9534297281586754e-05
Position 1269: 1.852717780027721e-05
Position 471: 1.7496806109054033e-05
Position 19596: 1.7186996316756186e-05
Position 174: 1.629613426243495e-05
Position 956: 1.4303529482324879e-05
Position 1435: 1.3271166511617917e-05
Position 281: 1.238974709997213e-05
Position 1640: 1.1959603302377779e-05
Position 539: 1.1328258205624375e-05
Position 1311: 1.0068668425560235e-05
Position 1470: 9.853204276682533e-06
Position 386: 5.11516141683203e-06
Position 1958: 5.0696868202638685e-06
Position 1691: 4.8164581185525444e-06
Position 1814: 4.551726318964804e-06
Position 879: 4.477090294335002e-06
Position 1913: 4.448190181168401e-06
Position 2554: 4.391473285253963e-06
Position 16716: 3.9992108543219474e-06
Position 3029: 3.888970144868151e-06
Position 2242: 3.7048057424146353e-06
Position 1823: 3.5101638972821633e-06
Position 3177: 3.2698329371217144e-06
Position 2818: 2.9834924579541017e-06
Position 102: 2.91670803845968e-06
Position 411: 2.6861782946026644e-06
Position 1220: 2.4547330505122713e-06
Position 2546: 2.3378662380204116e-06
Position 16593: 1.577891929822288e-06
Position 717: 1.5336685530607473e-06
Position 2581: 1.4862014663273694e-06
Position 881: 1.4069573925685267e-06
Position 765: 1.3825074963868103e-06
Position 1233: 1.3629499142892015e-06
Position 1296: 1.1358319029649167e-06
Position 16719: 1.1197702625778325e-06
Position 1159: 9.107323459041718e-07
Position 388: 7.072429603724781e-07
Position 1102: 6.220673803102346e-07
Position 708: 1.063647290096316e-07
Position 669: 9.422051830855848e-08
Position 145: 3.456509565977056e-09
Position 329: 7.527460264661618e-10
Position 74: 1.728707698230141e-10
Position 397: 1.2261584518447089e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 10058: 0.9848291992448761
Position 12468: 0.9678194974768543
Position 19464: 0.9623019706343731
Position 12739: 0.9495768944328548
Position 16110: 0.583257759384181
Position 15883: 0.43760055662448055
Position 16070: 0.3382234274085376
Position 25974: 0.25221687126542197
Position 7489: 0.25175198951755096
Position 16514: 0.2389056000472185
Position 25682: 0.20149789201064633
Position 13249: 0.16989033553412344
Position 15699: 0.16685054749740616
Position 28620: 0.1556437279460342
Position 25761: 0.12815404531909072
Position 1078: 0.12686538421466959
Position 27094: 0.11721705050217399
Position 9172: 0.10216568399561839
Position 16348: 0.09999065235465333
Position 28016: 0.09022755249395323
Position 9902: 0.07540470347079609
Position 15746: 0.07307559517110761
Position 8156: 0.07083286276871786
Position 27723: 0.06952051560233535
Position 1509: 0.06624896903212933
Position 10385: 0.06294078877180062
Position 16556: 0.06059510379816045
Position 4206: 0.056725139902262266
Position 7720: 0.05460226405691428
Position 6117: 0.05398089615029665
Position 26944: 0.05093585564606759
Position 23448: 0.048429913863442565
Position 1024: 0.04654847717045602
Position 16479: 0.041651192016733285
Position 1012: 0.03761240218110252
Position 23497: 0.03396715449881893
Position 33605: 0.032363345164034
Position 26558: 0.030678084287637113
Position 30520: 0.026489077661797665
Position 15767: 0.02646376826522183
Position 18726: 0.025803899707876197
Position 12777: 0.02572490861924671
Position 2733: 0.024941076330215303
Position 1372: 0.024928441906784518
Position 30967: 0.019316185949756044
Position 29856: 0.01851005628699591
Position 24932: 0.01685655946513884
Position 28641: 0.016478960948418917
Position 16538: 0.01628777203153914
Position 19107: 0.015068175769928903
Position 19478: 0.014886980880595264
Position 20952: 0.014125489739413768
Position 23530: 0.012773546042371077
Position 940: 0.012517873124090891
Position 26127: 0.01141619097418095
Position 25271: 0.011394587494507901
Position 11560: 0.011387285728346852
Position 25871: 0.010714866641640034
Position 24861: 0.010637033426905652
Position 23911: 0.010348045296620567
Position 10421: 0.009918627602556625
Position 13282: 0.008985032540758782
Position 24249: 0.008575323408433538
Position 2871: 0.008178922140383524
Position 13339: 0.00809068823604796
Position 983: 0.007640251455488187
Position 24485: 0.007264206013375329
Position 19679: 0.00689493625162481
Position 4393: 0.0068730852137652825
Position 19367: 0.006825857236885786
Position 23799: 0.0067572508042393455
Position 16074: 0.006524358335690678
Position 24305: 0.006191371891954792
Position 23430: 0.005681677297354768
Position 22904: 0.005192784223549712
Position 27426: 0.005154010951042629
Position 17074: 0.00506905124574183
Position 2466: 0.004866262045750349
Position 20914: 0.004758967072366348
Position 25096: 0.004347585589006722
Position 13541: 0.004142075923243592
Position 20810: 0.0040700067071530194
Position 1534: 0.003949949664796259
Position 17307: 0.0037337882449215497
Position 13214: 0.003732391784388934
Position 13310: 0.0036794498000361155
Position 23604: 0.0035703076339356947
Position 22112: 0.003353664979704826
Position 127: 0.0033351538728061394
Position 865: 0.00328535250641824
Position 16156: 0.0031643557965394223
Position 13251: 0.0031077187152661486
Position 27229: 0.0027928482790132636
Position 16175: 0.002760243752971025
Position 24028: 0.0027172036311310706
Position 25560: 0.002564281484460644
Position 15495: 0.002391330410033243
Position 21841: 0.002316951324306884
Position 13192: 0.0021814259761010115
Position 26387: 0.002171524990766245
Position 1572: 0.0021190807242742575
Position 5897: 0.0020904665141463297
Position 8648: 0.0019937025893551922
Position 6582: 0.0019472987685099793
Position 24817: 0.0018998936166622921
Position 16270: 0.0018866237074180864
Position 22720: 0.0017153309153488871
Position 4864: 0.0016901440782319053
Position 14827: 0.00168069457734513
Position 2693: 0.0015360352482941242
Position 18777: 0.0015349499986317115
Position 11595: 0.0015233209852908072
Position 25475: 0.0015135373881078312
Position 20885: 0.0015064255235097542
Position 26922: 0.0014850425941788639
Position 16381: 0.001380993847920059
Position 24557: 0.00129332280859724
Position 20070: 0.001231126513221431
Position 21980: 0.0012092671483315259
Position 20268: 0.0011542395450943555
Position 25913: 0.0011438814684134244
Position 575: 0.0011275783484638719
Position 22299: 0.0011221712059237988
Position 13986: 0.0010990271843202444
Position 1217: 0.0010049080683811936
Position 13573: 0.0010000631841729042
Position 10530: 0.0009528236959529793
Position 17790: 0.0009375908325131654
Position 24210: 0.0009229622101485529
Position 20496: 0.0008976525270337417
Position 13174: 0.000876851943877178
Position 1031: 0.0008306963307951911
Position 20203: 0.0008207378802064013
Position 14109: 0.00077923390942845
Position 14679: 0.0006962548762485694
Position 3857: 0.0006231956086728299
Position 24542: 0.0006142273482966544
Position 684: 0.0005910786027046678
Position 19981: 0.0005876169413007646
Position 21433: 0.0005724966514063488
Position 21699: 0.0005246073536246191
Position 19748: 0.0005147355047772407
Position 16267: 0.00048626784471596463
Position 21722: 0.00048622621299370707
Position 17464: 0.0004585479866218073
Position 803: 0.0004341148612545853
Position 21274: 0.00043394844167194855
Position 1052: 0.0004325013256933687
Position 20427: 0.00041788987571475555
Position 21811: 0.00041388051706055956
Position 20695: 0.0004063107110705045
Position 1473: 0.0003912069105292112
Position 19344: 0.0003901080119539082
Position 22163: 0.00038322400363534717
Position 20983: 0.0003772548419170875
Position 3100: 0.000374551717162675
Position 4146: 0.00033400614247194486
Position 21398: 0.00031198055147415617
Position 18222: 0.00031181068120725834
Position 14135: 0.0003053679376542568
Position 21016: 0.0003030374068235192
Position 14141: 0.00027946824034823107
Position 3072: 0.00027898534055816466
Position 21295: 0.00027735297298087005
Position 13950: 0.0002657099471716307
Position 1306: 0.0002495214131836356
Position 1251: 0.00024622319632122946
Position 19864: 0.0002390673206827784
Position 13515: 0.00023188556507886603
Position 13719: 0.0002263998330411116
Position 464: 0.00022270689136743432
Position 13868: 0.00021374248128494807
Position 3830: 0.0001982069325349249
Position 24491: 0.0001966106007458709
Position 20018: 0.00017534785610541162
Position 14008: 0.0001734071148625453
Position 14960: 0.00017138682732281344
Position 16152: 0.00016515161706368714
Position 2960: 0.0001513109704604673
Position 12933: 0.00014409948434753196
Position 21953: 0.00013841463263609827
Position 140: 0.00012432888955436457
Position 730: 0.0001229171381365193
Position 20176: 0.00011944554839617169
Position 21550: 0.00011368904135258924
Position 21029: 0.00011330316426413472
Position 21222: 0.0001114136078722567
Position 13559: 0.00011081862209414186
Position 5513: 9.555873211522873e-05
Position 20468: 9.226644307003211e-05
Position 20715: 9.162053318879029e-05
Position 17953: 9.090396672625732e-05
Position 102: 7.721626115010711e-05
Position 16233: 7.503830494738391e-05
Position 18549: 7.244275761123885e-05
Position 20074: 6.18557093837305e-05
Position 18580: 6.039966107188415e-05
Position 13944: 5.8669297670500455e-05
Position 19764: 5.365496637496936e-05
Position 17696: 4.732698561571129e-05
Position 1220: 4.4986599743786595e-05
Position 12824: 4.2606198919742384e-05
Position 16324: 4.0712115150941346e-05
Position 518: 3.0434476187303046e-05
Position 1056: 2.9662248297534194e-05
Position 17745: 2.9088080048195296e-05
Position 1085: 2.848662128736528e-05
Position 20241: 2.667870881034893e-05
Position 642: 2.5489278882001022e-05
