Gene = AUNIP
index = 119
Annotated 5SS: [  133 22000]
Annotated 3SS: [21857 23565]
SMsplice 5SS: [  133 13895 22000]
SMsplice 3SS: [13804 21857 23565]
top_k =  1000
Partition function (log Z): -14.242679330128732

Sorted 5' Splice Sites (High to Low Probability):
Position 22000: 0.850291276933587
Position 133: 0.6651531372771181
Position 13895: 0.5865496867756896
Position 170: 0.32985643068160797
Position 11219: 0.03816710778219005
Position 9110: 0.03682658742670792
Position 4112: 0.018990015835384295
Position 7813: 0.015038741760196286
Position 9048: 0.010316681284132677
Position 3623: 0.009355397528199586
Position 2020: 0.008871256879000766
Position 8690: 0.008766397874342928
Position 185: 0.0030212960251130754
Position 601: 0.0015260486387196003
Position 13907: 0.0005296901756364176
Position 4611: 0.0004971177406106658
Position 9168: 0.000297199703053893
Position 6131: 0.00024680204334814366
Position 2380: 0.00017313069125354428
Position 371: 0.00012565699318228783
Position 8216: 0.00011738291555409925
Position 9348: 0.00010900710319081686
Position 400: 8.822394322987626e-05
Position 908: 7.87144085966819e-05
Position 297: 7.082525660486415e-05
Position 1145: 6.607505829034744e-05
Position 9466: 5.488294945938492e-05
Position 9454: 5.4629649545312077e-05
Position 127: 4.471785603268336e-05
Position 800: 3.207793698369729e-05
Position 5050: 2.802343743072404e-05
Position 3823: 2.5705337154866778e-05
Position 3880: 2.4895073920026812e-05
Position 548: 2.0654005743986357e-05
Position 5669: 1.5750629043326454e-05
Position 5520: 1.1864458880195115e-05
Position 2565: 1.1254368607341357e-05
Position 4212: 1.0071709730966025e-05
Position 5420: 8.246480644506812e-06
Position 5459: 8.013051519796222e-06
Position 5630: 7.691789281441614e-06
Position 5770: 5.792472521772554e-06
Position 4960: 5.733040190081668e-06
Position 6271: 5.569983580230171e-06
Position 5161: 5.372812247085127e-06
Position 5634: 4.1232934927561265e-06
Position 5119: 3.838250605312422e-06
Position 3327: 3.0631507634456287e-06
Position 4615: 2.823935581564388e-06
Position 5479: 2.3802980987990023e-06
Position 4845: 2.2751245228781693e-06
Position 4684: 1.8995444966438084e-06
Position 394: 1.037080177991192e-06
Position 745: 9.223935549032338e-07
Position 848: 7.670144976040699e-07
Position 286: 7.454543554837614e-07
Position 1507: 3.4569024737769e-08
Position 3383: 1.6632613347136144e-08
Position 1965: 9.850386667624604e-09
Position 487: 2.547267185123577e-09
Position 93: 1.6908134499329977e-09
Position 358: 1.4916541475021331e-09
Position 619: 6.95196887887551e-10
Position 1020: 4.78764522747558e-10
Position 232: 4.654866476633993e-10
Position 40: 4.6212396741366235e-10
Position 653: 3.857322489889703e-10
Position 750: 3.681168529295345e-10
Position 834: 2.989295868674578e-10
Position 925: 2.329543745221381e-10
Position 892: 2.1429577186108509e-10
Position 940: 2.1122144369769966e-10
Position 671: 1.878503656213884e-10
Position 91: 1.343698160818082e-10
Position 199: 1.213575617111859e-10
Position 422: 1.0505288190081192e-10
Position 283: 6.758296569881764e-11
