Gene = TMA7
index = 1405
Annotated 5SS: [ 56 202 372]
Annotated 3SS: [ 145  283 3588]
SMsplice 5SS: [ 56 202 372]
SMsplice 3SS: [ 145  283 3588]
top_k =  1000
Partition function (log Z): 1.214583627983234

Sorted 5' Splice Sites (High to Low Probability):
Position 202: 0.996215021400505
Position 372: 0.9786607362178643
Position 56: 0.9626047034382805
Position 656: 0.01980766359978467
Position 1909: 0.012435846569341429
Position 73: 0.01147165208984753
Position 1206: 0.008872933314792547
Position 535: 0.006943792308707679
Position 3620: 0.003621113079066681
Position 1616: 0.0029375846018844026
Position 2591: 0.002597370699698477
Position 1542: 0.002496742845847573
Position 3514: 0.0023890310689619713
Position 2568: 0.0020874919549018884
Position 2023: 0.002050236274566767
Position 560: 0.0017733626535495729
Position 1576: 0.0014070581730057663
Position 1305: 0.0007184992808198798
Position 230: 0.0006530547694349056
Position 2642: 0.0006234348509124295
Position 1690: 0.0005520565084755972
Position 630: 0.0005237133599928771
Position 1620: 0.00037394080401234034
Position 2751: 0.00032957379021869066
Position 3649: 0.0003096421665037145
Position 2841: 0.0003033677165873614
Position 3543: 0.0002908598161212213
Position 3108: 0.00028177610283670575
Position 472: 0.00027850292866488335
Position 2472: 0.0002392112534337504
Position 886: 0.00020906037349828553
Position 854: 0.00020358195672810797
Position 3479: 0.00018131202032361588
Position 1067: 0.00017144314002197868
Position 376: 7.591247691105291e-05
Position 706: 7.039180165485174e-05
Position 946: 6.980856535594592e-05
Position 504: 6.756374622897652e-05
Position 1402: 6.623917359547224e-05
Position 2289: 6.609247343638939e-05
Position 2539: 4.598951539506268e-05
Position 671: 3.902317015090706e-05
Position 681: 3.714035916657904e-05
Position 2546: 3.59501256067845e-05
Position 42: 3.271915244117921e-05
Position 1245: 2.894476456002427e-05
Position 1162: 2.5490498194622852e-05
Position 15: 2.519805478517222e-05
Position 623: 2.0460096617426683e-05
Position 2607: 1.6240119751502365e-05
Position 3595: 1.5855099541875773e-05
Position 1946: 1.1372759780060094e-05
Position 146: 1.0876700343615187e-05
Position 3711: 7.317662226449237e-06
Position 96: 4.222595584435706e-06
Position 661: 4.1331042005767e-06
Position 62: 3.942558365991759e-06
Position 60: 3.2663161291338955e-06
Position 7: 8.278697007784465e-07
Position 970: 2.622649590235742e-07
Position 726: 2.2184037565833705e-07
Position 487: 1.635709036528958e-07
Position 1107: 6.201962120746871e-08
Position 2960: 5.206930214890954e-08
Position 2295: 4.9387817940538075e-08
Position 1729: 4.8866574220599745e-08
Position 2183: 4.6913042794797515e-08
Position 1141: 3.7911234917736584e-08
Position 1050: 3.20024981657105e-08
Position 1453: 2.603494243154238e-08
Position 135: 1.4300642129084686e-08
Position 1328: 1.1184221417058175e-08
Position 678: 6.274394711967617e-09
