Gene = UGCG
index = 1528
Annotated 5SS: [  548 17981 26186 28113 29731 32913 34592 35594]
Annotated 3SS: [17838 26082 28010 29617 32733 34504 35403 36060]
SMsplice 5SS: [  548 17981 26186 28113 29731 32913 34592 35594]
SMsplice 3SS: [17838 26082 28010 29617 32733 34504 35403 36060]
top_k =  1000
Partition function (log Z): -2.832656554551222

Sorted 5' Splice Sites (High to Low Probability):
Position 17981: 0.9999999999910553
Position 32913: 0.9663244854344627
Position 34592: 0.9313028419630439
Position 28113: 0.9020287279031016
Position 26186: 0.8435384227556882
Position 35594: 0.720366836709912
Position 29731: 0.6254674725083473
Position 548: 0.5535604911860306
Position 33330: 0.41191337606777706
Position 3376: 0.3932786122975937
Position 494: 0.36219011145737084
Position 32734: 0.35845747509025305
Position 36203: 0.2617387014809937
Position 3239: 0.22394430304099053
Position 35205: 0.17115295909146638
Position 14514: 0.0984360226042699
Position 1366: 0.0946853467582592
Position 117: 0.08633390533912101
Position 9807: 0.07097607537096665
Position 23409: 0.05930597467786272
Position 33476: 0.059132983074559026
Position 35837: 0.05730253874716877
Position 35120: 0.04643658533924083
Position 137: 0.04423507352346277
Position 33419: 0.03891764422038381
Position 28897: 0.03190498160293794
Position 28871: 0.025528452861544176
Position 35528: 0.02403673191862035
Position 34278: 0.023938991830424673
Position 4005: 0.02381471350638905
Position 2536: 0.0217136221671471
Position 31391: 0.02093820131978473
Position 37195: 0.01947335872847619
Position 23441: 0.01770171353120329
Position 35707: 0.017326951983959494
Position 21041: 0.015252426607306021
Position 35616: 0.0146910213860532
Position 2320: 0.013308234155708601
Position 34273: 0.009816069315714781
Position 26645: 0.008986383156776504
Position 36226: 0.008157968448416573
Position 28243: 0.007632553393754667
Position 31680: 0.0074862979893849935
Position 132: 0.007393024312860393
Position 35448: 0.006194434761351013
Position 433: 0.005992799197518267
Position 32612: 0.00592068699266164
Position 1270: 0.005617895938331287
Position 34648: 0.005173841764975541
Position 37540: 0.004863723581021919
Position 18421: 0.004785661117010105
Position 35080: 0.004182215700981759
Position 36270: 0.003953408047616231
Position 1817: 0.0035257736172080206
Position 37895: 0.0035018243340324035
Position 36248: 0.003277469671214726
Position 19071: 0.0031229123616801162
Position 552: 0.0030398291834762502
Position 1859: 0.0027246076317070603
Position 36179: 0.002723104479388582
Position 510: 0.002658219604079976
Position 35314: 0.002547508577387341
Position 35256: 0.00232162390078911
Position 36332: 0.0022325419404902063
Position 35167: 0.0021402340131507517
Position 33566: 0.0018537529393949494
Position 821: 0.001744162289333324
Position 1027: 0.0014715609256971613
Position 35703: 0.0013045849595121704
Position 35914: 0.0011645077733366867
Position 1343: 0.0011205443596562165
Position 36717: 0.0009168822589587601
Position 879: 0.0008760050254349202
Position 37118: 0.0008541865006622685
Position 1444: 0.0007898799056516255
Position 19075: 0.0007536463462487484
Position 3574: 0.0007222808471879318
Position 754: 0.0006886227785470919
Position 18428: 0.0006191647429761541
Position 855: 0.0005862422935413004
Position 36479: 0.0005812423516723749
Position 2544: 0.00048330169857932964
Position 2852: 0.00044665047523888035
Position 584: 0.0004031186577234835
Position 4763: 0.00030791058684280303
Position 1426: 0.00029921021605205846
Position 34633: 0.00027639413702781727
Position 28118: 0.0002697096209175844
Position 2519: 0.00022143373976215577
Position 2269: 0.00020585959396770618
Position 31488: 0.0001948610934571036
Position 1579: 0.00018835520679269318
Position 2745: 0.00018717296086166957
Position 37219: 0.00017405216721878163
Position 37405: 0.00016693218121150192
