Gene = STK31
index = 1348
Annotated 5SS: [   169   1979   2120   7413  17149  19083  25730  26912  42666  44308
  52757  59008  59590  60958  62112  71354  73497  75437  76467  76758
  77963  80780 105046]
Annotated 3SS: [  1931   2066   7313  17073  18923  25370  26736  42549  44147  52633
  58827  59472  60837  61979  71251  73415  75310  76340  76670  77812
  80656 104976 121968]
SMsplice 5SS: [    70   7413  17149  18811  19083  21604  26912  42666  44308  45030
  52757  62112  75398  76467  76758  80780  90875 100131]
SMsplice 3SS: [  7313  17073  18544  18923  21440  26768  42549  44147  44888  52633
  61979  75310  76340  76670  80656  90795 100043 121968]
top_k =  1000
Partition function (log Z): -59.36657598361787

Sorted 5' Splice Sites (High to Low Probability):
Position 70: 0.6841011189415889
Position 7413: 0.6360875491983156
Position 2120: 0.459153909429006
Position 1979: 0.18543825110605291
Position 576: 0.17501733230720112
Position 6209: 0.15766601043373155
Position 169: 0.14836971721710682
Position 5672: 0.10848792673116839
Position 17163: 0.08945521012195926
Position 4279: 0.07390394611618453
Position 10703: 0.05430095013218263
Position 18811: 0.046242900271361756
Position 188: 0.045911672268591885
Position 3561: 0.032320041027273476
Position 18452: 0.02537671059887738
Position 7736: 0.022021005531453357
Position 12783: 0.021865595085558645
Position 8361: 0.021840644113490203
Position 117: 0.01611430099385383
Position 12314: 0.014258655105600065
Position 11164: 0.012377540315126438
Position 572: 0.011687573597746201
Position 13270: 0.010889419614568933
Position 2797: 0.010482232375299768
Position 10698: 0.010337709065574505
Position 2671: 0.00789592677166195
Position 3200: 0.007797092570963767
Position 1651: 0.006494373119051597
Position 8421: 0.006163886175207526
Position 17109: 0.005614033336233826
Position 8397: 0.00447537230520798
Position 5535: 0.00444539330477229
Position 1147: 0.0038468775834752007
Position 3807: 0.0028128229944237816
Position 2607: 0.0027629768705138536
Position 9091: 0.00266863740391447
Position 2802: 0.002409054615632977
Position 8066: 0.0021123470610384205
Position 121: 0.0018670291407253553
Position 164: 0.0017196456055456348
Position 3105: 0.0015690409008354042
Position 9394: 0.0014515370626187723
Position 1920: 0.0014466769416298677
Position 5268: 0.00139563490314726
Position 4334: 0.0011162092583351486
Position 3837: 0.0008795706988087328
Position 4894: 0.0006587251497172515
Position 1169: 0.0005605561858219777
Position 3552: 0.0005500700758173506
Position 871: 0.0004936036917365303
Position 3212: 0.00048817534066940505
Position 678: 0.00040420153644201665
Position 84: 0.00035181022658213146
Position 2007: 0.00027823837044120396
Position 3664: 0.00024081596639133904
Position 2810: 0.00019009453328234038
Position 3646: 0.0001897348889828774
Position 125: 0.0001544610227818935
Position 1057: 0.00015260474992947475
Position 1041: 0.0001379115683481709
Position 3641: 8.6518477413742e-05
Position 403: 6.330851119426304e-05
Position 4510: 5.9199211417525075e-05
Position 162: 4.3920911704449464e-05
Position 3695: 4.274976156688966e-05
Position 608: 3.875552431902351e-05
Position 1089: 3.4886076055551815e-05
Position 3565: 3.3132098640170915e-05
Position 860: 3.230211556295862e-05
Position 112: 3.2290773557457494e-05
Position 132: 3.065380819916284e-05
Position 1555: 2.8487552075396456e-05
Position 86: 2.06347371365023e-05
Position 657: 2.002105831550471e-05
Position 2135: 1.9605223086535586e-05
Position 173: 1.9479629733096267e-05
Position 761: 1.6611947843601865e-05
Position 542: 1.60356192116279e-05
Position 644: 1.4776549049213672e-05
Position 497: 1.4751892161473818e-05
Position 1212: 1.2471019544928337e-05
Position 243: 1.1093344774453963e-05
Position 1849: 9.021232424702833e-06
Position 41: 7.077035578053684e-06
Position 1639: 6.830210001882051e-06
Position 275: 5.621849620013769e-06
Position 192: 1.8829552783196075e-06
Position 176: 1.5988741289332976e-06
Position 314: 3.9471223833173377e-07
Position 200: 3.546739139807307e-07
Position 482: 2.2332103855732552e-07
Position 39: 1.6824528697025698e-07
Position 55: 6.480023433320622e-08
Position 456: 5.06585897390192e-08
Position 337: 4.631738606005785e-08
Position 445: 3.617955906595176e-08
Position 357: 3.2050535836695546e-08
Position 185: 2.654054475937016e-08
Position 495: 2.0814456308096618e-08
Position 197: 1.348795639629878e-08
Position 224: 8.767675982481084e-09
Position 24: 7.3965986551375305e-09
Position 480: 3.274860583002179e-09
Position 179: 1.7586011010578859e-09
Position 282: 9.862703486644648e-10
Position 659: 7.6064308901058e-10
Position 552: 3.982926793558395e-11
Position 561: 3.423678974417139e-11
Position 236: 6.887850264479162e-16
Position 329: 1.5142620241422286e-16

Sorted 3' Splice Sites (High to Low Probability):
