Gene = MPC2
index = 856
Annotated 5SS: [  308 11544 15494 16062]
Annotated 3SS: [11502 15408 15949 17680]
SMsplice 5SS: [  308 11544 15494 16062]
SMsplice 3SS: [11502 15408 15949 17680]
top_k =  1000
Partition function (log Z): -5.446909064089185

Sorted 5' Splice Sites (High to Low Probability):
Position 308: 0.9991591037609229
Position 15494: 0.9356255951269667
Position 11544: 0.9093023466005106
Position 16062: 0.6550839642959084
Position 15772: 0.2586445292393425
Position 5388: 0.25795920637220915
Position 1756: 0.11845390442475044
Position 2555: 0.09331602841152106
Position 9199: 0.06670110373944181
Position 11648: 0.06556141024483503
Position 5367: 0.06052103554242656
Position 12633: 0.057662140742238154
Position 9902: 0.05013012079381057
Position 7240: 0.041656226807769314
Position 2625: 0.035339304603128376
Position 16652: 0.031708001659806515
Position 1174: 0.028899846704256514
Position 3889: 0.027463107757555227
Position 7476: 0.02600684213880933
Position 1109: 0.025095766411682235
Position 16746: 0.023611029398578787
Position 9757: 0.02261480338464976
Position 3604: 0.018007003141038515
Position 9888: 0.015188940562308897
Position 7099: 0.011785070718041408
Position 6419: 0.010720909413826498
Position 2643: 0.01032123410022209
Position 2844: 0.008789276148265036
Position 17215: 0.008130176092473391
Position 15912: 0.008102886522552012
Position 3492: 0.006774570557472196
Position 17603: 0.005862826057027977
Position 15865: 0.005340838209500499
Position 7546: 0.005253095813373731
Position 15740: 0.004573754382998838
Position 15696: 0.004071907057166964
Position 17833: 0.0033618014522394093
Position 15827: 0.002860934626916775
Position 2541: 0.002288093468577649
Position 17808: 0.0021364508653776036
Position 17414: 0.0018879294131954353
Position 17247: 0.0015635855498055357
Position 18082: 0.0015561961331033935
Position 2300: 0.001472230538480019
Position 1762: 0.0013920518583215643
Position 6254: 0.0013132577202099262
Position 9964: 0.0012469164234810363
Position 16215: 0.0011769639870303002
Position 9742: 0.0011659972388369901
Position 12318: 0.0011576429893001966
Position 4910: 0.001115531473436232
Position 9879: 0.0011116016446286229
Position 1735: 0.001065906893465518
Position 73: 0.0010645104237432545
Position 9906: 0.001055824877533511
Position 16311: 0.0009669495680744979
Position 15783: 0.0008796774124890416
Position 11611: 0.0008633048209664297
Position 3884: 0.0008565735847514556
Position 11921: 0.0006084454877246933
Position 500: 0.00046338871207721963
Position 813: 0.0004266938246264047
Position 12252: 0.000338657070553903
Position 2203: 0.0003386245619917506
Position 212: 0.00028599052393898905
Position 1046: 0.0002077634595681882
Position 8897: 0.00018683782145571432
Position 700: 0.00018672842829426132
Position 1694: 0.00018576990095559714
Position 730: 0.00017658512259347928
Position 17826: 0.00017140687473740909
Position 509: 0.00016457371196917594
Position 985: 0.0001641976982613551
Position 1035: 0.0001383836049712674
Position 15888: 0.0001291393270369419
Position 838: 0.00010012713692955672
Position 948: 9.064861526022633e-05
Position 1347: 8.633992995738214e-05
Position 41: 7.851416015259e-05
Position 1227: 7.46394546656e-05
Position 951: 4.556414443572081e-05
Position 3587: 4.549820398401406e-05
Position 256: 4.005018260140283e-05
Position 2173: 3.75333214793148e-05
Position 2078: 3.3026000222050485e-05
Position 712: 3.227522576534248e-05
Position 3671: 3.2007646858687376e-05
Position 2354: 2.6011339871408417e-05
Position 3069: 2.5374253037521866e-05
Position 843: 2.5206847587263906e-05
Position 615: 2.3329452046632016e-05
Position 117: 2.152811235269122e-05
Position 1661: 2.0950468758093767e-05
Position 1699: 1.989597330978047e-05
Position 3450: 1.94362439088508e-05
Position 1644: 1.643212430441337e-05
Position 717: 1.0150499066925116e-05
Position 1323: 1.01147951157765e-05
Position 3494: 9.806724319664386e-06
Position 2261: 9.756085917140513e-06
Position 1970: 8.116952678192734e-06
Position 431: 7.086361770678436e-06
Position 979: 5.747108363374566e-06
Position 1535: 4.921946753646896e-06
Position 137: 3.4667683137132624e-06
Position 1021: 3.123134463264448e-06
Position 724: 2.5962706668618816e-06
Position 1416: 2.5386587698793313e-06
Position 201: 2.483693065791253e-06
Position 1269: 2.088599470027022e-06
Position 1343: 1.991587573605894e-06
Position 1361: 1.4487006955636867e-06
Position 1181: 1.2554340011531045e-06
Position 291: 1.244490923541939e-06
Position 16224: 9.296044962185206e-07
Position 1340: 7.401263506096613e-07
Position 995: 6.88328064124824e-07
Position 697: 5.176712516456976e-07
Position 1090: 4.186884892957626e-07
Position 99: 4.1504119307025257e-07
Position 1287: 4.0643115396146553e-07
Position 1301: 3.7509837059732645e-07
