Gene = TROVE2
index = 1491
Annotated 5SS: [  355 10213 16619 17226 17629 22059 22878 23287]
Annotated 3SS: [ 9611 16397 17078 17490 21941 22763 23139 25156]
SMsplice 5SS: [  355  9760 17226 17629 21858 22059 22878 23287 24311]
SMsplice 3SS: [ 9611 17078 17490 21770 21941 22763 23139 24161 25156]
top_k =  1000
Partition function (log Z): 6.614498580187631

Sorted 5' Splice Sites (High to Low Probability):
Position 22878: 0.9987337327333028
Position 22059: 0.9884873602391833
Position 23287: 0.8973320990661481
Position 17629: 0.8864629861782743
Position 21858: 0.8133595220451529
Position 17226: 0.8022172250445239
Position 9760: 0.7991305217124964
Position 24311: 0.798619413304346
Position 355: 0.6736275672640722
Position 10247: 0.3813474604584776
Position 801: 0.3735027368983033
Position 10213: 0.3443078956737735
Position 349: 0.2963855522430429
Position 6867: 0.2875974966132361
Position 16619: 0.17447621863415955
Position 24561: 0.1494782618181381
Position 18895: 0.05783495223472537
Position 22240: 0.050416709136736286
Position 841: 0.04772131855902974
Position 23859: 0.04130059230864372
Position 543: 0.0396861461455292
Position 4009: 0.03200925756464633
Position 13716: 0.029951116531690067
Position 23249: 0.029417397832309206
Position 23277: 0.024057172425472395
Position 17788: 0.023246402116060397
Position 17360: 0.02176172811706307
Position 761: 0.019411084776988854
Position 17187: 0.013778107473681191
Position 1263: 0.011865110533541674
Position 25066: 0.01137340095745646
Position 24494: 0.01123281140606296
Position 14369: 0.01108365062583059
Position 24041: 0.011079520407651023
Position 22317: 0.011006162730271713
Position 17313: 0.0096553842862247
Position 110: 0.009575024399833
Position 24927: 0.008407651215055939
Position 21867: 0.00703128709807156
Position 3412: 0.006941614468465877
Position 5309: 0.005893553208983928
Position 5779: 0.005607533407587807
Position 24932: 0.004709235514276004
Position 24600: 0.0035538889112780225
Position 25099: 0.003483232038099057
Position 23910: 0.002713500790828433
Position 23991: 0.0025451994912106847
Position 17701: 0.00200017402018953
Position 17855: 0.0018376943287886148
Position 24867: 0.0018207885388956395
Position 523: 0.0016074991980834172
Position 22015: 0.0015375940360473532
Position 22484: 0.0014373628635007693
Position 11198: 0.0011317297522203346
Position 22656: 0.0010576585916828962
Position 22105: 0.0010571898694127198
Position 24767: 0.0010266531725714263
Position 337: 0.0009386811286678698
Position 18127: 0.0009223721461536679
Position 23307: 0.000919700095792581
Position 22052: 0.0008279120676853255
Position 23827: 0.0006638034785231016
Position 17766: 0.0006393123093876194
Position 22227: 0.0006158536041222661
Position 22458: 0.00047026209767182185
Position 22857: 0.00045532282590919843
Position 24001: 0.00035352852875581185
Position 22600: 0.0002528830393593739
Position 22033: 0.00021167496636923777
Position 12171: 0.0001918318520476457
Position 22262: 0.00016200119738544067
Position 21984: 0.00016135791690797865
Position 24904: 0.00011669997186051733
Position 24876: 0.00011546518692338723
Position 22018: 7.130096338048797e-05
Position 24477: 7.083101613712905e-05
Position 22209: 6.496457106543563e-05
Position 3619: 6.433554944862505e-05
Position 22222: 6.213209916413126e-05
Position 585: 5.9339434377763816e-05
Position 23675: 5.775072054702819e-05
Position 25277: 3.584897761224739e-05
Position 1209: 3.490006237918984e-05
Position 391: 3.273212498102772e-05
Position 22462: 2.951858845219974e-05
Position 229: 2.8418376472625096e-05
Position 22818: 2.7531303951257722e-05
Position 1632: 2.2675263147529316e-05
Position 2909: 2.1985328576138706e-05
Position 1877: 1.9953124300371872e-05
Position 22908: 1.906616042359124e-05
Position 23058: 1.8162206835860925e-05
Position 265: 1.7479639660572543e-05
