Gene = IVL
index = 722
Annotated 5SS: [45]
Annotated 3SS: [1233]
SMsplice 5SS: [45]
SMsplice 3SS: [1233]
top_k =  1000
Partition function (log Z): -8.37191051810236

Sorted 5' Splice Sites (High to Low Probability):
Position 45: 0.8313028617361672
Position 603: 0.15130685837004942
Position 36: 0.09567406024222726
Position 1391: 0.057865228749242284
Position 947: 0.03290077691756056
Position 111: 0.015588805135111192
Position 287: 0.014474147448941481
Position 899: 0.011297690559319885
Position 59: 0.005914314630746158
Position 1476: 0.004299877989767616
Position 1107: 0.003931827100716885
Position 235: 0.0037645265378317533
Position 3086: 0.003687775925879004
Position 130: 0.0034400488380647723
Position 2741: 0.002902759282499014
Position 105: 0.0020524093233542967
Position 124: 0.0018706104094742767
Position 781: 0.0010184089981030617
Position 1110: 0.0009656217455502682
Position 2621: 0.0008995910976756447
Position 70: 0.0008189382534083758
Position 263: 0.0008133024604135578
Position 1415: 0.0007815582818761428
Position 2531: 0.000640568354539216
Position 283: 0.0006002197111449045
Position 3151: 0.0005293030517008636
Position 392: 0.0005171719986014422
Position 1118: 0.000458806052350437
Position 761: 0.00038294743439345525
Position 1178: 0.0003756440386875875
Position 2984: 0.0003644129534859299
Position 3095: 0.0003622172122291832
Position 51: 0.0002669496266096768
Position 2690: 0.00026346364015432925
Position 102: 0.0001432710975748836
Position 285: 0.00010515140554004376
Position 2360: 0.00010052475001908685
Position 508: 8.697466491370687e-05
Position 221: 7.758271179520754e-05
Position 1234: 4.1442518331268234e-05
Position 1451: 3.6932685629981275e-05
Position 191: 3.651631022668807e-05
Position 903: 1.8278420996410432e-05
Position 350: 2.591622898693833e-06
Position 627: 2.1681034643232675e-06
Position 205: 1.5912589775651913e-06
Position 917: 1.512736486166516e-06
Position 49: 1.2852372864980765e-06
Position 1099: 8.203325730803805e-07
Position 185: 7.457862940344347e-07
Position 1001: 3.7286443080262004e-07
Position 40: 2.983033379976418e-07
Position 804: 2.848577412129847e-07
Position 248: 2.7504426529346724e-07
Position 819: 1.8028725842759498e-07
Position 739: 9.28381934144088e-08
Position 1241: 6.125679517943659e-08
Position 1277: 5.272215901423446e-08
Position 744: 9.438220014176773e-09
Position 1299: 8.050443793324181e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1233: 0.6436390212652515
Position 174: 0.09850353805697781
Position 1299: 0.07993431678916754
Position 359: 0.06711055656012822
