Gene = PXK
index = 1103
Annotated 5SS: [  211 33045 36599 49821 57780 58341 58968 62223 62880 64321 64843 66498
 71031 76122 76739 77280 80084]
Annotated 3SS: [32993 36550 49633 57701 58266 58892 62117 62777 64158 64724 66418 70981
 76043 76651 77209 80020 91871]
SMsplice 5SS: [  211  2573  8356 33045 36599 45185 49888 58341 59084 62880 64321 64843
 71031 76122 76739 77280]
SMsplice 3SS: [ 2476  8242 32993 36550 45028 49633 58266 58996 62777 64158 64724 70981
 76043 76651 77209 91871]
top_k =  1000
Partition function (log Z): -44.38164119417448

Sorted 5' Splice Sites (High to Low Probability):
Position 211: 0.9867465350225721
Position 2573: 0.9575313630260784
Position 8356: 0.7449146821328532
Position 3752: 0.09946543759687719
Position 745: 0.057384483652501456
Position 712: 0.047114776151164564
Position 3490: 0.04487265529469945
Position 2275: 0.04475664366726275
Position 3705: 0.04468583155684332
Position 1612: 0.038578661469798235
Position 2558: 0.025607126002911044
Position 10321: 0.019701118303262138
Position 8157: 0.01477147939852115
Position 1311: 0.013288295499352794
Position 1960: 0.01124879794207806
Position 13139: 0.010763964951884801
Position 9451: 0.009234911292105342
Position 2265: 0.008178319056889176
Position 2637: 0.00551547708263903
Position 808: 0.005152468668413591
Position 160: 0.002163555831062411
Position 1110: 0.0017205683390311487
Position 142: 0.0016477485309921353
Position 1103: 0.0014182031872432082
Position 9614: 0.001319831240675248
Position 1392: 0.001138264187772539
Position 324: 0.001105320575285432
Position 10742: 0.0010501243770465252
Position 5281: 0.0010329026504960316
Position 1468: 0.0009932323511265544
Position 2332: 0.0009932020152672227
Position 2847: 0.0008235983734115719
Position 5079: 0.0006566318335634913
Position 2049: 0.0005310859411836654
Position 2410: 0.00045569503042657857
Position 2043: 0.00042766777472074275
Position 611: 0.0003694190624283044
Position 3494: 0.0003355463439739537
Position 1144: 0.00028880529317442495
Position 776: 0.0002865852082144481
Position 2259: 0.0002634084898161291
Position 810: 0.00022551847362285444
Position 370: 0.00020828288366464778
Position 2021: 0.0001650019583864781
Position 799: 0.00016255922976419717
Position 725: 0.00011509262776648397
Position 1332: 0.0001052130749602148
Position 818: 0.00010292167176834744
Position 1358: 0.00010271610174447404
Position 2351: 0.00010067224171224653
Position 1134: 9.364441256666075e-05
Position 1528: 8.509003059224777e-05
Position 1966: 8.376054854092091e-05
Position 1197: 7.946350598143346e-05
Position 656: 7.524929668855882e-05
Position 2009: 7.074272788227441e-05
Position 364: 5.366654126656805e-05
Position 1568: 4.9031802627621184e-05
Position 488: 4.861541549510503e-05
Position 635: 4.826544019350653e-05
Position 912: 4.8113246121327927e-05
Position 851: 4.6406205077526097e-05
Position 641: 4.228306464260191e-05
Position 1789: 4.01966462181985e-05
Position 903: 3.9019663035167657e-05
Position 763: 3.784767461176068e-05
Position 1952: 3.709521921223824e-05
Position 2139: 2.9088457945177015e-05
Position 1439: 2.3224909739199232e-05
Position 2407: 1.9466111129649296e-05
Position 1180: 1.373919145687909e-05
Position 927: 9.856468271904954e-06
Position 1303: 8.975582956194977e-06
Position 4073: 8.605561029009727e-07
Position 4801: 6.480259286831192e-07
Position 297: 4.954469924448606e-07
Position 1084: 3.692608533978262e-07
Position 240: 3.549290338300236e-07
Position 64: 3.5439713234110575e-07
Position 449: 2.855213871982613e-07
Position 896: 2.697962908184373e-07
Position 773: 2.3129807081548386e-07
Position 949: 2.0844975835851333e-07
Position 2621: 2.0474663225044278e-07
Position 1870: 9.969379841456965e-08
Position 841: 9.253516938461144e-08
Position 28: 5.9486209947508205e-08
Position 883: 4.8432535103980416e-08
Position 1139: 3.8965854223162324e-08
Position 2872: 2.5524833594474075e-08
Position 201: 2.189978095643755e-08
Position 349: 2.065925130707584e-08
Position 12: 1.916321278878282e-08
Position 2820: 1.8381465607842017e-08
Position 51: 1.7575443641696662e-08
Position 696: 1.4782270103656977e-08
Position 675: 1.4402493480642588e-08
Position 300: 3.4203196718573294e-09
Position 866: 2.7832305592108128e-09
Position 677: 2.564025151374e-09
Position 737: 2.352860559164946e-09
Position 788: 2.1786045419778954e-09
Position 10: 2.1314478852987575e-09
Position 101: 1.1212603709512787e-09
Position 658: 2.859753065989986e-10
