Gene = RP11-322N21.2
index = 1167
Annotated 5SS: [251]
Annotated 3SS: [848]
SMsplice 5SS: [251]
SMsplice 3SS: [848]
top_k =  1000
Partition function (log Z): -9.952838900412395

Sorted 5' Splice Sites (High to Low Probability):
Position 251: 0.7548297111173871
Position 74: 0.1819812764322903
Position 197: 0.02691749462236707
Position 267: 0.02244966967472232
Position 371: 0.010485102811270242
Position 403: 0.003786897355030195
Position 277: 0.002357056360918944
Position 763: 0.0017872925865462161
Position 25: 0.0009017827160413756
Position 149: 0.0007077744751625209
Position 310: 0.00030530966327975114
Position 530: 0.00025120960106358927
Position 140: 0.00010940119559685624
Position 116: 9.764943105040781e-05
Position 565: 8.974808874621414e-05
Position 719: 5.636729728187288e-05
Position 229: 5.3438743498080694e-05
Position 231: 3.6435133967909336e-05
Position 524: 1.2920180343238666e-05
Position 615: 7.957531159259227e-06
Position 108: 7.514606840363325e-06
Position 282: 7.290448490290984e-06
Position 634: 6.436751384346385e-06
Position 164: 5.7556631987938455e-06
Position 114: 4.352643071422883e-06
Position 449: 2.6202931081497733e-06
Position 666: 2.317798999142987e-06
Position 452: 1.108047396661889e-06
Position 639: 9.458360283918187e-07
Position 328: 6.657497628495544e-07
Position 315: 5.957967442650667e-07
Position 583: 1.8350438531720822e-07
Position 848: 2.719283685856732e-08
Position 29: 1.3884992503347811e-08
Position 53: 3.836859889150401e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 848: 0.8908509991583441
Position 644: 0.04627006815625392
Position 892: 0.018945934372959876
Position 947: 0.01379509880896006
Position 855: 0.007261836209793347
Position 674: 0.005494593651105924
Position 354: 0.004370679029365161
Position 895: 0.0038989531064139013
Position 188: 0.0037713245497879282
Position 295: 0.002059008556696552
Position 138: 0.001520444170611183
Position 161: 0.001343694133155324
Position 708: 0.0012693992325922012
Position 348: 0.000978665565575846
Position 104: 0.0007125531324515438
Position 164: 0.0006527990627243374
Position 559: 0.0006497497817501426
Position 864: 0.0005262336107796149
Position 523: 0.000290973817664943
Position 304: 0.00024086481331365823
Position 521: 0.00023487191267987248
Position 728: 0.00022391214071894308
Position 148: 0.0002224719963645949
Position 468: 0.00021701786686250115
Position 517: 0.00019482824443161362
Position 250: 0.0001736717888215982
Position 655: 0.00016977122063049872
Position 719: 0.00013132962488767366
Position 759: 0.00010060188317996896
Position 571: 8.759956774471658e-05
Position 739: 6.251193790314213e-05
Position 803: 5.136541378135467e-05
Position 362: 4.803042017918208e-05
Position 442: 4.594450631482974e-05
Position 978: 4.328098148975385e-05
Position 474: 3.7158388854211674e-05
Position 590: 3.692133455475857e-05
Position 609: 3.5111244821954684e-05
Position 229: 3.48367506268456e-05
Position 761: 3.417936679368538e-05
Position 275: 2.8361021962670447e-05
Position 169: 1.662102911198473e-05
Position 792: 1.5816290434125947e-05
Position 577: 1.3372569262379416e-05
Position 756: 1.2133353068459696e-05
Position 297: 9.70100733352111e-06
Position 491: 8.89324012528269e-06
Position 495: 8.376961861145122e-06
Position 786: 7.80353968860075e-06
Position 905: 7.657323292097443e-06
Position 902: 7.409995444575364e-06
Position 370: 7.060430245862332e-06
Position 384: 5.989162986209597e-06
Position 530: 4.0128295981121674e-06
Position 255: 3.972555300137593e-06
Position 114: 3.70635612986636e-06
Position 485: 2.6502471315925237e-06
Position 119: 2.428882824499066e-06
Position 375: 1.7125279901001375e-06
Position 89: 1.5435088039598952e-06
Position 788: 1.5153345683186273e-06
Position 125: 1.3167735386967174e-06
Position 615: 1.0992518891376074e-06
Position 611: 6.97190888071529e-07
Position 917: 2.579185816819907e-07
Position 498: 1.8853569111635017e-07
Position 914: 1.8503683949072837e-07
Position 620: 1.6165516167332184e-07
Position 378: 1.29632237760775e-07
Position 909: 9.307128399923063e-08
Position 128: 6.984048879908381e-08
Position 539: 5.516447872736432e-08
Position 772: 4.1324864236881225e-08
Position 259: 1.2209296480196832e-10
Position 271: 4.165541142326703e-11
