Gene = PSMB2
index = 1086
Annotated 5SS: [  503  5535 10571 32599 36612]
Annotated 3SS: [ 5411 10499 32435 36561 38469]
SMsplice 5SS: [  503  5539 10571 32599]
SMsplice 3SS: [ 5411 10499 32435 38469]
top_k =  1000
Partition function (log Z): -7.50161766986939

Sorted 5' Splice Sites (High to Low Probability):
Position 10571: 0.9999996633537066
Position 32599: 0.9973212421691615
Position 5539: 0.8260861242825281
Position 503: 0.5170312281578563
Position 347: 0.4484243016914862
Position 36612: 0.179021917712601
Position 5535: 0.14115671981287733
Position 36282: 0.12252585135822569
Position 5091: 0.09771637754564441
Position 3307: 0.05515898032298086
Position 9076: 0.040262698789788005
Position 8241: 0.032491304545262424
Position 9594: 0.03155641953603698
Position 1231: 0.025740033504900426
Position 8043: 0.023817484502697557
Position 5931: 0.022424546989901532
Position 333: 0.02002980711719685
Position 3292: 0.01864943822606053
Position 6981: 0.017537792357101442
Position 8237: 0.016957546897947928
Position 4312: 0.014235083071584012
Position 1551: 0.012872321632342346
Position 428: 0.011995385759273012
Position 8332: 0.010833968379447475
Position 5063: 0.008868122166011108
Position 1122: 0.007196334726178518
Position 270: 0.006808350315582432
Position 931: 0.005882355914335287
Position 969: 0.005250013919707564
Position 3522: 0.0042465510705188515
Position 8887: 0.003925613788967777
Position 4468: 0.0037862525866747443
Position 10355: 0.0036499471164347843
Position 2361: 0.0034999354424331735
Position 10409: 0.0034518351668136036
Position 2357: 0.0029877290153822655
Position 8411: 0.0029328153778562347
Position 8210: 0.002844072285565394
Position 1360: 0.002311872232232699
Position 1904: 0.0021150041935025627
Position 9034: 0.0020385846638014647
Position 1011: 0.0019273755579986783
Position 6489: 0.0019007581868409952
Position 1931: 0.0018211919628204737
Position 2350: 0.0017189007727057598
Position 21: 0.0015994311518827077
Position 1253: 0.0015823824502616528
Position 4385: 0.001468353928439712
Position 7903: 0.0014030750426465672
Position 4151: 0.0014011426237746216
Position 1144: 0.001374949666451252
Position 6845: 0.0010990796576676645
Position 3430: 0.001067525719546482
Position 5740: 0.0010667235528149645
Position 2425: 0.0009940157155740566
Position 1570: 0.000988548738638124
Position 3011: 0.0009313023848475777
Position 8246: 0.0009277822555812832
Position 6444: 0.0008808856273956823
Position 8843: 0.0007723059200544568
Position 1901: 0.0007536713849555714
Position 1727: 0.0007350087639300895
Position 6276: 0.0006783264732943948
Position 5867: 0.0005336748121809363
Position 2171: 0.00048322679229186684
Position 196: 0.00047377631281848804
Position 2923: 0.0004526208946737891
Position 2809: 0.00044464107281264574
Position 2853: 0.00031024010808135895
Position 17950: 0.00011374534064191985
Position 17786: 8.064415425950461e-05
Position 14319: 6.862980010147078e-05
Position 12518: 6.850713383425072e-05
Position 12813: 5.938538965532329e-05
Position 296: 5.103828650839304e-05
Position 11959: 4.773947052918182e-05
Position 4179: 4.343499040107679e-05
Position 13665: 3.5563610389847836e-05
Position 93: 3.416929296575756e-05
Position 18031: 2.3352379229493558e-05
Position 18830: 1.940706968071464e-05
Position 11536: 1.860464376328568e-05
Position 13431: 1.5426004128192306e-05
Position 16616: 1.2223908011338815e-05
Position 5480: 8.854008253746489e-06
Position 10744: 8.563329221833805e-06
Position 164: 8.363094471525562e-06
Position 18774: 7.463014450033442e-06
Position 11278: 6.739619116907043e-06
Position 368: 6.4585382723905356e-06
Position 131: 5.976002165969932e-06
Position 11530: 5.205477616954902e-06
Position 14722: 4.863307235685163e-06
Position 12160: 4.680217239775411e-06
Position 127: 4.508161281966992e-06
Position 12655: 3.6577225853706034e-06
Position 541: 3.4932246424303725e-06
Position 469: 3.1773051786072693e-06
Position 267: 3.019039558313474e-06
Position 5510: 2.149043631051998e-06
Position 13631: 1.8119960434133528e-06
Position 5455: 1.6207065560324692e-06
Position 1161: 1.4750043013014526e-06
Position 11465: 1.2327366434233476e-06
Position 14323: 1.182184011397723e-06
Position 1223: 1.0482426103423857e-06
Position 380: 1.0372109773756743e-06
Position 310: 8.95480439099858e-07
Position 299: 7.880523567164739e-07
Position 68: 7.198516145925938e-07
Position 417: 7.093361460722995e-07
Position 560: 6.983300785216085e-07
Position 12118: 6.77247309705694e-07
Position 1270: 5.635425400263758e-07
Position 7927: 2.1042314359124993e-07
Position 571: 2.0324172663797362e-07
Position 539: 1.20468757496666e-07
Position 454: 1.2033128386473442e-07
Position 13395: 1.1819983025457413e-07
Position 7088: 1.0310994481956184e-07
Position 11008: 9.447273124545702e-08
Position 580: 8.387460568269253e-08
Position 732: 7.918087169641542e-08
Position 11294: 6.046186796976545e-08
Position 12453: 5.969321013749886e-08
Position 11495: 4.4478180609811194e-08
Position 10575: 4.048620626886887e-08
Position 10959: 2.7785971653294392e-08
Position 1114: 2.6160868386046376e-08
Position 129: 2.1661410883867935e-08
Position 338: 1.990997893876368e-08
Position 764: 1.4578253462190505e-08
Position 487: 1.246869479004499e-08
Position 373: 1.0729880803744509e-08
Position 378: 1.0192940377819079e-08
Position 564: 8.860489301119966e-09
Position 2012: 8.584226053467777e-09
Position 1945: 8.116332191761256e-09
Position 11894: 7.372327692088165e-09
Position 11375: 7.2437081036236465e-09
Position 1574: 5.74859205765528e-09
Position 1909: 5.662179454126769e-09
Position 11447: 5.358609091222402e-09
Position 2051: 5.3550399662453675e-09
Position 2081: 4.80477551689395e-09
Position 1389: 4.663050737763213e-09
Position 1514: 4.534906665565182e-09
Position 1662: 4.232030089769396e-09
Position 290: 3.003919647617619e-09
Position 10996: 2.2731650761097943e-09
Position 448: 1.9118931156231164e-09
Position 150: 1.673640920988224e-09
Position 1377: 1.1059639989107134e-09
Position 10860: 1.010601033189773e-09
Position 1735: 8.741179195168172e-10
Position 1744: 7.131908191287603e-10
Position 1720: 7.087856587209533e-10
Position 10923: 7.059438153407163e-10
Position 662: 6.637716737032047e-10
Position 10865: 5.045845464499752e-10
Position 1235: 4.0305024504855124e-10
Position 1214: 3.915576737390489e-10
Position 10592: 3.165941731773478e-10
Position 899: 3.165615127361543e-10
Position 274: 1.7489580969954767e-10
Position 5755: 2.3506864061849327e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 32435: 0.9984658606081067
Position 5411: 0.9353276261040719
