Gene = GDA
index = 583
Annotated 5SS: [  216 46122 53276 61308 64525 70040 73761 76318 78574 81715 91832 95812
 97967]
Annotated 3SS: [46032 53103 61219 64418 70011 73652 76209 78475 81646 91684 95680 97938
 98804]
SMsplice 5SS: [   216  12785  16093  23816  27155  46122  46527  47502  48207  53276
  58705  61308  64525  76318  78574  95812  98872  99165 101375]
SMsplice 3SS: [ 12683  15865  23737  27069  46032  46427  47399  47994  53103  58562
  61219  64418  76209  78475  95680  98804  99003 101282 102344]
top_k =  1000
Partition function (log Z): -0.775820627133091

Sorted 5' Splice Sites (High to Low Probability):
Position 46122: 1.0000000000000053
Position 27155: 1.000000000000005
Position 76318: 0.9996370894263683
Position 78574: 0.9987589491285324
Position 53276: 0.9796695877326597
Position 85186: 0.9650971163872486
Position 12785: 0.9253190620270344
Position 61308: 0.9017363990019535
Position 216: 0.8857383605321447
Position 47502: 0.7722732159313052
Position 23816: 0.7633290213605854
Position 46527: 0.698740060058067
Position 58705: 0.6922970983705727
Position 99165: 0.6853632281971253
Position 49742: 0.6513097959696786
Position 48207: 0.630991988425743
Position 64525: 0.5300424611748473
Position 10650: 0.5039596613068535
Position 64678: 0.4206411115195074
Position 78744: 0.40099916425162274
Position 9547: 0.3869471288364581
Position 16093: 0.3610813934584228
Position 22648: 0.347716425681067
Position 91832: 0.3361578093871788
Position 12037: 0.332686020592203
Position 2622: 0.3148094321092157
Position 70040: 0.3138691468396567
Position 3417: 0.2962728724289555
Position 13672: 0.2962644544475077
Position 60246: 0.2791162523557038
Position 16038: 0.27755458007999434
Position 91768: 0.26304891880591136
Position 48081: 0.24219404978891942
Position 49231: 0.2385839504498823
Position 9396: 0.19213375368324712
Position 78307: 0.188684435404135
Position 22577: 0.18666637882148313
Position 56080: 0.18624936436093248
Position 58872: 0.18600268446754492
Position 81715: 0.18595283337963983
Position 4795: 0.1828293917918809
Position 57905: 0.17980841960466665
Position 15979: 0.1763396043930658
Position 82861: 0.1679865133438521
Position 49265: 0.16529944722820994
Position 53503: 0.15973765474565343
Position 51855: 0.15181739054174218
Position 78275: 0.14331322148729433
Position 60262: 0.13429215362018673
Position 62038: 0.12297596260078965
Position 76840: 0.12277726298986612
Position 12590: 0.11938861462035726
Position 48525: 0.1183106722820773
Position 57125: 0.11082489637185225
Position 59282: 0.09681965271563778
Position 56812: 0.08273169997882178
Position 84787: 0.08042710436334777
Position 48504: 0.07426874256832548
Position 60220: 0.06533125155548998
Position 48178: 0.0643484125011503
Position 13618: 0.06194046098185145
Position 59598: 0.05649451827372925
Position 56118: 0.05099495111398483
Position 62270: 0.05084854081371157
Position 49502: 0.050466569508852706
Position 84595: 0.04674161572963204
Position 82616: 0.04389137306875063
Position 76781: 0.04333080397487361
Position 46537: 0.04160055998950627
Position 3751: 0.037432159824532
Position 60441: 0.03334929198295792
Position 49250: 0.03264183114798216
Position 16302: 0.02842354461094835
Position 65611: 0.027309634867042385
Position 16084: 0.027005839646228512
Position 1461: 0.026543757460352268
Position 198: 0.02376845415682673
Position 1398: 0.023491293836298617
Position 389: 0.023122179122004777
Position 84057: 0.022699731369739195
Position 82909: 0.022084931326107164
Position 79103: 0.019877985269277813
Position 174: 0.019724704958564997
Position 53291: 0.01897230042801345
Position 11997: 0.018803604815970876
Position 64559: 0.0187662580283801
Position 7446: 0.017685435379992526
Position 47929: 0.017269936811414564
Position 79067: 0.017094412203675753
Position 1004: 0.01652696149338178
