Gene = TPK1
index = 1472
Annotated 5SS: [    87    494  70174 153145 187247 212888 244631 287563]
Annotated 3SS: [   434  70101 153074 187173 212791 244483 287450 382389]
SMsplice 5SS: [    87  11663  14979  18921  51704  70174  96781  97218  99900 113919
 133078 150695 153145 171519 184115 184373 187247 187567 197185 202994
 212888 229125 244631 287563 296794 304353 304990 320007 320222 377103]
SMsplice 3SS: [ 11559  14778  18819  51573  70101  96655  97106  99799 113774 132917
 150572 153074 171371 183950 184224 187173 187427 197091 202845 212791
 229002 244483 287450 296715 304227 304883 319951 320123 376995 382389]
top_k =  1000
Partition function (log Z): -187.87087979030747

Sorted 5' Splice Sites (High to Low Probability):
Position 87: 0.8529395017398067
Position 11663: 0.6533398176315931
Position 14979: 0.6175132042525538
Position 1142: 0.5610561144771432
Position 8139: 0.26531288622638216
Position 19845: 0.17374620954720307
Position 350: 0.11978683048440364
Position 8134: 0.03615918370073645
Position 1502: 0.029731106004309265
Position 14975: 0.023800404457716716
Position 6782: 0.02205910327800548
Position 6480: 0.007925356803264063
Position 1937: 0.007854612239922853
Position 751: 0.007747493470582856
Position 7789: 0.005437901311571449
Position 494: 0.0034304576067366904
Position 168: 0.0030552992993903164
Position 161: 0.002483902470887412
Position 150: 0.0022298037011727
Position 370: 0.002225512298886583
Position 1547: 0.0020466024966230663
Position 556: 0.0019377391572554272
Position 91: 0.0017070659529460112
Position 841: 0.0008652611481206916
Position 6043: 0.0008217168960750366
Position 253: 0.0007705227876987798
Position 6572: 0.0007173957430659027
Position 1447: 0.0006079629311712218
Position 702: 0.0005392968082339547
Position 858: 0.0004963062513476175
Position 374: 0.0004576213707159037
Position 7651: 0.00042371344103426113
Position 5195: 0.0003867003770496891
Position 290: 0.0003706182880554833
Position 514: 0.00029444045111024094
Position 258: 0.0002489860972146838
Position 1167: 0.0002352414614858966
Position 3018: 0.00021232263992498781
Position 1597: 0.00021228294254327685
Position 1093: 0.000201429622106614
