Gene = RP5-864K19.6
index = 1188
Annotated 5SS: [  171  8585 14041 14723]
Annotated 3SS: [ 8511 13991 14592 16887]
SMsplice 5SS: [  171  8585 14723]
SMsplice 3SS: [ 8511 14592 16887]
top_k =  1000
Partition function (log Z): -9.464374307786327

Sorted 5' Splice Sites (High to Low Probability):
Position 171: 0.9798133750198696
Position 8585: 0.8337765057403157
Position 14723: 0.44823589643845124
Position 6825: 0.2585138153939955
Position 7451: 0.12209683541646323
Position 8008: 0.07721724498373672
Position 3220: 0.07704465134667243
Position 3182: 0.07415600322510742
Position 8069: 0.06607141978880406
Position 10329: 0.05594877715342257
Position 9012: 0.04993495233795019
Position 12957: 0.048476172461838773
Position 7842: 0.04331119888783612
Position 8544: 0.036093991818454525
Position 9030: 0.03479163291069328
Position 14041: 0.026935558595410886
Position 8992: 0.025529391854861035
Position 14282: 0.016940870269634062
Position 5693: 0.016098533584746656
Position 7655: 0.015314782402207162
Position 5747: 0.014346130828361331
Position 5864: 0.013975567375971712
Position 10360: 0.011959662946907191
Position 138: 0.011736462283750639
Position 7939: 0.010080233619679801
Position 8606: 0.009291487708539254
Position 1485: 0.008732166924769729
Position 2135: 0.008052436113054647
Position 8711: 0.00738110494652137
Position 122: 0.007308567468166697
Position 8312: 0.006654763679456894
Position 16686: 0.006645990925596295
Position 4487: 0.006464165243723876
Position 14053: 0.006141751337503566
Position 4930: 0.005410340502297586
Position 3003: 0.005045097467148094
Position 14680: 0.004910427992815827
Position 2793: 0.004430539966747476
Position 4870: 0.004272779297968757
Position 7753: 0.0032012607947362512
Position 14444: 0.0031724478051903945
Position 5842: 0.002374253334134676
Position 1081: 0.0021586642161197656
Position 623: 0.002030154475446913
Position 396: 0.0019997324499143234
Position 3184: 0.0019530532970256477
Position 898: 0.0018979130682171624
Position 2145: 0.0018965392361972692
Position 3144: 0.0013785406202285848
Position 9285: 0.0013707693876565488
Position 8528: 0.0008386167215745232
Position 9837: 0.0008143766605298393
Position 8758: 0.0007743411637228792
Position 251: 0.0006435630485343088
Position 6594: 0.0006207435120364297
Position 1462: 0.0004748799922218047
Position 12959: 0.00047197195808396016
Position 1673: 0.0003099963216355136
Position 2167: 0.00028971102248047143
Position 9290: 0.0002495794164467846
Position 1653: 0.00024142083439696025
Position 1143: 0.0002381248128056059
Position 3009: 0.0001524948874849906
Position 9004: 0.00013065777460287116
Position 1137: 8.591964467714218e-05
Position 1800: 8.417754518572125e-05
Position 6949: 8.27168478189457e-05
Position 538: 7.709684565404184e-05
Position 2625: 7.43312102750009e-05
Position 6361: 7.29948193128419e-05
Position 429: 6.643401476921941e-05
Position 532: 6.259226905953186e-05
Position 486: 4.3953688828283046e-05
Position 2639: 4.218443113503355e-05
Position 410: 3.1647796131022256e-05
Position 2561: 1.7166696186908444e-05
Position 2224: 1.329563185126999e-05
Position 1120: 1.1975297454079183e-05
Position 1445: 1.1754791049869726e-05
Position 2538: 7.786516346601072e-06
Position 1557: 6.927512121496661e-06
Position 2344: 3.3340713759076792e-06
Position 1282: 3.017743589607185e-06
Position 2787: 2.926476840982995e-06
Position 652: 2.7199351248369333e-06
Position 5126: 2.287720457209103e-06
Position 5070: 2.2019155548924605e-06
Position 1509: 1.9105644761588105e-06
Position 177: 3.4476175829041557e-07
Position 264: 2.168867203097197e-07
Position 25: 1.725139708072163e-07
Position 522: 1.5378622015096097e-07
Position 256: 1.3692908805030835e-07
Position 306: 1.1663679281795793e-07
Position 668: 1.1598922104782761e-07
Position 447: 8.699366307889997e-08
Position 210: 5.980948615851666e-08
Position 696: 5.978431554069167e-08
Position 662: 3.974508593938992e-08
Position 1129: 3.3217923905230714e-08
Position 671: 2.2562292704634805e-08
Position 1064: 9.602924458705786e-09
Position 346: 6.974961512732752e-09
Position 644: 4.989683533519925e-09
Position 458: 3.5619433373185834e-09
Position 351: 3.2619858458441728e-09
Position 222: 3.1816372525114293e-09
Position 175: 1.3382852215737377e-09
Position 348: 1.2594407487341808e-09
Position 213: 1.0850891936207093e-09
Position 687: 1.0118796899719781e-09
Position 280: 5.518616385681047e-10
Position 189: 3.159847609058299e-10
Position 272: 2.9387027856234153e-10
Position 627: 1.1899764153744947e-10
Position 711: 1.076310930787668e-10
Position 1037: 1.9662425825923647e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 8511: 0.8868825606597163
Position 16887: 0.6526748011772178
Position 14592: 0.4456510913873508
Position 6677: 0.17543182500081195
Position 13991: 0.15066029785140556
Position 7692: 0.10429934098150807
Position 7362: 0.09899560465958052
Position 12703: 0.08630913103776901
Position 8853: 0.08274099472228152
Position 10208: 0.0700984365572954
Position 2930: 0.06926384219512383
Position 3092: 0.06603336253920743
Position 6740: 0.0645518921257535
Position 16535: 0.05481630694897106
Position 14158: 0.05173373139170307
Position 7857: 0.04405211343100705
Position 15811: 0.03661059612220597
Position 8856: 0.03469143277475602
Position 16848: 0.0265957625022524
Position 7739: 0.02560414254511643
Position 7554: 0.021193587013967896
Position 10805: 0.020631161677793268
Position 7347: 0.019128406874329224
Position 5621: 0.018354758374698125
Position 5730: 0.01304970353076684
Position 7897: 0.0095270522401758
Position 4686: 0.008152861938846661
Position 7965: 0.007493489206713723
Position 1206: 0.006818609037183666
Position 5624: 0.006074367621042861
Position 3098: 0.005618720727967816
Position 5408: 0.005085587175419131
Position 2952: 0.005070325019672642
Position 2041: 0.005024723778218582
Position 3143: 0.004657880204019184
Position 827: 0.00459314270363841
Position 15807: 0.004475110236695013
Position 6794: 0.004222341054406789
Position 6657: 0.004184172280584957
Position 8000: 0.003798815587575501
Position 6689: 0.0035961916796071252
Position 3002: 0.0034666642844829675
