Gene = NSMF
index = 965
Annotated 5SS: [ 303  847 1928 2924 4096 4944 5604 6279 6599 6782 6970 9159 9412 9736]
Annotated 3SS: [ 784 1432 2847 4026 4890 5513 6153 6514 6747 6898 9078 9308 9659 9842]
SMsplice 5SS: [ 303  847 2924 3889 4944 5604 6279 6599 6782 6970 9412 9736]
SMsplice 3SS: [ 784 2847 3777 4890 5513 6153 6514 6747 6898 9308 9659 9842]
top_k =  1000
Partition function (log Z): 22.608417126854143

Sorted 5' Splice Sites (High to Low Probability):
Position 2924: 0.9856237996402398
Position 9412: 0.9833589045301586
Position 9736: 0.9665829994244947
Position 303: 0.9521735604023542
Position 6279: 0.9376329733686019
Position 5604: 0.9321343680758691
Position 6782: 0.9028113539697024
Position 847: 0.8990826663438388
Position 3889: 0.8869976096218161
Position 6599: 0.8621983384475118
Position 6970: 0.8277490823242293
Position 4944: 0.6420073353886643
Position 9937: 0.2511889924382112
Position 3706: 0.20417661834663442
Position 1928: 0.19872404875304342
Position 9159: 0.09500176842014553
Position 2660: 0.08527508516701197
Position 4096: 0.07885562646015117
Position 4613: 0.06238298146885584
Position 4589: 0.060094981544761256
Position 153: 0.05495588950471414
Position 7070: 0.05182252516158563
Position 5608: 0.05174905154934009
Position 6273: 0.03630876618081625
Position 5370: 0.035987884686580845
Position 3590: 0.02868861264582657
Position 6840: 0.025631145035556913
Position 582: 0.024922726191271314
Position 6674: 0.022476060951303313
Position 9171: 0.020685265313550038
Position 2459: 0.020138248832081374
Position 4931: 0.01931383692566487
Position 4136: 0.01847898904011212
Position 638: 0.017572872653932998
Position 6026: 0.01734578212617196
Position 4965: 0.013815640483240852
Position 7012: 0.012671336167189457
Position 1217: 0.0126206939875793
Position 6437: 0.010027530898422756
Position 7155: 0.00999449237866862
Position 1935: 0.009742729312957213
Position 4954: 0.008066582940185654
Position 9115: 0.0057363810588978
Position 7076: 0.00528699253081519
Position 3611: 0.004860012365874131
Position 3574: 0.004460295057791312
Position 9555: 0.004346846361708175
Position 2949: 0.00425807068526302
Position 7046: 0.00402025512689892
Position 6031: 0.003775568102071513
Position 6530: 0.003514150619828115
Position 3622: 0.003355503732323986
Position 48: 0.0030873825925492515
Position 7098: 0.003067320791156182
Position 1957: 0.002953308640576924
