Gene = CASZ1
index = 284
Annotated 5SS: [    85  35948  91157 102775 131566 136947 138141 140003 141000 142230
 143272 145708 145957 147366 147579 148848 150521 151732 153489 153790]
Annotated 3SS: [ 35790  91103 102735 131076 136111 138071 139911 140834 142056 142429
 145571 145892 147210 147455 148508 150321 151559 153336 153647 156588]
SMsplice 5SS: [    85   5649  33880  35692  35948  51467  60551  63652  91157 109982
 110192 114760 115024 116415 127734 136399 136620 138141 140003 142230
 142541 145708 145957 147366 147579 151732 153489 153790 154626]
SMsplice 3SS: [  5473  33777  35542  35790  51342  60370  63524  91103 109781 110110
 114597 114847 116332 127575 136111 136499 138071 139911 142056 142429
 145571 145892 147210 147455 151559 153336 153647 154325 156588]
top_k =  1000
Partition function (log Z): -78.2254933740193

Sorted 5' Splice Sites (High to Low Probability):
Position 85: 0.9157264286451661
Position 5649: 0.7604118549925113
Position 12699: 0.48259699801150385
Position 2115: 0.4729039738922882
Position 3914: 0.33155023239340614
Position 8964: 0.256713121913157
Position 5995: 0.23398569130587832
Position 3868: 0.22731937360492163
Position 17003: 0.20946310780827565
Position 2103: 0.09473737705573497
Position 1705: 0.08607920744765742
Position 5107: 0.06727675659106358
Position 8960: 0.05534485842678046
Position 756: 0.05227324946132773
Position 3309: 0.050920986830157756
Position 15530: 0.048047488129572914
Position 2109: 0.03455560408040151
Position 642: 0.03430825089111656
Position 3485: 0.030021038823897606
Position 2202: 0.026302255761846322
Position 1143: 0.023021388869359977
Position 1135: 0.02248609283906002
Position 8422: 0.019291030110575966
Position 14718: 0.017500126005690703
Position 1508: 0.015427499406643463
Position 9290: 0.01500422916423962
Position 10425: 0.013280179702403097
Position 2156: 0.012179536276715617
Position 5178: 0.011220401309367318
Position 2962: 0.0097884617774603
Position 4333: 0.009626400199418949
Position 1840: 0.008404134039389005
Position 1178: 0.007386975712418174
Position 5132: 0.0064608343573648395
Position 2271: 0.0055089103483732214
Position 13309: 0.005042343139921847
Position 552: 0.004667491050796868
Position 2245: 0.004490515391541232
Position 2231: 0.004109552771786896
Position 3007: 0.0032633103845275606
Position 535: 0.0030482792084073405
Position 291: 0.0027916619602138004
Position 1072: 0.0027632888882644507
Position 441: 0.002740441975161789
Position 1842: 0.0026353036092258073
Position 2864: 0.002605811095136032
Position 4157: 0.0024451269242164605
Position 3872: 0.0023520241110308302
Position 5395: 0.002263688979152218
Position 792: 0.0020393345302999037
Position 4125: 0.0020353689873394967
Position 1088: 0.0018424991520107948
Position 690: 0.0018398495130679824
Position 4121: 0.0018392251559160447
Position 1668: 0.0013585874047885801
Position 1286: 0.0011549498631703379
Position 883: 0.0008562746694698812
Position 741: 0.0007151417408582829
Position 737: 0.0006848915743235882
Position 1188: 0.0006255915854291236
Position 4543: 0.0006079455771011033
Position 2140: 0.0005793368343410886
Position 6215: 0.0004897499777868329
Position 1365: 0.00043684760815906117
Position 461: 0.0004275421355111463
Position 2365: 0.00042636912109950316
Position 2695: 0.0004106386717804317
Position 5417: 0.0003849833174897815
Position 1182: 0.00037684198312797204
Position 1305: 0.0003723600050322609
Position 495: 0.000294414448271479
Position 1465: 0.00025879380543623735
Position 1393: 0.0002536627090975589
Position 1044: 0.00020841593988440527
Position 658: 0.00016285836970642549
Position 4185: 0.00015729067022417605
Position 3878: 0.0001547257791065077
Position 1536: 0.00015059499267200898
Position 1203: 0.00014077305149675417
Position 1103: 0.00012643142000385066
Position 179: 0.0001248611312984949
Position 9638: 3.204568029638086e-05
Position 649: 2.3324946764206342e-05
Position 2999: 2.283486136199491e-05
Position 79: 1.59065099890056e-05
Position 694: 6.909190746025626e-06
Position 1921: 4.82507458195902e-06
Position 2797: 4.55299337505541e-06
Position 1355: 4.145603009137993e-06
Position 782: 4.076140191086882e-06
Position 1410: 3.893299067909751e-06
Position 1032: 3.7596489026577708e-06
Position 1497: 3.5219364940365894e-06
Position 765: 3.28442853525111e-06
Position 611: 3.0126105152526486e-06
Position 411: 3.00743203893534e-06
Position 2323: 2.0913364267282616e-06
Position 608: 1.511626894540036e-06
Position 1168: 8.16889831664591e-07
Position 433: 6.198467589472354e-07
Position 515: 6.159491409629484e-07
Position 906: 5.848196098455023e-07
Position 735: 5.090173142235922e-07
Position 1070: 4.6571551565444947e-07
Position 1054: 4.4294057906381435e-07
Position 1067: 3.7670413865306654e-07
Position 161: 2.6236108002595815e-07
Position 1140: 1.940441438814942e-07
Position 124: 1.866205657511144e-07
Position 872: 1.6633644998342797e-07
Position 1214: 1.5901807204288964e-07
Position 59: 1.3573456304783832e-07
Position 173: 6.40525741024907e-09
Position 351: 1.1275440229493105e-09
Position 341: 2.880456480516838e-11

