Gene = NAT16
index = 913
Annotated 5SS: [ 235 5781 6981]
Annotated 3SS: [5464 6755 7624]
SMsplice 5SS: [ 235 5591 6981]
SMsplice 3SS: [5464 6755 7624]
top_k =  1000
Partition function (log Z): -4.121147128850014

Sorted 5' Splice Sites (High to Low Probability):
Position 6981: 0.9754126438787953
Position 235: 0.914962974395021
Position 5591: 0.5050011115841256
Position 1180: 0.37865733030582704
Position 5781: 0.36271407417734275
Position 1848: 0.17092166263997072
Position 3348: 0.14253064639510543
Position 5804: 0.1262156837767683
Position 5830: 0.10044315929103807
Position 882: 0.08759649025822648
Position 839: 0.06845429226399516
Position 6798: 0.06799253652973827
Position 408: 0.03787147170811453
Position 7516: 0.025609086499538004
Position 5574: 0.022160659511877397
Position 1211: 0.01901650506855095
Position 6003: 0.01670018084224527
Position 6048: 0.014751357847436636
Position 8132: 0.013393351244977144
Position 746: 0.011254951496680144
Position 3477: 0.010044250707902441
Position 4215: 0.009495029962499747
Position 552: 0.008354510850934391
Position 4000: 0.007819536014522415
Position 8339: 0.006416762173245618
Position 2676: 0.0063287369796368
Position 1803: 0.006237108059401044
Position 468: 0.006201807647853573
Position 3168: 0.006141042025672271
Position 6084: 0.005053077297260969
Position 4209: 0.004924722278046355
Position 6771: 0.004368191193375608
Position 6063: 0.004287179426642698
Position 4087: 0.003776005790884919
Position 2775: 0.003754009383192525
Position 4105: 0.0036396337192089526
Position 1205: 0.002914064758390123
Position 7440: 0.0026747037337832916
Position 8012: 0.0025913331615218353
Position 1948: 0.002516910447202336
Position 6909: 0.0020707851789944403
Position 65: 0.002022565107189908
Position 8434: 0.0020114585227095946
Position 3907: 0.0019945301242982796
Position 2403: 0.0019042065491112513
Position 4922: 0.0017899888797189305
Position 1215: 0.0017877850071733022
Position 3463: 0.001770883540554967
Position 2202: 0.0017569234649802007
Position 2156: 0.001576130988604438
Position 4191: 0.0012753807413957326
Position 3246: 0.0012527292521239588
Position 6804: 0.0011241466088123399
Position 1833: 0.0010223267965825482
Position 5814: 0.0008473093817328882
Position 7735: 0.0008253768398273372
Position 3859: 0.0007824875609252348
Position 4362: 0.0007480875414543138
Position 1997: 0.0007437409354660675
Position 9093: 0.0006070427399164646
Position 2003: 0.0005926343841428016
Position 1189: 0.0005550579969670154
Position 5751: 0.0004863877107906927
Position 4311: 0.00042196327334769444
Position 1194: 0.00033884736419032414
Position 1866: 0.0003081337210202951
Position 8153: 0.0002894209567206366
Position 9547: 0.0002748474426179035
Position 5073: 0.0002709790280536248
Position 5508: 0.0002573713050910058
Position 95: 0.00019223815723200586
Position 6399: 0.0001898523543067046
Position 9223: 0.00018959386902749807
Position 2592: 0.00016838266396615228
Position 6777: 0.00015960031050573547
Position 5664: 0.00014819372958603609
Position 4099: 0.0001450021913373828
Position 932: 0.00012167975223905644
Position 7995: 0.00012121418071039203
Position 71: 0.00012109384049620227
Position 1003: 9.749942999468318e-05
Position 161: 6.13970445927759e-05
Position 618: 5.418195634843216e-05
Position 9128: 4.8384831385260694e-05
Position 410: 3.671320638097519e-05
Position 5754: 3.368088406620443e-05
Position 7240: 2.9434177031416304e-05
Position 7538: 2.5444906636271347e-05
Position 389: 1.5297315112710403e-05
Position 865: 1.4639048525697342e-05
Position 1330: 8.249747144286987e-06
Position 163: 7.647323183018856e-06
Position 737: 7.31875761551429e-06
Position 446: 7.026600577314599e-06
Position 367: 5.876327014431644e-06
Position 1588: 5.770731737970889e-06
Position 1184: 5.616371317489003e-06
Position 951: 5.412992926120817e-06
Position 1592: 5.384102486214875e-06
Position 1013: 5.0855567740017146e-06
Position 841: 4.931483533288996e-06
Position 943: 4.373134104078329e-06
Position 939: 4.207271282208964e-06
Position 731: 1.8108190564678548e-06
Position 438: 7.591041021735903e-07
Position 1066: 7.387980526147147e-07
Position 7407: 6.283518463277753e-07
Position 6903: 4.547989694624261e-07
Position 6882: 4.1392755033560304e-07
Position 7493: 3.9839419562126344e-07
Position 7189: 2.0571915818589767e-07
Position 867: 1.6539159677921522e-07
Position 459: 1.4705626062523412e-07
Position 8592: 1.0880695210730669e-07
Position 981: 1.081721384960252e-07
Position 8612: 9.206990018586188e-08
Position 1200: 6.870027464627238e-08
Position 1182: 5.419921443012431e-08
Position 843: 3.7435530578386066e-08
Position 24: 6.394165207548087e-09
Position 277: 5.333676304210358e-09
Position 105: 2.632773983551053e-09
Position 1083: 1.5823187476381768e-09
Position 749: 4.357631522651847e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5464: 0.9382217334247457
Position 6755: 0.884498843577885
Position 7624: 0.41288960785194817
Position 1708: 0.17583230707557157
Position 6878: 0.1735796104652055
Position 5713: 0.13715532154349042
Position 1071: 0.1345334914593501
Position 3167: 0.12133242004622367
Position 1139: 0.11782854817455404
Position 8791: 0.11781162099392303
Position 745: 0.08508797366339034
Position 694: 0.06664889291614394
Position 7056: 0.061351152111485216
Position 8246: 0.06012942761739372
Position 865: 0.05236165624735446
Position 8491: 0.046785706785060915
Position 9665: 0.04306697652667126
Position 5725: 0.04213196481407667
Position 922: 0.039728250629188694
Position 7505: 0.03278351926742133
Position 9186: 0.030358860694154936
Position 9038: 0.02927047725849838
Position 9115: 0.02809502169157721
Position 3782: 0.024223565251998938
Position 8747: 0.0233955546513216
Position 357: 0.019714012959627696
Position 8690: 0.017690845510095275
Position 7360: 0.015457993887442397
Position 7053: 0.01208678815776316
Position 3241: 0.011512284233285548
Position 5872: 0.011364008071567152
Position 5570: 0.01115628853679749
Position 324: 0.011092774657791479
Position 7227: 0.010659092250998968
Position 7456: 0.010165500352774056
Position 5844: 0.00974384852041445
Position 2585: 0.008245761695677567
Position 3347: 0.007709723399854176
Position 8508: 0.00737625786842899
Position 8041: 0.007310166301112535
Position 8382: 0.00715505029988854
Position 9269: 0.007040486346222476
Position 5918: 0.006901260208341922
Position 3948: 0.006175834963770824
Position 3255: 0.005825003374294074
Position 7786: 0.005549478297989188
Position 466: 0.0053725118394265525
Position 8338: 0.005242319496076226
Position 3107: 0.00515576758363245
Position 3104: 0.0047747256654261825
Position 7998: 0.004383357131703005
Position 8255: 0.003900883073396069
Position 8839: 0.003625074731381799
Position 6863: 0.0036122288038469585
Position 9198: 0.0033955808532648356
Position 959: 0.003327776496942418
Position 7245: 0.002931386463720801
Position 924: 0.002917513133317394
Position 7484: 0.0027096974622161274
Position 1789: 0.002645158824090483
Position 9322: 0.002563774082520257
Position 4054: 0.002410588506217236
Position 9055: 0.002174755565235626
Position 7127: 0.002070356649288459
Position 5404: 0.00200594875954856
Position 3178: 0.0019984645349983136
Position 7091: 0.0019374372417959305
Position 7338: 0.0018588497646857386
Position 7802: 0.0018200982237525738
Position 4837: 0.001789988879718932
Position 1711: 0.00176981153882261
Position 2520: 0.001724400063585055
Position 8646: 0.0016332139653103502
Position 1947: 0.001401436552292492
Position 9355: 0.001373544616823111
Position 3007: 0.0013421735047636717
Position 9299: 0.0012437037276474472
Position 6908: 0.001198664854081324
Position 4297: 0.0011755860901547673
Position 6628: 0.0011575195313011995
Position 1752: 0.001154075491829931
Position 2313: 0.001132030309668982
Position 3415: 0.001118454000478219
Position 9526: 0.0011099636068711393
Position 8878: 0.001045723348379309
Position 7151: 0.001043689344650383
Position 8433: 0.0009692040341082606
Position 532: 0.0009191104606106382
Position 7729: 0.0008925173595463904
Position 7955: 0.0008670768648667124
Position 8131: 0.0007499889096844113
Position 1994: 0.0006953353926097127
Position 8113: 0.0006764929349971932
Position 4096: 0.0006722483676734697
Position 1621: 0.000654533859245506
Position 1649: 0.0006491664760598231
Position 5885: 0.0005844168051153853
Position 873: 0.0005831627740145977
Position 3273: 0.0005765318345262851
Position 8602: 0.0005085001991369171
Position 8259: 0.0004950730031022316
Position 5803: 0.00046905082798385513
Position 8011: 0.00045197261795634514
Position 2285: 0.0004375031219035574
Position 3999: 0.0004288189521991458
Position 5985: 0.00041623301393029595
Position 8760: 0.0004149293687123451
Position 7176: 0.000386496812431368
Position 7515: 0.0003598519244949335
Position 8173: 0.0003543964367810563
Position 8299: 0.0003167759595610853
Position 4904: 0.0002709790280536248
Position 7189: 0.0002691211639070704
Position 1391: 0.0002596642084280609
Position 2250: 0.0002501690033040621
Position 306: 0.0002446741462903886
Position 2555: 0.00023907194549843217
Position 367: 0.00020650411633651338
Position 3191: 0.00019381486126192161
Position 6280: 0.0001898523543067044
Position 3022: 0.00018900778382193283
Position 1769: 0.00018741058260069587
Position 892: 0.0001399676182626176
Position 8017: 9.742703874446194e-05
Position 9302: 9.501700741131577e-05
Position 7819: 9.406085400516036e-05
Position 6710: 8.6147709021912e-05
Position 7137: 8.313098212900062e-05
Position 9498: 7.770751660639233e-05
Position 7507: 7.510707493547663e-05
Position 334: 7.504999453683374e-05
Position 593: 6.015824112437807e-05
Position 480: 4.1144505887814425e-05
Position 2021: 4.047224419199891e-05
Position 1179: 3.8113967847586464e-05
Position 8083: 3.527180114975013e-05
Position 8218: 3.51378828734995e-05
Position 7745: 3.4044548463477496e-05
Position 8047: 3.39929878552626e-05
Position 2658: 3.3949074081988716e-05
Position 1663: 2.979589598691308e-05
Position 2339: 2.934082240970636e-05
Position 1412: 2.8521750828128617e-05
Position 6718: 2.495199983961545e-05
Position 2120: 2.374496794062108e-05
Position 7579: 2.2567025687024233e-05
Position 293: 2.0079460491346205e-05
Position 2387: 1.98283713020753e-05
Position 1570: 1.9677813515702693e-05
Position 2201: 1.9645560801593483e-05
Position 1146: 1.8363310542466532e-05
Position 2160: 1.8172610995734335e-05
Position 1567: 1.733186551059894e-05
Position 2254: 1.5558445555517512e-05
Position 584: 1.3067318561703857e-05
Position 1725: 1.1224731370028351e-05
Position 407: 1.0816378929162133e-05
Position 2452: 1.0257581274295385e-05
Position 557: 1.0188033361545925e-05
Position 137: 9.616275853687527e-06
Position 538: 9.554537967860636e-06
Position 1596: 8.798672932273253e-06
Position 2143: 8.530159598295271e-06
Position 2041: 6.9008425008362295e-06
Position 2986: 6.398509927453144e-06
Position 374: 6.0856170123246085e-06
Position 4361: 5.609990243566353e-06
Position 303: 5.387640247942452e-06
Position 7873: 4.907461263629175e-06
Position 3466: 4.782588865155483e-06
Position 218: 4.243217634901962e-06
Position 555: 3.643704970282532e-06
Position 835: 3.6083630807676185e-06
Position 499: 3.2585541540493985e-06
Position 1163: 3.22995423742823e-06
Position 309: 2.929426689482209e-06
Position 561: 2.5426245496272084e-06
Position 1149: 2.115119003753101e-06
Position 380: 1.7220906609760394e-06
Position 1257: 1.6804836052331856e-06
Position 1286: 1.4874653989628423e-06
Position 931: 1.4170566650112958e-06
Position 4187: 9.493331287873729e-07
Position 415: 7.843730747332069e-07
Position 598: 5.79429272363684e-07
Position 496: 4.912572199059051e-07
Position 393: 4.4769480430479254e-07
Position 1235: 3.9830965206535254e-07
Position 418: 3.5773261989002997e-07
Position 1728: 2.714589594025559e-07
Position 3802: 1.0460966455170782e-07
Position 1688: 1.0271047984292951e-07
Position 1954: 5.5182706992264876e-08
Position 395: 2.3801737098443105e-08
Position 389: 1.4528807887231659e-08
Position 563: 1.0912103051438872e-08
Position 878: 7.868378084604807e-09
Position 275: 2.585817959990881e-09
Position 568: 1.0331037538878552e-09
Position 238: 1.0048762567858655e-09
Position 234: 9.334968344124952e-10
Position 267: 8.20433859744223e-11
Position 95: 2.3714048620827223e-15
