Gene = ZC3H11A
index = 1593
Annotated 5SS: [  124   931  5958  7346 21454 23019 32752 33984 34226 34533 36101 38183
 42394 44704 52017 52737 54356 55011 55454]
Annotated 3SS: [  621  5903  6980 21254 22898 32627 33779 34108 34451 35989 38119 42294
 44634 51512 52659 54039 54843 55385 56469]
SMsplice 5SS: [  105   931 21454 23019 32752 33984 34226 34533 36101 38183 42394 44704
 52017 52737 55011 55454]
SMsplice 3SS: [  779 21254 22898 32627 33779 34108 34451 35989 38119 42294 44634 51828
 52659 54843 55385 56469]
top_k =  1000
Partition function (log Z): 11.880856914834652

Sorted 5' Splice Sites (High to Low Probability):
Position 21454: 0.9999999999999964
Position 32752: 0.9999907761727451
Position 34226: 0.994270832164704
Position 23019: 0.9779116987386514
Position 55011: 0.9355769078397131
Position 52737: 0.9336173831647295
Position 33984: 0.9305420615678824
Position 34533: 0.9255564187808673
Position 105: 0.9090040447666223
Position 42394: 0.8933716237953866
Position 38183: 0.8906650530399223
Position 7346: 0.8504029823514501
Position 36101: 0.8245980131588337
Position 44704: 0.7856203107398144
Position 55454: 0.7122607125942858
Position 6656: 0.6110226812265722
Position 931: 0.5701357467715121
Position 49737: 0.5157990489409302
Position 52017: 0.45626102242483485
Position 42621: 0.4182463539675321
Position 34814: 0.38141733038158443
Position 11784: 0.31333207814597985
Position 10225: 0.24756820165154841
Position 4052: 0.2146116503105817
Position 1762: 0.19448622385641065
Position 38469: 0.18546248325136339
Position 54475: 0.1846945056295318
Position 36106: 0.14650350076225238
Position 937: 0.1449670306214452
Position 54280: 0.13757700951902185
Position 38432: 0.12879712401651802
Position 5958: 0.11937198462241165
Position 826: 0.09256317298284836
Position 26836: 0.07365311619530207
Position 35509: 0.05923692653614263
Position 44897: 0.05476790796761028
Position 49091: 0.05261116965971944
Position 100: 0.050998233114276585
Position 10097: 0.049678880973533165
Position 54274: 0.045559185182328384
Position 54047: 0.04192106180923435
Position 49768: 0.04088113015334649
Position 945: 0.04051964134675085
Position 124: 0.03885630522092247
Position 49741: 0.03784534322391338
Position 1034: 0.034543884954215745
Position 49604: 0.03446759205316137
Position 54001: 0.033931176417459824
Position 26883: 0.03262497841179015
Position 941: 0.03230764023064814
Position 54629: 0.03135734924204768
Position 35437: 0.029935340226389703
Position 54350: 0.02876922262409713
Position 6575: 0.0286294565712195
Position 44749: 0.026755762376396743
Position 3437: 0.0254496641654246
Position 684: 0.02488542536104547
Position 629: 0.023313568880398775
Position 8834: 0.022346945368688757
Position 22989: 0.022088301261344832
Position 7756: 0.02149150390466382
Position 5786: 0.020917687302045487
Position 36668: 0.02084298405958684
Position 544: 0.020283490449194946
Position 4246: 0.020115569725912334
Position 40293: 0.01916063893908658
Position 6174: 0.017853673379202697
Position 54598: 0.01727828345550422
Position 42423: 0.01707073612182885
Position 44038: 0.016784524368808493
Position 9879: 0.016024511862572227
Position 8078: 0.015538360311671547
Position 2051: 0.014550312950281441
Position 34563: 0.013974036742204038
Position 54913: 0.013416108365718516
Position 3985: 0.013348462406194505
Position 43715: 0.01294007684041336
Position 38554: 0.010681342814071668
Position 3860: 0.0100160069285854
Position 49297: 0.009815678703933085
Position 5969: 0.009774969685071183
Position 36244: 0.009371659948614254
Position 1826: 0.009159762111528955
Position 54742: 0.009120469438202064
Position 49966: 0.008814840274405005
Position 49065: 0.00858520516231131
Position 10038: 0.008390135912590755
Position 39445: 0.007942148991975276
Position 35454: 0.007157469591690742
Position 36270: 0.00600164338143285
Position 55802: 0.005886086479226255
Position 55051: 0.005325416236613896
Position 36372: 0.005076799945029402
Position 34530: 0.004876529431335159
Position 36070: 0.004472159536565249
Position 2342: 0.0038141254993841623
Position 53991: 0.0037191374137370723
Position 54582: 0.0036503794665597557
Position 36626: 0.0033512379962288364
Position 5711: 0.00325744887665504
Position 44413: 0.0032012463134362757
Position 2108: 0.0031797432679529945
Position 7869: 0.0026679835788279076
Position 36240: 0.00265735772483783
Position 54661: 0.0023537262909493254
Position 54645: 0.002342888198659526
Position 4493: 0.002341283830983667
Position 4205: 0.0022150142391012145
Position 35741: 0.0020226321706666214
Position 36515: 0.0019116500795328957
Position 35722: 0.0018726330707881079
Position 49661: 0.0018208747940736388
Position 55587: 0.0016845747983363077
Position 1858: 0.0016543491395486318
Position 53942: 0.0016453912605911907
Position 55018: 0.0015769696869487341
Position 35692: 0.0014054640325709912
Position 6648: 0.0012898794838701539
Position 53770: 0.0012445670432989092
Position 5616: 0.0012275172588138417
Position 3414: 0.0011886443236689902
Position 34959: 0.0010681872261655845
Position 4552: 0.0009565576667378661
Position 54092: 0.0009027032442491781
Position 34652: 0.0007957242023095172
Position 4142: 0.0007671429308410661
Position 34927: 0.0007356051079528751
Position 3955: 0.0006885448439024155
Position 53974: 0.0006373140015381934
Position 36670: 0.0006358874539458718
Position 535: 0.0006355457096320581
Position 3156: 0.0005814455448861844
Position 266: 0.0004232196525772475
Position 785: 0.00035656321633457277
Position 1447: 0.0003536803314232983
Position 1198: 0.00033524355139047163
Position 1993: 0.00023895777765482273
Position 36209: 0.00023349938850094308
Position 7125: 0.0002076423340525062
Position 3559: 0.00020466934407504202
Position 172: 0.00018989635209948493
Position 793: 0.00017079655546939349
Position 49555: 0.00017069839752414218
Position 34452: 0.00015525225462251877
Position 44708: 0.00015081948521120428
Position 4373: 0.00014686130532920498
Position 34732: 0.00013442165082688405
Position 110: 0.00012045743531516835
Position 776: 8.771481860221301e-05
Position 44043: 7.907422391372375e-05
Position 42488: 7.83023214732937e-05
Position 293: 7.444659362229665e-05
Position 42679: 6.860307496483502e-05
Position 877: 5.2805924046843166e-05
Position 42855: 5.00497524922763e-05
Position 34245: 4.953410331878785e-05
Position 479: 3.622135941896181e-05
Position 7423: 2.6636906481128082e-05
Position 1771: 2.5653879608126286e-05
Position 3494: 2.161166769518075e-05
Position 2333: 2.1423590812073402e-05
Position 1116: 2.0531433908465863e-05
Position 623: 1.876091895094619e-05
Position 153: 1.256086978400638e-05
Position 81: 1.1705456734185046e-05
Position 1801: 1.1551595114393793e-05
Position 1253: 1.0423636082727973e-05
Position 36079: 1.0217518955554762e-05
Position 1378: 8.711601045703373e-06
Position 36116: 8.25592110222746e-06
Position 35080: 5.956213031104264e-06
Position 2103: 5.49826493334484e-06
Position 435: 4.822979675152295e-06
Position 36205: 3.7633204968240418e-06
Position 433: 3.572037400711814e-06
Position 1978: 3.375446256513146e-06
Position 582: 3.0137435023694005e-06
Position 38728: 2.8923554193818355e-06
Position 1680: 2.0558494114808937e-06
Position 93: 1.7178751037356717e-06
Position 91: 1.6050974662326677e-06
Position 36041: 1.4588920936133892e-06
Position 737: 9.675217084649438e-07
Position 240: 7.359959880488191e-07
Position 36171: 5.464467867426673e-07
Position 643: 4.102952358839083e-07
Position 220: 3.7075970377685357e-07
Position 116: 3.3677043723986085e-07
Position 1787: 2.4752325081311e-07
Position 368: 2.146574945382848e-07
Position 743: 1.0717649074299023e-07
Position 4045: 5.219796325258565e-08
Position 856: 3.1589035451860506e-08
Position 1025: 3.0816620379603806e-08
Position 65: 7.059811636389056e-09
Position 901: 5.844458820427731e-09
Position 10: 8.454659797628549e-10
Position 1052: 3.6623146609386524e-10
Position 193: 6.957327942104333e-12
Position 136: 6.825140028018076e-12
Position 983: 3.432980794155813e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 21254: 0.9999999999999968
Position 22898: 0.9999999999999964
Position 32627: 0.9999907761727447
Position 34108: 0.9807822894059546
Position 52659: 0.9336448902946158
Position 34451: 0.9318980308866596
Position 33779: 0.9307348608755817
Position 54843: 0.8955792748823241
Position 42294: 0.889432198559194
Position 35989: 0.8687277329436827
Position 55385: 0.8106796475168735
Position 44634: 0.8033276935429001
Position 779: 0.7983174275842078
Position 38119: 0.7741933661937306
Position 49502: 0.61192386148548
Position 6897: 0.5698874376354558
Position 6452: 0.5581685287022192
Position 56469: 0.4707205574078521
Position 51828: 0.41756261152283397
Position 42487: 0.4052850369855679
Position 11659: 0.31333207814598
Position 7285: 0.247526590116454
Position 38265: 0.2447620184426025
Position 54039: 0.21814641186356887
Position 54386: 0.1815743570448869
Position 34725: 0.1616704183218536
Position 10013: 0.15248272295535437
Position 34699: 0.1503468985604247
Position 5903: 0.14700062768668562
Position 10116: 0.14615978335865662
Position 1613: 0.1234265113299907
Position 55683: 0.10749182672439027
Position 26712: 0.09904981967455875
Position 3894: 0.09369083120703502
Position 35299: 0.0839364908394445
Position 4023: 0.08148267124075476
Position 37940: 0.07996287966845414
Position 35991: 0.07883784539012023
Position 56491: 0.07844468339916902
Position 53887: 0.06964346338226422
Position 54474: 0.06903530699559977
Position 621: 0.06829655753491733
Position 6410: 0.0618312131572593
Position 34710: 0.060116960539817035
Position 1684: 0.0596304106453578
Position 54823: 0.056458250341820074
Position 38351: 0.05390551213164982
Position 56582: 0.04992603595063838
Position 404: 0.047377025382833234
Position 735: 0.04655423081364097
Position 48920: 0.04622588950558832
Position 44818: 0.04388541539603768
Position 3930: 0.04311466485659635
Position 3701: 0.03353425256768323
Position 56441: 0.032639115074483874
Position 38059: 0.03154929869365101
Position 51825: 0.03024485574903319
Position 55255: 0.028866814604254595
Position 3268: 0.025325768889017216
Position 36198: 0.022981931422888364
Position 5615: 0.022901104520556336
Position 7565: 0.02280269641538927
Position 55869: 0.02238299921358516
Position 8505: 0.022346945368688757
Position 7087: 0.022077836922163682
Position 56501: 0.02186488877328007
Position 55922: 0.021678835783116607
Position 36411: 0.018845257183676956
Position 9496: 0.016024511862572227
Position 7957: 0.015538360311671547
Position 34392: 0.015450993357250316
Position 48958: 0.014970485316442461
Position 6386: 0.01486735690836745
Position 36040: 0.014470842685398612
Position 44157: 0.012937052976913001
Position 42320: 0.012866245236750827
Position 1023: 0.011855925237326719
Position 49482: 0.011397219732998221
Position 43864: 0.010990390282252899
Position 43560: 0.010971299548022763
Position 40190: 0.01094461381235387
Position 34126: 0.00994166549415933
Position 49136: 0.009832988030365652
Position 54223: 0.009323144215368723
Position 55270: 0.00895284923581968
Position 1901: 0.008844737990205158
Position 49767: 0.008835772586599453
Position 1963: 0.008580743446180582
Position 51650: 0.008453555152967585
Position 42254: 0.007876282387777964
Position 35319: 0.00768999121193272
Position 49717: 0.007685974901077605
Position 6856: 0.007232117032159718
Position 26612: 0.007228274932533487
Position 55679: 0.007199961208304295
Position 1747: 0.007127045223659107
Position 10037: 0.006994712223661036
Position 38384: 0.006767167171864152
Position 39384: 0.006686238146476762
Position 1446: 0.0065307356633758015
Position 870: 0.0064056964286775386
Position 6472: 0.006074918513815494
Position 42495: 0.0059184150247812255
Position 38329: 0.00588857540528464
Position 43914: 0.005873208310469328
Position 55164: 0.005672226119332555
Position 54882: 0.0052487583854798
Position 42545: 0.005017900289433827
Position 4162: 0.004971880359121653
Position 35844: 0.004928898703053821
