Gene = TBL2
index = 1381
Annotated 5SS: [ 372 4409 4854 5472 5948 7603]
Annotated 3SS: [4277 4668 5319 5820 7449 7818]
SMsplice 5SS: [ 372 4409 4854 5472 5948 7603]
SMsplice 3SS: [4277 4735 5319 5820 7478 7818]
top_k =  1000
Partition function (log Z): 7.60521840546679

Sorted 5' Splice Sites (High to Low Probability):
Position 4409: 0.9962764497496063
Position 5472: 0.9781632719257367
Position 7603: 0.8773039113548353
Position 5948: 0.8089074244501661
Position 372: 0.47870018943545195
Position 4831: 0.39263517628187294
Position 4854: 0.3626934156921377
Position 2251: 0.3235722911849466
Position 4876: 0.22439836891890327
Position 320: 0.2036227296868693
Position 502: 0.13752489687966377
Position 4608: 0.0792482711595882
Position 507: 0.07569611377682639
Position 2002: 0.06125294196069014
Position 7973: 0.05846897413175754
Position 5750: 0.04386391369756613
Position 6991: 0.039288154484568905
Position 7932: 0.028526076779169726
Position 1152: 0.028105656295631908
Position 6899: 0.027112718480460755
Position 3858: 0.020741365603019278
Position 819: 0.016878453413318922
Position 546: 0.01576296577808045
Position 8126: 0.015310999973400154
Position 168: 0.014857871527912035
Position 2526: 0.014168689055979788
Position 3129: 0.013790217649512968
Position 5931: 0.011906230976973187
Position 767: 0.011689746367035304
Position 1072: 0.011622395046009704
Position 49: 0.010653016611730234
Position 9356: 0.008838782580832486
Position 5962: 0.008174782961324041
Position 3929: 0.007337298916731703
Position 8064: 0.006758141383464669
Position 4178: 0.005971445392181331
Position 6949: 0.005264917450301684
Position 1434: 0.004040970514810735
Position 5658: 0.0038506788233480718
Position 222: 0.0036880595518003242
Position 1047: 0.0036266226953634425
Position 1295: 0.0031274651815495946
Position 4418: 0.0029652261752612275
Position 2015: 0.0024598573091115204
Position 4930: 0.0017315452843279715
Position 277: 0.0016311393842875959
Position 462: 0.0016266519227163682
Position 2267: 0.0014659406661430307
Position 7842: 0.0013530367992140998
Position 2679: 0.001314515806525988
Position 3895: 0.0012190922699820534
Position 3899: 0.001076588869288842
Position 386: 0.0008516843003961307
Position 2518: 0.0007330513444356347
Position 3832: 0.0007330208907470018
Position 2470: 0.0007236508588478011
Position 8495: 0.0006110710713076918
Position 3876: 0.0005167909390822048
Position 259: 0.00048330332124360846
Position 391: 0.00046907102026008245
Position 331: 0.0004687020219864219
Position 5055: 0.00042713102015409966
Position 4807: 0.00038983372053960446
Position 5645: 0.0003868144623737427
Position 6056: 0.0003817265582573324
Position 5286: 0.0003364369976965113
Position 7487: 0.0003268453687538026
Position 192: 0.00028502004648963975
Position 779: 0.0002515326348108269
Position 445: 0.00023713027289142558
Position 987: 0.00022844621442234323
Position 835: 0.00020439978160181253
Position 281: 0.0001820634089651581
Position 9306: 0.00017671718732743645
Position 2309: 0.00014893193286892595
Position 790: 0.00014351481390851924
Position 7607: 0.00013404593998883564
Position 2169: 0.00013195201245313717
Position 5782: 0.00013152564406240317
Position 651: 0.00012791456794581448
Position 172: 0.00012627272744835503
Position 1182: 0.00012598543587786351
Position 1327: 0.00010469494762634702
Position 6051: 9.864802388965921e-05
Position 8447: 9.791510088209832e-05
Position 4241: 9.66209651164252e-05
Position 8051: 9.600173002457588e-05
Position 1796: 9.342499016577101e-05
Position 8558: 8.115550059199996e-05
Position 3205: 7.899030908558265e-05
Position 709: 7.757851981785526e-05
Position 7697: 7.35302666268803e-05
Position 1111: 7.18433907114101e-05
Position 376: 6.795349376727525e-05
Position 742: 6.691492309767271e-05
Position 3266: 6.155339312000943e-05
Position 9370: 5.4518851009015646e-05
Position 7532: 5.024535296490599e-05
Position 2184: 4.91657655530631e-05
Position 4413: 4.838484427237099e-05
