Gene = CH17-140K24.8
index = 366
Annotated 5SS: [169]
Annotated 3SS: [22106]
SMsplice 5SS: [  169 10764]
SMsplice 3SS: [10670 17552]
top_k =  1000
Partition function (log Z): -14.99807734228422

Sorted 5' Splice Sites (High to Low Probability):
Position 213: 0.9620764193232386
Position 10764: 0.7625034366754119
Position 2472: 0.47614655770970077
Position 11033: 0.31723123281302634
Position 2390: 0.1299417774335345
Position 1772: 0.12199769137701018
Position 4509: 0.07990827432161136
Position 3297: 0.05935716675714467
Position 8760: 0.05799050980234926
Position 2003: 0.0354330618919068
Position 567: 0.02537459154944854
Position 5043: 0.020180222752706842
Position 9084: 0.01959163921524775
Position 455: 0.014511817470756914
Position 2406: 0.013047936645831896
Position 16721: 0.009594428648204274
Position 2264: 0.007542633684411024
Position 329: 0.007205741094610192
Position 1898: 0.006626325528325554
Position 487: 0.00653341808612084
Position 1819: 0.005369177960119023
Position 1239: 0.005197091260611726
Position 1589: 0.004944048449546753
Position 1859: 0.004340570756747334
Position 2297: 0.0027486399131512016
Position 1784: 0.0021472631826796582
Position 1889: 0.0019095372535920315
Position 827: 0.001263273320854045
Position 878: 0.0011465080055332044
Position 1684: 0.00114320934520322
Position 2786: 0.0008240248284261807
Position 173: 0.0007792270546763256
Position 496: 0.0007079932806560478
Position 1226: 0.0005688415150409573
Position 1724: 0.0003251780907726626
Position 2581: 0.0003186531742169534
Position 1064: 0.00031413142413130684
Position 2348: 0.00025500757170432686
Position 3092: 0.0002496668215531119
Position 687: 0.00024755187590753166
Position 4022: 0.0002243368217907605
Position 1717: 0.0002086246886401269
Position 2254: 0.00019501541903690456
Position 1975: 0.000191185381992176
Position 1104: 0.00018230351197873036
Position 1507: 0.00014015766617836282
Position 2246: 0.00013171882255512998
Position 352: 0.0001300447661139373
Position 318: 0.00012823517333460696
Position 2979: 0.00011307146502325633
Position 1435: 9.574673684149812e-05
Position 617: 8.343182902095542e-05
Position 7224: 8.014504291938374e-05
Position 1744: 7.77632018605467e-05
Position 2833: 6.717166388769314e-05
Position 2422: 5.1046528291789626e-05
Position 438: 3.383242864152059e-05
Position 1034: 2.6022558609758733e-05
Position 1550: 2.4602139468464507e-05
Position 202: 1.4306638230159536e-05
Position 2459: 1.274943555300881e-05
Position 1984: 9.875270284627898e-06
Position 1907: 8.278483829515277e-06
Position 440: 7.998805137382487e-06
Position 52: 7.816537986330175e-06
Position 783: 6.316169227881656e-06
Position 630: 5.2321295232997056e-06
