Gene = NASP
index = 912
Annotated 5SS: [  146  7211 18306 20957 22532 24278 29189 30122 30307 31142 31412 32334
 32644 33532]
Annotated 3SS: [ 7162 18194 20875 22421 23260 29108 30035 30232 30952 31244 32276 32565
 33402 34000]
SMsplice 5SS: [  146  7211 18306 20957 22532 29189 30122 30307 31142 32334 32644 33532]
SMsplice 3SS: [ 7108 18194 20875 22421 29108 30035 30232 30952 32276 32565 33402 34000]
top_k =  1000
Partition function (log Z): 6.675828573078924

Sorted 5' Splice Sites (High to Low Probability):
Position 7211: 0.999945958135145
Position 29189: 0.9724063286049602
Position 22532: 0.969563051270588
Position 20957: 0.9688033683757563
Position 146: 0.9376933188140127
Position 31142: 0.8134633996367469
Position 32644: 0.7945159619416706
Position 18306: 0.6949878252503797
Position 30122: 0.6837866343888239
Position 32334: 0.5820567076255097
Position 33532: 0.5648133837776743
Position 31412: 0.43411562490975125
Position 30307: 0.411490539166914
Position 7024: 0.23494808229076178
Position 621: 0.2312447253460663
Position 7028: 0.14593213744171785
Position 6990: 0.14022679706752697
Position 403: 0.12194117687316444
Position 16020: 0.1131388552098414
Position 615: 0.08516115569904537
Position 332: 0.08375638089848678
Position 23647: 0.08347605656689847
Position 25233: 0.08311386233157325
Position 31071: 0.07885215503985774
Position 658: 0.07693467559548202
Position 28093: 0.05949299762310281
Position 30291: 0.05302338142803232
Position 22020: 0.04791947265598539
Position 31167: 0.04571534430180134
Position 25555: 0.043515136674451144
Position 30474: 0.04251047323588726
Position 33466: 0.04059047027294708
Position 30470: 0.04054376869733777
Position 1790: 0.0338667244835752
Position 30406: 0.03227694889042838
Position 23627: 0.029952545097915804
Position 6994: 0.02924772167431743
Position 22507: 0.028070623627704076
Position 26683: 0.027255599077307992
Position 19857: 0.0264586082998765
Position 1150: 0.025795179379743766
Position 22739: 0.024807200641640527
Position 1734: 0.02286712888665186
Position 31083: 0.02118153604900053
Position 2610: 0.02096716924441554
Position 34517: 0.02054694597832627
Position 24441: 0.01772022053577032
Position 33539: 0.017718368871603662
Position 23075: 0.01745872767147693
Position 33508: 0.01720196920460891
Position 31371: 0.016149833340661047
Position 32346: 0.014962571098946728
Position 16398: 0.014911994449756974
Position 32049: 0.014796589606391944
Position 19083: 0.014488362100445401
Position 34179: 0.014327357474231195
Position 31668: 0.01423189918144565
Position 25177: 0.01335780613118687
