Gene = MDS2
index = 825
Annotated 5SS: [  204   665  1264  2224 11918 12462]
Annotated 3SS: [  446  1172  2146 11774 12345 13054]
SMsplice 5SS: [  204  1940  2224 12462]
SMsplice 3SS: [ 1851  2146 12345 12661]
top_k =  1000
Partition function (log Z): -10.38999856328983

Sorted 5' Splice Sites (High to Low Probability):
Position 12462: 0.9083312454217058
Position 204: 0.8043040630896588
Position 2224: 0.8002206499930622
Position 1940: 0.7323694743963274
Position 665: 0.3340565264743342
Position 11030: 0.24207874162097584
Position 10634: 0.13539933018261308
Position 12050: 0.10280393175594188
Position 105: 0.09644299417193601
Position 1264: 0.08295361383178565
Position 501: 0.0596565214056488
Position 10510: 0.04752516909537173
Position 10515: 0.04137323442776847
Position 6241: 0.03528535401614617
Position 12054: 0.016871439624505137
Position 12718: 0.016724492090465826
Position 5787: 0.013842822053808213
Position 631: 0.009474190392898927
Position 610: 0.005872270870834342
Position 1266: 0.0041896437765939305
Position 12495: 0.003563824381277334
Position 6014: 0.0034803097516437004
Position 2321: 0.0025874129122613644
Position 2499: 0.002144779512812262
Position 629: 0.0013582326433341013
Position 980: 0.0011390338479327403
Position 10583: 0.0011257104644586012
Position 660: 0.0010205575162144324
Position 220: 0.0009437303906831257
Position 301: 0.0008128283884735449
Position 2907: 0.0005061169999337916
Position 12922: 0.0003718719800796076
Position 12604: 0.00036698229795309364
Position 9: 0.00027879557930929154
Position 797: 0.0002540278622596739
Position 5172: 0.00025156252587240724
Position 3148: 0.00024980117551395663
Position 679: 0.0002236235719740046
Position 646: 0.0002086420751033549
Position 1249: 0.0002047574083591787
Position 4968: 0.00016999032689542278
Position 2807: 0.00015876555396884955
Position 241: 0.00014159637646048132
Position 455: 0.00013514242851358444
Position 1342: 9.944915491726351e-05
Position 1469: 9.592124182605562e-05
Position 6024: 9.264420161965179e-05
Position 1677: 9.226522001280288e-05
Position 5978: 6.19280181150622e-05
Position 1475: 4.854369611685736e-05
Position 289: 3.356096144586642e-05
Position 4819: 2.6868241620131378e-05
Position 6900: 2.4393927726611768e-05
Position 6364: 2.4239198859343885e-05
Position 6268: 2.3557816202934146e-05
Position 2449: 2.3254958342835706e-05
Position 2228: 2.2221604272733494e-05
Position 1021: 2.0578629116510116e-05
Position 117: 2.0058180151348544e-05
Position 619: 1.710731853144919e-05
Position 3098: 1.5129851314136609e-05
Position 3271: 1.4875480692531168e-05
Position 3478: 1.461512872276896e-05
Position 534: 1.2834196601138302e-05
Position 1918: 1.1050180665643328e-05
Position 1998: 8.791898175183724e-06
Position 964: 8.634680321253379e-06
Position 1906: 7.321959845515044e-06
Position 1637: 6.201869568526026e-06
Position 133: 1.7223814158680835e-06
