Gene = TIPRL
index = 1403
Annotated 5SS: [  249  5149  5946 12568 17710 20049]
Annotated 3SS: [ 4968  5845 12435 17613 19985 20969]
SMsplice 5SS: [  249 12568 17710]
SMsplice 3SS: [12435 17613 19985]
top_k =  1000
Partition function (log Z): -9.190785292175924

Sorted 5' Splice Sites (High to Low Probability):
Position 12568: 0.9975299383671085
Position 249: 0.9251106523134057
Position 17710: 0.8844829226872007
Position 5946: 0.18810504786519908
Position 5697: 0.1686436997212089
Position 5149: 0.16162088012395842
Position 870: 0.15987358933650472
Position 860: 0.1307021999570615
Position 8230: 0.12964922990889827
Position 5183: 0.10121430335443012
Position 19521: 0.09381872767208901
Position 16130: 0.07578898828076912
Position 20053: 0.06729957264936785
Position 14769: 0.06087066047155974
Position 19499: 0.039856154477763854
Position 8446: 0.03371948574775697
Position 758: 0.030288835872547958
Position 16435: 0.028663171630749617
Position 22018: 0.028593972571123127
Position 10930: 0.0266850636111073
Position 32: 0.023679000519196657
Position 1045: 0.02268912009679972
Position 4882: 0.020328993284525115
Position 846: 0.018500303942696514
Position 5717: 0.017541529528721417
Position 13355: 0.017040626884419242
Position 16049: 0.016606207335638928
Position 269: 0.01658617792633859
Position 5384: 0.013915063156842431
Position 6239: 0.013437840613755142
Position 1210: 0.01335992275771174
Position 19509: 0.011387436173712299
Position 15581: 0.009916313062814087
Position 1014: 0.00972177255512313
Position 763: 0.007954357710560458
Position 6338: 0.007416130170734027
Position 3116: 0.005569815100137203
Position 13471: 0.0054477182658745895
Position 8476: 0.004971676019085604
Position 19598: 0.004779982266623596
Position 16578: 0.004678552927744171
Position 20077: 0.004058655258774358
Position 11670: 0.003884760325298821
Position 18150: 0.0034276907285530987
Position 1648: 0.003268603911492122
Position 9416: 0.0031215670010818876
Position 352: 0.0030113769364092055
Position 731: 0.0026833173191574437
Position 1239: 0.0023638848591601203
Position 14658: 0.0021120440870937935
Position 8436: 0.0020332073778075825
Position 19426: 0.0019732934153272757
Position 692: 0.0018820088423523109
Position 4551: 0.0018393010638250275
Position 285: 0.0014845766000586588
Position 20249: 0.0014655566151322407
Position 9581: 0.0014481188082302535
Position 231: 0.000988741855470441
Position 472: 0.0008592355724009682
Position 19594: 0.0008578097264897832
Position 519: 0.000446974546289639
Position 241: 0.00023920806192884742
Position 1458: 0.00021358928123310267
Position 425: 0.00020725337871957457
Position 4636: 0.00020113173405349644
Position 21168: 0.00019284117461811935
