Gene = CPTP
index = 406
Annotated 5SS: [ 336 2266]
Annotated 3SS: [2068 2473]
SMsplice 5SS: [336]
SMsplice 3SS: [2473]
top_k =  1000
Partition function (log Z): -5.857479472131628

Sorted 5' Splice Sites (High to Low Probability):
Position 336: 0.8103579141830686
Position 2266: 0.4743019710078103
Position 2673: 0.21327741858619315
Position 1197: 0.21269931997503058
Position 3060: 0.168455567173479
Position 221: 0.09665800872039515
Position 111: 0.08120969870837287
Position 829: 0.06161355102523057
Position 3471: 0.06012698413415863
Position 3269: 0.05358234732143818
Position 2186: 0.040707592688213556
Position 1926: 0.030121145129358363
Position 3748: 0.025264355692042956
Position 1726: 0.023743192426281617
Position 62: 0.01683976093862894
Position 2293: 0.01681208127830097
Position 3120: 0.015581123695319615
Position 3162: 0.013347230881039172
Position 2859: 0.012312648883138424
Position 3752: 0.009389592868832205
Position 1686: 0.008458384125686903
Position 3196: 0.007329455560959186
Position 2598: 0.006420641981411677
Position 1844: 0.0057452687282630996
Position 2222: 0.005068561721472321
Position 682: 0.004915413457330995
Position 3246: 0.004817333216793078
Position 3133: 0.0044222431297454255
Position 2163: 0.004052992684600785
Position 2383: 0.0033768053158017438
Position 516: 0.0033008586558661143
Position 2261: 0.002797499383745007
Position 1183: 0.002165060206546365
Position 3274: 0.0019222276097499906
Position 2474: 0.0016758933566757015
Position 2381: 0.0016405142286069136
Position 1930: 0.001630857484300625
Position 3379: 0.0015556549735347318
Position 1862: 0.0015158137233952272
Position 1812: 0.0014401489238070378
Position 1898: 0.0013202621364231675
Position 1505: 0.001166627678332734
Position 2625: 0.0010860757462177065
Position 364: 0.0008992272776007109
Position 3326: 0.0006864835485809121
Position 1939: 0.00043917943311887463
Position 311: 0.0003482789142015536
Position 2880: 0.0002863207573100016
Position 1391: 0.00027923553585395666
Position 295: 0.00021804505130785428
Position 2022: 0.00013786644005474365
Position 1161: 0.00012728052204853704
Position 2520: 0.00012027005458483444
Position 23: 0.00011132410953819395
Position 2949: 0.00010785081818003892
Position 2657: 8.596961600947692e-05
Position 2811: 7.591831681876029e-05
Position 119: 5.440187941798155e-05
Position 2808: 5.258319905215108e-05
Position 3296: 5.107593031327871e-05
Position 2523: 3.3832794873467615e-05
Position 274: 2.9165234652901815e-05
Position 1000: 1.8373607247138073e-05
Position 1235: 1.618923209439628e-05
Position 369: 9.606771894586034e-06
Position 431: 5.164547208627149e-06
Position 2177: 5.115809264747705e-06
Position 2270: 4.222128277530677e-06
Position 2202: 4.180875232761014e-06
Position 345: 3.730093626992004e-06
Position 306: 3.6903303338783425e-06
Position 1809: 3.3658699249215117e-06
Position 1443: 2.6639758160621436e-06
Position 1711: 2.4003613193846435e-06
Position 977: 2.3085457080452335e-06
Position 1155: 1.0779929503772356e-06
Position 857: 6.03765495851619e-07
Position 1207: 5.709655234530626e-07
Position 525: 5.366783157678478e-07
Position 1299: 5.080800222421995e-07
Position 1499: 3.8536580132783916e-07
Position 518: 2.8579783462828405e-07
Position 769: 2.3075509125513582e-07
Position 726: 2.234707577898466e-07
Position 1274: 1.3320943691146622e-07
Position 1264: 1.320444029428786e-07
Position 405: 1.21419462773083e-07
