Gene = CAAP1
index = 270
Annotated 5SS: [  392  5492  6701  7995 31739]
Annotated 3SS: [ 5290  6615  7918 31664 50156]
SMsplice 5SS: [  392  5230  5492  6701  7995 23397 24055 28597 31739]
SMsplice 3SS: [ 5081  5339  6615  7918 23300 23870 28472 31664 50156]
top_k =  1000
Partition function (log Z): -19.02428605477929

Sorted 5' Splice Sites (High to Low Probability):
Position 7995: 0.9902866280638943
Position 392: 0.9862022975754485
Position 6701: 0.8235671173984412
Position 5492: 0.723954910675568
Position 4530: 0.5381985277924123
Position 5230: 0.47352477672364146
Position 6479: 0.38837183144327836
Position 5218: 0.29442183627697116
Position 24055: 0.23464231618381604
Position 6516: 0.21324885348903647
Position 5393: 0.10461185432580376
Position 2603: 0.06947602466554094
Position 6768: 0.06902020013948554
Position 6922: 0.06864434433263428
Position 4862: 0.06370257934549599
Position 8328: 0.0523548910105416
Position 5849: 0.049489422794897334
Position 16503: 0.026398815609752588
Position 4592: 0.01650692628229318
Position 2559: 0.011542940545121505
Position 7365: 0.009891997367279
Position 546: 0.009876424146202399
Position 18230: 0.008252335266078667
Position 5361: 0.007662828413850346
Position 4866: 0.005829200960657475
Position 3671: 0.0049291838361213485
Position 10439: 0.004852937405242034
Position 6483: 0.0034554092717959234
Position 6141: 0.003424404204928731
Position 2121: 0.00334881396273252
Position 8436: 0.0032258260451289607
Position 957: 0.002725216184492873
Position 9784: 0.0026463354934282168
Position 506: 0.0024007195037120716
Position 8771: 0.0023767858905487985
Position 7307: 0.00228001433041305
Position 1183: 0.002149971555299027
Position 4423: 0.00214099231032398
Position 10284: 0.0021402298118165003
Position 5851: 0.0019148241263009982
Position 1158: 0.0018311578492979613
Position 7497: 0.0016894714499160295
Position 10087: 0.0015638627451658377
Position 3650: 0.0013819731437785996
Position 4086: 0.001370488238971835
Position 2517: 0.0013452982509035592
Position 5834: 0.0012423327667072622
Position 9980: 0.001106585720770309
Position 2838: 0.0010815190314658616
Position 12632: 0.0010470592268000357
Position 3606: 0.0009373167355794934
Position 396: 0.0008475981519172077
Position 4349: 0.000846328038834435
Position 2511: 0.0008073894159279078
Position 3310: 0.0007673416152178585
Position 1781: 0.0007427630242798134
Position 10341: 0.0007192874490458956
Position 4773: 0.0006811938916473033
Position 5122: 0.0006567748854642563
Position 6393: 0.0006463753514723955
Position 6261: 0.0005736833860501063
Position 7991: 0.000514473382695187
Position 4478: 0.0004969302097542588
Position 5234: 0.0004945746615004287
Position 8854: 0.0004720550594388047
Position 5252: 0.00041633599350440065
Position 3081: 0.00038782671704085895
Position 2757: 0.0003693190548060368
Position 1831: 0.00036689795472806644
Position 2697: 0.00036356317360895855
Position 2784: 0.0003584873561648771
Position 242: 0.00026199296961414506
Position 4596: 0.0002565660927275369
Position 1298: 0.00024832191399373765
Position 3212: 0.00022512955954760136
Position 1487: 0.00022131829877284888
Position 288: 0.00020874939911104311
Position 2653: 0.00020746421288047318
Position 6175: 0.0001817307382730015
Position 1658: 0.0001787268155255158
Position 2275: 0.00017693354186209916
Position 2608: 0.00015309988947965626
Position 3305: 0.00013829079184786116
Position 9542: 0.00013467559259380932
Position 7987: 0.00011536450261639755
Position 842: 0.0001085147195327701
Position 5225: 0.0001050511346714325
Position 7163: 0.00010369085932444577
Position 7326: 9.02414489859406e-05
Position 5055: 7.273306660522043e-05
Position 1717: 6.147978306972538e-05
Position 1220: 5.843451091100178e-05
Position 4051: 4.9561148808803904e-05
Position 173: 3.837990706134357e-05
Position 5442: 3.445519347394227e-05
Position 1060: 3.164352217912186e-05
Position 5670: 3.0294199126849373e-05
Position 6087: 2.7150404028036697e-05
Position 354: 2.5923284419700447e-05
Position 5151: 2.5526390867515985e-05
Position 5434: 2.2298638217744758e-05
Position 9344: 2.229026067523791e-05
Position 522: 2.0233534816964743e-05
Position 1399: 1.911017773945324e-05
Position 1732: 1.902440683590489e-05
Position 3269: 1.7343490299104186e-05
Position 1937: 1.6073893653839765e-05
Position 8109: 1.6020687445109375e-05
Position 1212: 1.5774313500264968e-05
Position 2303: 1.4669069885477266e-05
Position 756: 1.434632069093889e-05
Position 2150: 1.2492087835136198e-05
Position 4010: 1.1897852211956624e-05
Position 1622: 1.042371622185864e-05
Position 3496: 9.571307993880146e-06
Position 4710: 9.425286772132161e-06
Position 5255: 8.45449598455104e-06
Position 3356: 7.861136423853285e-06
Position 10027: 7.383669642414279e-06
Position 4155: 6.917602682590207e-06
Position 8870: 6.772018455212421e-06
Position 3716: 6.752894861101326e-06
Position 9428: 6.690228073036092e-06
Position 1131: 6.088089011007439e-06
Position 509: 6.078793288458319e-06
Position 3102: 5.535701934810239e-06
Position 103: 5.455255620108718e-06
Position 2228: 4.955888575991134e-06
Position 252: 4.782008856095349e-06
Position 39: 4.74355865842324e-06
Position 6907: 4.255886326437932e-06
Position 135: 3.0851072992103833e-06
Position 2104: 3.048166222728577e-06
Position 181: 2.91400852162985e-06
Position 2024: 2.2332397309012778e-06
Position 1771: 1.9642373900708624e-06
Position 72: 1.7672682073481392e-06
Position 2283: 1.5433232992435207e-06
Position 445: 1.3897567963494515e-06
Position 798: 1.1114010004444207e-06
Position 1318: 1.0251657885487953e-06
Position 922: 8.788734694369013e-07
Position 2177: 8.392466186297818e-07
Position 1969: 8.336073343095186e-07
Position 815: 7.650484475662684e-07
Position 9421: 6.103953872089935e-07
Position 1790: 6.012306197426025e-07
Position 1491: 5.694093576121117e-07
Position 5268: 2.5934783533017957e-07
Position 28: 2.535163610608773e-07
Position 371: 1.7840111772820035e-07
Position 129: 1.6942320750021306e-07
Position 306: 1.5399747692134006e-07
Position 276: 1.4175349559860484e-07
Position 198: 6.278285112934802e-08
Position 1503: 5.7745779694130674e-08
Position 7279: 4.2520988417207676e-08
Position 540: 3.106977521618827e-08
Position 5788: 2.8868830946606813e-08
Position 2821: 2.3988289464886283e-08
Position 747: 2.2055282237901553e-08
Position 823: 1.7997992065799277e-08
Position 590: 1.2504495980235821e-08
Position 3: 1.0105300159757504e-08
