Gene = SIMC1
index = 1258
Annotated 5SS: [  271 56896 57954 75479 84059 86391 98510 98780]
Annotated 3SS: [ 56662  57883  75323  83905  86261  98352  98694 106815]
SMsplice 5SS: [  271 19597 25136 32154 57954 70320 75479 84059 86391 98510 98780]
SMsplice 3SS: [ 19517  25049  32023  57883  70227  75323  83905  86261  98352  98694
 106815]
top_k =  1000
Partition function (log Z): -56.5772786899888

Sorted 5' Splice Sites (High to Low Probability):
Position 271: 0.7027198277052673
Position 7387: 0.45832808098499866
Position 689: 0.29737088667681366
Position 4235: 0.2639191033536754
Position 2765: 0.2128292853695405
Position 5043: 0.19725041410175434
Position 3536: 0.19409547909662567
Position 1037: 0.15812058329152237
Position 3380: 0.1238741012576488
Position 3995: 0.11850850628966837
Position 1313: 0.08989182534898399
Position 1052: 0.05508891230238483
Position 5039: 0.048658822383855174
Position 3850: 0.039748512821716174
Position 3870: 0.03444748175271501
Position 1078: 0.024726163951386947
Position 275: 0.01882641431400508
Position 9334: 0.012215248089278437
Position 3991: 0.009595341080235112
Position 1085: 0.008646996955951468
Position 3353: 0.008509789747296145
Position 7352: 0.007920233166444229
Position 126: 0.006470599729335031
Position 2369: 0.004815837485937171
Position 4167: 0.0045181780786156195
Position 1448: 0.004511898933244166
Position 4331: 0.004372786615612639
Position 5954: 0.0031870378401519127
Position 7075: 0.0030612500011768184
Position 1859: 0.0027572087963795592
Position 2959: 0.002050578164212725
Position 5503: 0.0019353511601305736
Position 4378: 0.0013834422192667527
Position 918: 0.001272293777446103
Position 5047: 0.0011954404715915393
Position 4543: 0.0009891979392129921
Position 915: 0.0007874013834841033
Position 985: 0.0006468255378690071
Position 677: 0.000610754207129285
Position 5508: 0.0006043268136416568
Position 1527: 0.0005517338927995064
Position 2269: 0.0005140655016536959
Position 1024: 0.0004461477521474129
Position 3645: 0.00040963113261367594
Position 1366: 0.0003976998139171291
Position 647: 0.0003688961667036456
Position 1686: 0.00033502349224647323
Position 1177: 0.0003108368239836117
Position 3178: 0.00030621926524865013
Position 4063: 0.00030491573072902715
Position 3326: 0.0002505643070990324
Position 157: 0.00021583888003287311
Position 3828: 0.00019645274179488432
