Gene = PHYHD1
index = 1024
Annotated 5SS: [  774  1153  1462  6302 12963 13164 15609 15751 16884 19603 19821 20677]
Annotated 3SS: [ 1034  1387  6142 12886 13115 15552 15687 16861 19473 19703 20549 20772]
SMsplice 5SS: [ 1153  1462 13001 13164 15609 15751 16884 19821 20677]
SMsplice 3SS: [ 1387 12886 13115 15552 15687 16861 19703 20549 20772]
top_k =  1000
Partition function (log Z): 4.1185682287843814

Sorted 5' Splice Sites (High to Low Probability):
Position 1462: 0.995457957789164
Position 20677: 0.9117344373571665
Position 19821: 0.8973831672742031
Position 15751: 0.8789132247842818
Position 13164: 0.8695555806950069
Position 15609: 0.8597715501718584
Position 16884: 0.726069087268879
Position 1153: 0.6570310539449862
Position 13001: 0.5301665209218732
Position 6302: 0.3790074223107257
Position 14163: 0.2696772595487658
Position 19603: 0.26215727933500793
Position 13007: 0.20899291433543504
Position 12963: 0.1898824975427968
Position 14396: 0.1576761964982904
Position 15449: 0.1426572740240493
Position 17050: 0.1402707063105528
Position 774: 0.1272850982607496
Position 186: 0.0930163657273055
Position 20855: 0.07428067437556414
Position 547: 0.07258263729213872
Position 15467: 0.06951819198502873
Position 17199: 0.0670236173073312
Position 13349: 0.06167093315723543
Position 264: 0.05429643922121453
Position 707: 0.04977063219501918
Position 757: 0.0473957027247447
Position 1660: 0.04338931677347992
Position 19419: 0.04334317590291187
Position 17670: 0.0406341896344265
Position 20104: 0.038286970451001524
Position 20689: 0.03651020955166925
Position 4307: 0.03637445602387648
Position 15303: 0.03162353197194956
Position 13262: 0.029814505375464727
Position 17268: 0.028944843487470815
Position 778: 0.027084403830464975
Position 7177: 0.02494213322007307
Position 20914: 0.024764248112137465
Position 17077: 0.024491546941138625
Position 14429: 0.022788234809924986
Position 5120: 0.02241823619266234
Position 19405: 0.019056027049025745
Position 20108: 0.01860621840337926
Position 15603: 0.017728092046804644
Position 19768: 0.017305973047707736
Position 18288: 0.01577468964373834
Position 13182: 0.014726976046853487
Position 20681: 0.014246034857302118
Position 915: 0.012123723684324107
Position 20693: 0.010635353004622683
Position 7299: 0.010538315356616285
Position 15625: 0.01040275923326229
Position 17935: 0.009574446604528839
Position 15310: 0.008159883040519548
Position 16638: 0.00791047035015341
Position 19752: 0.0075728466454168695
Position 13927: 0.006624502730969381
Position 15254: 0.006259971720496177
Position 7434: 0.006241977136588325
Position 15619: 0.005584971277195227
Position 16162: 0.005227079641412243
Position 20092: 0.004716824120261266
Position 4474: 0.004581541113130993
Position 7089: 0.004185771623890779
Position 10614: 0.00409061960698765
Position 16718: 0.004067135967410728
Position 180: 0.0037693056772338802
Position 7218: 0.0036911649331635428
Position 183: 0.0036636336908946947
Position 15345: 0.003512216662087702
Position 390: 0.0033973408253975966
Position 16921: 0.003188164986826103
Position 4631: 0.003076870942943516
Position 344: 0.00302854674743904
Position 17628: 0.003023707524246763
Position 19580: 0.002969750107983532
Position 18233: 0.0027754233926328004
Position 12096: 0.002612158532729682
Position 1250: 0.002536847230165521
Position 123: 0.0024810628205594694
Position 4102: 0.0024535734912221083
Position 14418: 0.002437942713871692
Position 12522: 0.002266870491807432
Position 11430: 0.0018997482407020667
Position 5103: 0.0018778280965158507
Position 14039: 0.0018069865972502185
Position 16878: 0.0017693555418751513
Position 17764: 0.001696369719327475
Position 5284: 0.0016029668484937947
Position 20238: 0.001386534298284077
Position 20870: 0.0012819393215502744
Position 17654: 0.0012489040416084041
Position 15738: 0.0011132899572557317
Position 194: 0.0010783297394567463
Position 13643: 0.0010336733425706434
Position 20970: 0.000786019201659092
Position 19252: 0.0007620809678326958
Position 1163: 0.0007445535878617246
Position 17109: 0.0006921734968692384
Position 4298: 0.0006877411198816323
Position 1271: 0.0006830542985871307
Position 17277: 0.0005876576323372628
Position 14515: 0.0005524598416918404
Position 867: 0.0004994786225387951
Position 17939: 0.00042963408325554046
Position 15857: 0.0004158065097611699
Position 16629: 0.00039497359493087265
Position 17081: 0.000380577778620942
Position 15933: 0.000373730008987848
Position 17398: 0.00034421123890367866
Position 141: 0.00032407592344496747
Position 16990: 0.0003226278058322756
Position 20919: 0.0002723756833259027
Position 1241: 0.0002685737172500924
Position 19900: 0.00023658045753066344
Position 20863: 0.0002333148147520482
Position 196: 0.0002277073858659464
Position 188: 0.00020330386423429296
Position 312: 0.0001928255647109742
Position 16579: 0.00016569728735960478
Position 20695: 0.00016176638606568589
Position 990: 0.00014022433241013793
Position 15640: 0.0001352379848095501
Position 17355: 0.00013285209419638342
Position 904: 0.00013180250020072463
Position 1307: 0.00010978358852338149
Position 20900: 8.717545009973262e-05
Position 665: 8.688962370907218e-05
Position 20748: 8.094025254480463e-05
Position 20809: 7.651943042311484e-05
Position 3899: 7.62436072462188e-05
Position 586: 7.125871189190625e-05
Position 1170: 7.039952317241738e-05
Position 20949: 6.59007782568591e-05
Position 15878: 5.8482866306675335e-05
Position 46: 5.753729880681428e-05
Position 16395: 4.840476950333557e-05
Position 430: 4.031088548606024e-05
Position 15785: 4.006763054674483e-05
Position 1315: 3.997769605578418e-05
Position 620: 3.544828842163086e-05
Position 1476: 3.1912201674834265e-05
Position 4206: 2.488261460614256e-05
Position 607: 2.350477616525791e-05
Position 13815: 2.1905909226163405e-05
Position 15853: 1.8722737695396808e-05
Position 577: 1.5359040689825387e-05
Position 732: 1.3434367260718568e-05
Position 709: 1.223462836069056e-05
Position 1244: 1.1523409519655367e-05
Position 499: 1.1189925281418907e-05
Position 48: 1.0848640649367535e-05
Position 2525: 9.518820786154979e-06
Position 712: 7.985486482154576e-06
