Gene = PCP4L1
index = 1004
Annotated 5SS: [  257 24996]
Annotated 3SS: [24940 25611]
SMsplice 5SS: [  257 24996 25317]
SMsplice 3SS: [24746 25212 25611]
top_k =  1000
Partition function (log Z): -17.206170655960516

Sorted 5' Splice Sites (High to Low Probability):
Position 257: 0.8401513944395368
Position 2436: 0.5145411082822395
Position 533: 0.33622044283060104
Position 782: 0.2948136015884845
Position 1066: 0.21210575407139187
Position 6857: 0.16850093746845515
Position 6518: 0.1026589465478282
Position 264: 0.05795479336889303
Position 10374: 0.05243984564393751
Position 1864: 0.03389204035984295
Position 642: 0.030309328470461794
Position 728: 0.02939186631849188
Position 1158: 0.029188430389214867
Position 530: 0.02330859978791775
Position 9743: 0.02163182651484952
Position 480: 0.015959483997630815
Position 1057: 0.011884017274414465
Position 130: 0.009884993919920797
Position 209: 0.008268656267279732
Position 2301: 0.004467886397959579
Position 2679: 0.0034840133668413834
Position 4110: 0.003013010590822334
Position 1704: 0.0026559072571175017
Position 83: 0.0023482676948564335
Position 8602: 0.002156590167413959
Position 137: 0.0011616700517227195
Position 8532: 0.0010640239346935035
Position 1052: 0.0009990994331633108
Position 4355: 0.0008480223665639475
Position 3345: 0.0006533073702000524
Position 1831: 0.0005965989466879878
Position 537: 0.0005906489874568563
Position 864: 0.0005903473236248606
Position 2594: 0.000583027268260178
Position 1485: 0.0004260328680667509
Position 2308: 0.0004047572466288619
Position 1186: 0.00031737963132958476
Position 1162: 0.00027241316224219087
Position 305: 0.00026852195957748136
Position 3957: 0.0002403479528591578
Position 950: 0.00022780869635909945
Position 2390: 0.00018878712796802137
Position 754: 0.00013597848439594545
Position 1692: 7.539180984277734e-05
Position 1201: 7.353033922088282e-05
Position 774: 6.998557798058519e-05
Position 38: 6.713006385769873e-05
Position 501: 4.413688767262214e-05
Position 441: 4.0791812745753405e-05
Position 941: 3.610765592818134e-05
Position 884: 3.2247548401207696e-05
Position 711: 2.1893407187686884e-05
Position 48: 1.6790310624153688e-05
Position 776: 1.653855695534065e-05
Position 846: 1.322038338327033e-05
Position 886: 1.2799203909328976e-05
Position 234: 1.2060336037950375e-05
Position 496: 1.0090877845684028e-05
Position 881: 7.458251347332294e-06
Position 1108: 7.156498489827937e-06
