Gene = GS1-114I9.3
index = 623
Annotated 5SS: [   57  3896 49674]
Annotated 3SS: [ 3634 49497 49930]
SMsplice 5SS: [   57 17709 27948 49674]
SMsplice 3SS: [17604 27805 49497 49930]
top_k =  1000
Partition function (log Z): -30.01743988044238

Sorted 5' Splice Sites (High to Low Probability):
Position 57: 0.9568304037381316
Position 17709: 0.39733940827056335
Position 7256: 0.18307851566331587
Position 13687: 0.11276419362077608
Position 663: 0.025273267192914266
Position 3747: 0.012811781483288289
Position 3568: 0.011223859734591132
Position 3896: 0.009945776966395547
Position 5069: 0.00966925377333057
Position 7671: 0.00844565032034703
Position 3776: 0.006094575791191034
Position 8236: 0.005511142143172103
Position 12466: 0.005495900332913139
Position 157: 0.005127831998614185
Position 9265: 0.0048426122715726685
Position 419: 0.004575959162033245
Position 163: 0.0043246075397284965
Position 6640: 0.0028405888001609815
Position 7415: 0.0028350259294255453
Position 3071: 0.0027879268109367306
Position 5409: 0.0024578370817215744
Position 9422: 0.002424145058720029
Position 3578: 0.0023486198154540655
Position 8137: 0.0021767726984859674
Position 8240: 0.0018440559165066415
Position 6680: 0.0017061372415375785
Position 6697: 0.0016601106011111212
Position 3207: 0.0012962666485232352
Position 503: 0.0012059874279352041
Position 145: 0.0011829259096147184
Position 7685: 0.0011559390094831095
Position 1117: 0.0011459289034014557
Position 1717: 0.001072950874778454
Position 7632: 0.0009529340901383577
Position 536: 0.0005276309571664022
Position 3737: 0.00045634652319963444
Position 8469: 0.0004243033844363994
Position 3572: 0.00038562444821857797
Position 7340: 0.0003730800696041738
Position 3034: 0.00027361303226157267
Position 4493: 0.0002574803877884258
Position 1071: 0.0002361728642055936
Position 896: 0.0002112457959650681
Position 4732: 0.00020732933585769609
Position 9319: 0.000202222144406822
Position 9445: 0.0001784076023449352
Position 238: 0.00014924425779585124
Position 2126: 9.415848644813052e-05
Position 334: 9.140485718968633e-05
Position 1645: 7.428596463340339e-05
Position 1005: 4.9484534500004873e-05
Position 775: 4.6016792292232284e-05
Position 288: 4.14790111500404e-05
Position 153: 3.83000434751193e-05
