Gene = NOBOX
index = 947
Annotated 5SS: [   85  5672  8359  9182 10022 10471 10831 11278 11946]
Annotated 3SS: [ 5546  8276  8629  9914 10363 10744 11048 11640 12685]
SMsplice 5SS: [   85  8605  9182 10022 10471 10831 11278 11946]
SMsplice 3SS: [ 8513  9083  9914 10363 10744 11048 11640 12685]
top_k =  1000
Partition function (log Z): 5.6357978083836

Sorted 5' Splice Sites (High to Low Probability):
Position 10471: 0.9679917641804618
Position 10831: 0.911124548649636
Position 11278: 0.8558878887519475
Position 85: 0.847658790680487
Position 8605: 0.7297781856415735
Position 9182: 0.6891848769586169
Position 11946: 0.6805488456677954
Position 10022: 0.597952927235983
Position 9995: 0.36140809991262507
Position 8359: 0.3035680758082025
Position 11295: 0.12039071914239012
Position 12734: 0.10433560535860839
Position 11898: 0.09578820385022592
Position 6571: 0.08712598880000545
Position 118: 0.08669483924085522
Position 12265: 0.06741378267821964
Position 254: 0.044331383302101735
Position 11990: 0.02188779801785826
Position 5672: 0.019647230718039203
Position 5408: 0.019187335678661648
Position 5092: 0.01799331702745776
Position 11562: 0.01714252364108623
Position 10118: 0.016431887967667272
Position 9235: 0.012567329259219651
Position 12686: 0.010181716662082096
Position 10095: 0.009012769599646777
Position 8483: 0.008144555602343045
Position 7698: 0.008105437660385063
Position 9566: 0.00790728761928113
Position 9840: 0.00768912878869343
Position 177: 0.007069771612685791
Position 10001: 0.007052765698775441
Position 40: 0.006688710795885114
Position 12410: 0.006207713466640332
Position 11259: 0.00537786299414068
Position 10503: 0.005138130705294057
Position 10903: 0.005117869838413144
Position 8911: 0.00503320616470082
Position 874: 0.004988898341902125
Position 9281: 0.004864334078004264
Position 3531: 0.004830514733465526
Position 12435: 0.004203246070304064
Position 5129: 0.004008470122746043
Position 12124: 0.003875104047888173
Position 12176: 0.0032632703740768307
Position 3173: 0.0032562841961282767
Position 12570: 0.002774447107816239
Position 8720: 0.002429370419002091
Position 4555: 0.0023089304570274157
Position 5452: 0.002169204378582509
Position 507: 0.0021223875122221374
Position 4242: 0.001880317103935409
Position 11969: 0.0018513352165170642
Position 3888: 0.0018407083973464588
Position 3576: 0.0018200213949599168
Position 10507: 0.001636595223291775
Position 10109: 0.001134283142362185
Position 11773: 0.0010070048785288115
Position 11471: 0.0009472932210989662
Position 12588: 0.0007882975619066923
