Gene = C4BPB
index = 211
Annotated 5SS: [ 105  748 1640 2979 7774 9423]
Annotated 3SS: [  639  1465  2801  7679  9307 10946]
SMsplice 5SS: [ 105  748 1640 9423]
SMsplice 3SS: [  639  1465  9307 10958]
top_k =  1000
Partition function (log Z): -5.174536868128014

Sorted 5' Splice Sites (High to Low Probability):
Position 748: 0.8444136051737279
Position 105: 0.780310333012475
Position 1640: 0.7224852304176519
Position 9423: 0.4352312947370251
Position 2979: 0.42350701621619796
Position 2864: 0.3291667879166554
Position 7774: 0.243203764650409
Position 1573: 0.2195205463085302
Position 110: 0.14921653147695577
Position 520: 0.13565184675329175
Position 554: 0.10651541773265086
Position 2428: 0.08907115501342093
Position 6632: 0.0772816666763728
Position 2083: 0.07530400326221548
Position 6970: 0.07292060048838862
Position 10582: 0.030965696044828243
Position 317: 0.02206493068458767
Position 752: 0.014502953937492832
Position 7591: 0.013194924146987023
Position 7558: 0.012495152790014459
Position 10588: 0.012066016429598186
Position 3414: 0.010840548401286064
Position 8687: 0.010736246102769239
Position 190: 0.010190228754901174
Position 382: 0.0039458302361862286
Position 7154: 0.0033306144758207404
Position 9409: 0.0029114091752470896
Position 3401: 0.002512880744267909
Position 703: 0.0023736345316387485
Position 1199: 0.002221443722044133
Position 2657: 0.002219660617898912
Position 53: 0.001849112264890891
Position 9308: 0.0016007504875573514
Position 1719: 0.0015980631927442026
Position 2736: 0.0015379709973422362
Position 342: 0.0015104723528728344
Position 1522: 0.0012048690435811533
Position 6949: 0.0012026388903674425
Position 1825: 0.0011524665331049406
Position 168: 0.0010324865530564947
Position 7082: 0.0009670749011659624
Position 49: 0.0009557412327626076
Position 7969: 0.0007998207840351635
Position 6765: 0.0007744451904920308
Position 285: 0.0006084625554499141
Position 7199: 0.0005720846814798096
Position 945: 0.0004960866760927409
Position 701: 0.00040756862218641217
Position 2621: 0.0003905115252420288
Position 2213: 0.0003621866388283607
Position 595: 0.0003591530279622321
Position 1215: 0.000339139029938966
Position 1836: 0.0002786712758960321
Position 1553: 0.00021462455820517271
Position 1657: 0.00021404688729887228
Position 1644: 0.0002083943253309539
Position 2534: 0.00019654364696150897
Position 3235: 0.00017660964519151576
Position 800: 0.00017506169193797614
Position 1057: 0.0001636268233670255
Position 311: 0.00014760825575372492
Position 720: 0.00014670424299601854
Position 2059: 0.00013867168705598235
Position 640: 0.00012486081079850044
Position 1300: 0.00011670969057632537
Position 1021: 9.615638186728223e-05
Position 2976: 6.266413952874582e-05
Position 3405: 5.663831877128013e-05
Position 5085: 5.330219237151986e-05
Position 653: 5.1172553448598945e-05
Position 587: 4.016795409661442e-05
Position 346: 3.873617366291881e-05
Position 787: 3.69353812580182e-05
Position 463: 3.322767403666359e-05
Position 277: 3.276317665412152e-05
Position 915: 3.18168872135341e-05
Position 2194: 3.131432074770701e-05
Position 504: 2.795116746893956e-05
