Gene = POT1
index = 1055
Annotated 5SS: [   188   1167  14408  31721  32817  37716  59071  66632  71025  77010
  78110  83040  87175  89009  94703 100728 102768 104730]
Annotated 3SS: [   981  14334  31606  32768  37600  58939  66340  70868  76842  78029
  82982  87017  88802  94566 100638 102675 104623 105906]
SMsplice 5SS: [   188   1167   7997  14408  31721  37280  37716  37993  59071  64853
  71025  77010  78110  87175  89009  94703 100728 102768 104730]
SMsplice 3SS: [   981   7872  14334  31606  37165  37600  37892  58939  64681  70868
  76842  78029  87017  88845  94566 100638 102675 104623 105906]
top_k =  1000
Partition function (log Z): -45.73757360860143

Sorted 5' Splice Sites (High to Low Probability):
Position 14408: 0.969516645592688
Position 1167: 0.9412861195961595
Position 188: 0.9011056283003469
Position 7997: 0.6785869025038581
Position 1588: 0.5692138754078548
Position 13141: 0.1697675281155446
Position 423: 0.12920777899232602
Position 460: 0.09793469654577298
Position 4170: 0.08432987125969837
Position 126: 0.06745135836637961
Position 8029: 0.06027920250731104
Position 1365: 0.058967388738938475
Position 763: 0.05149577519297801
Position 4450: 0.05092532732344206
Position 7918: 0.048983238839864385
Position 9464: 0.042433114330642875
Position 10360: 0.04041949517828494
Position 6546: 0.03565339835825265
Position 13534: 0.03394844950267338
Position 11908: 0.03296436529910328
Position 480: 0.031910957345876914
Position 14868: 0.029477749502108953
Position 11918: 0.028523162260761913
Position 21554: 0.02770185740620458
Position 5558: 0.026668610580827368
Position 5170: 0.022223465085424228
Position 427: 0.021522733280980064
Position 408: 0.019234101685079344
Position 19273: 0.018311235496363487
Position 2440: 0.01788910147667198
Position 9492: 0.017759859579912503
Position 1378: 0.016268170019495088
Position 8025: 0.015514240779648582
Position 11429: 0.01501034974258579
Position 10525: 0.014170277366574875
Position 21517: 0.014018254948065512
Position 2088: 0.012966412615716613
Position 5575: 0.011505336999765001
Position 7389: 0.010568961013557419
Position 182: 0.009647904115403257
Position 2699: 0.00877851290977288
Position 2619: 0.008270663981289483
Position 494: 0.008201453726101099
Position 206: 0.006973098329203821
Position 1986: 0.006615753817512336
Position 1255: 0.006403907734388468
Position 1953: 0.005770579517673103
Position 6982: 0.005205633409883186
Position 6676: 0.005203063355400182
Position 3358: 0.004948670133054323
Position 1787: 0.00476089839344099
Position 15492: 0.004443526933265157
Position 1138: 0.0037656643506418634
Position 1099: 0.0036323954319233483
Position 3588: 0.003431576715504261
Position 374: 0.0027925408544166802
Position 1657: 0.00267327748178419
Position 2183: 0.002585787637642831
Position 2818: 0.0025449791509611574
Position 6179: 0.0021891262053026733
Position 8631: 0.002037406543931637
Position 529: 0.001973734339767164
Position 15007: 0.0018361911766511822
