Gene = EXO5
index = 515
Annotated 5SS: [ 137  885 1050]
Annotated 3SS: [ 709  991 5773]
SMsplice 5SS: [ 168  885 1050]
SMsplice 3SS: [ 709  991 5773]
top_k =  1000
Partition function (log Z): -6.016843483017767

Sorted 5' Splice Sites (High to Low Probability):
Position 885: 0.8573100444678106
Position 168: 0.6051168199261047
Position 1050: 0.5172689037461103
Position 1209: 0.3090765434010631
Position 149: 0.2562097819469923
Position 609: 0.18534081472190106
Position 408: 0.17370526786981821
Position 574: 0.10239795097357811
Position 4727: 0.10088512903369815
Position 367: 0.08476847819788215
Position 4991: 0.08187034320900954
Position 137: 0.08171490971787082
Position 820: 0.0396751984029802
Position 3063: 0.03191127822077374
Position 1213: 0.022708122231461184
Position 869: 0.022400436431631768
Position 1217: 0.019144841034671272
Position 824: 0.018688592306634454
Position 5189: 0.011215267547984506
Position 3850: 0.008718964123140945
Position 538: 0.008028903088798268
Position 5126: 0.006847220285640651
Position 1833: 0.005522019019875972
Position 422: 0.0038740051481459025
Position 518: 0.003420241847413679
Position 803: 0.0033890583950826106
Position 1820: 0.0031598101736412744
Position 2479: 0.002840892363209059
Position 159: 0.002814484592250677
Position 1204: 0.002406564181285239
Position 847: 0.002069396254546142
Position 5213: 0.002022953274796081
Position 3807: 0.0016748399867892558
Position 1966: 0.001620526983650792
Position 1191: 0.00156526949243704
Position 415: 0.0014374448045488977
Position 744: 0.0014192488125574904
Position 908: 0.001272326460585148
Position 2280: 0.0009110486113967244
Position 880: 0.0007775507429015831
Position 2436: 0.0006226925141143004
Position 630: 0.0004339371835508631
Position 255: 0.00035188896147151147
Position 142: 0.0001359380685828096
Position 902: 0.0001357463392092955
Position 944: 0.00010505965434423902
Position 339: 0.00010283397627933568
Position 830: 6.219628487335502e-05
Position 219: 4.7368907366482085e-05
Position 306: 4.6568248988843654e-05
Position 381: 3.900771342891269e-05
Position 774: 3.3706167926328196e-05
Position 102: 2.6564743403024044e-05
Position 546: 2.562175439108072e-05
Position 460: 2.3202222400716342e-05
Position 344: 1.7886114373107205e-05
Position 287: 1.5517072640561667e-05
Position 2556: 1.525770510958505e-05
Position 834: 7.952104556087627e-06
Position 2365: 5.755886050437594e-06
Position 1665: 5.333923047030374e-06
Position 2137: 4.375021234824504e-06
Position 729: 4.275537911296632e-06
Position 85: 3.727950081952006e-06
Position 241: 3.699876152991673e-06
Position 282: 2.0498443591306336e-06
Position 601: 8.973608554329403e-07
Position 684: 5.886820877332264e-07
Position 931: 4.5097553113099806e-07
Position 1712: 3.8945832671816383e-07
Position 30: 3.854809750755873e-07
Position 46: 2.990833180355275e-07
Position 49: 2.3597167397508683e-07
Position 1156: 1.922975472112936e-07
Position 224: 3.216398776118618e-08
Position 204: 2.7203376994435172e-08
Position 44: 4.593927450564004e-09
Position 312: 7.965109293588304e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 709: 0.9519740363549002
Position 991: 0.5914385247068834
Position 5773: 0.5540665129194852
Position 300: 0.4767104835838109
Position 4873: 0.23147941712679831
Position 1005: 0.13700436660692653
Position 971: 0.0944150470083389
Position 4600: 0.07960676023570479
Position 1092: 0.05173143854975524
