Gene = SLU7
index = 1274
Annotated 5SS: [  372  4270  5076  5496  5939  6944 10745 11066 11424 11649 11919 12927
 14364 14586 14955]
Annotated 3SS: [ 4083  4921  5414  5773  6874 10696 10933 11325 11580 11778 12764 14258
 14513 14837 15929]
SMsplice 5SS: [  372  4270  5076  5496  5939  6944 10745 11066 11424 11649 11919 12927
 14364 14586 14955]
SMsplice 3SS: [ 4083  4921  5414  5773  6874 10696 10933 11325 11580 11778 12764 14258
 14513 14837 15929]
top_k =  1000
Partition function (log Z): 36.83170638591714

Sorted 5' Splice Sites (High to Low Probability):
Position 11066: 0.999612532128822
Position 14955: 0.9991591132012494
Position 4270: 0.9949861798905397
Position 14586: 0.9782379014226418
Position 6944: 0.9708165733160186
Position 11424: 0.9676117380793837
Position 5076: 0.948445155737466
Position 372: 0.9238147869268358
Position 5496: 0.8484313274775136
Position 11919: 0.8267118844118391
Position 14364: 0.7475993926450418
Position 10745: 0.7438617766788347
Position 12927: 0.7383643546964312
Position 5939: 0.6544994547404794
Position 11649: 0.5186139150000345
Position 144: 0.335266495056468
Position 14391: 0.23424081598098723
Position 10: 0.1881840137836797
Position 2283: 0.18620032148980098
Position 1170: 0.15416776181629716
Position 799: 0.1324000127704915
Position 14752: 0.09000286022152738
Position 2655: 0.08007888689714227
Position 15146: 0.0763549659011708
Position 16013: 0.07439206717106621
Position 12893: 0.07166536157950341
Position 1492: 0.06545412930147057
Position 5920: 0.05408084771125093
Position 1403: 0.05055379747325391
Position 6730: 0.04988988918135006
Position 6550: 0.045284748359123085
Position 9505: 0.04130366179804492
Position 2344: 0.03484476104304555
Position 3252: 0.032855262537094206
Position 2931: 0.03154026428892964
Position 3182: 0.0272952499603874
Position 3119: 0.02653607022774572
Position 7816: 0.025905475031876842
Position 16246: 0.02581815177517322
Position 1479: 0.025775964546380776
Position 9831: 0.025272382316143302
Position 10255: 0.023706670547554556
Position 5054: 0.021676669929560473
Position 9035: 0.020113543060835484
Position 5131: 0.01825745082237051
Position 15249: 0.016266954615610316
Position 6243: 0.015154611183178212
Position 8935: 0.013536597139396015
Position 15139: 0.013295023982206533
Position 5658: 0.012441282263539098
Position 307: 0.012257966777281623
Position 11582: 0.011670909831798023
Position 14746: 0.010567242256215142
Position 3922: 0.009998553858422054
Position 13646: 0.009931249677169861
Position 13547: 0.00955590440973633
Position 1160: 0.009311398632129824
Position 838: 0.009294843231873535
Position 12187: 0.008676451410013821
Position 7841: 0.008595429892247826
Position 827: 0.008355397598418201
Position 14715: 0.008038146015208076
Position 14368: 0.0075028618314195335
Position 6972: 0.007342493082229974
Position 779: 0.006992568203750486
Position 8296: 0.006933392496603184
Position 6459: 0.006549165209462061
Position 10841: 0.005615602340811298
Position 14101: 0.00535849483492374
Position 10094: 0.005326236656538313
Position 8867: 0.005162232956257156
Position 7792: 0.004183105889712449
Position 10236: 0.0038479760126080044
Position 11611: 0.0037588660824637186
Position 1186: 0.0035079981649301694
Position 15451: 0.0034696081837180984
Position 1294: 0.003336937245627596
Position 5805: 0.0032104677073163806
Position 2179: 0.003148010421662053
Position 15575: 0.00290895315828226
Position 11442: 0.002484401063778299
Position 10769: 0.002263870395319021
Position 11466: 0.0021851960480942087
Position 5930: 0.002140568992607453
Position 5596: 0.002034719078782241
Position 15850: 0.0020128264282697032
