Gene = PITHD1
index = 1033
Annotated 5SS: [ 309 1077 1537 7375 8019]
Annotated 3SS: [1032 1458 7269 7909 8869]
SMsplice 5SS: [ 309 1537 7375 8019]
SMsplice 3SS: [1458 7269 7909 9345]
top_k =  1000
Partition function (log Z): -3.797561732698917

Sorted 5' Splice Sites (High to Low Probability):
Position 309: 0.9770059079501099
Position 7375: 0.8542151336641147
Position 8019: 0.8095068895454308
Position 1537: 0.7050540926990488
Position 1077: 0.2684685247565629
Position 5671: 0.25959167438943376
Position 6483: 0.13157771904979076
Position 7363: 0.05029290145323828
Position 658: 0.03691525426752065
Position 6478: 0.03175544659688996
Position 6113: 0.02833021988116063
Position 1197: 0.028281630720459566
Position 1589: 0.02633589814602571
Position 882: 0.02404261567935002
Position 5507: 0.018768647151521597
Position 5190: 0.016705845819231912
Position 7851: 0.01646559460578617
Position 344: 0.014989115277472362
Position 1282: 0.012337231477669849
Position 4735: 0.011346422716286825
Position 9153: 0.010933736289206363
Position 5471: 0.010796575609479437
Position 8885: 0.009940151597491375
Position 5650: 0.009932671271789208
Position 8942: 0.0090222951267073
Position 6585: 0.00834790850834074
Position 3479: 0.008118454656175216
Position 7505: 0.007564953574395921
Position 97: 0.006549440064536018
Position 7735: 0.005745096805022549
Position 3392: 0.005395272845414996
Position 631: 0.0038581497567675874
Position 8465: 0.0036715123350457486
Position 6875: 0.003663895101830574
Position 1313: 0.0032129477875110514
Position 6412: 0.003095351712272502
Position 958: 0.0030255104121692327
Position 893: 0.002709653462279333
Position 3801: 0.002353416278281105
Position 2289: 0.002258903852065182
Position 6493: 0.00219820764474684
Position 2337: 0.0021317221730161643
Position 6604: 0.001983981638642244
Position 9015: 0.001879932481080843
Position 1117: 0.0018662228306826256
Position 6192: 0.0017456398085793148
Position 8185: 0.0015975706568776232
Position 4876: 0.0015191984216545841
Position 1881: 0.0015168308497899513
Position 7073: 0.0012120123442654167
Position 4516: 0.001135867487678574
Position 8038: 0.0011227967405162294
Position 6907: 0.0009812006037151762
Position 9157: 0.0009301416108377722
Position 9234: 0.0009131554032866228
Position 7983: 0.0008038570582785206
Position 5640: 0.0008032037811896923
Position 5330: 0.000764993130366367
Position 1201: 0.0006228196814215003
Position 6115: 0.0006126608823178917
Position 75: 0.0005040236858452287
Position 3562: 0.00048235474213553727
Position 8933: 0.0003658166885112568
Position 5931: 0.00028416685384741603
Position 1251: 0.00023798307381605463
Position 4145: 0.00021260402605456386
Position 922: 0.00016255994789655134
Position 842: 0.00015934239404669708
Position 601: 0.00015715127963160033
Position 847: 0.0001459324686032965
Position 977: 0.00014510460077552407
Position 580: 0.0001378837923193631
Position 1081: 0.00012098318274050562
Position 1092: 0.00010045275260669545
Position 860: 9.793407782317629e-05
Position 5369: 9.004826051005826e-05
Position 1801: 8.904150607363001e-05
Position 2152: 8.869082602517581e-05
