Gene = VOPP1
index = 1549
Annotated 5SS: [  255 51454 74913 80244]
Annotated 3SS: [51394 74834 80106 99479]
SMsplice 5SS: [  255  9025 15547 31446 46532 48155 51454 60821 74521 74913 80244 94500
 94916]
SMsplice 3SS: [ 8922 15264 31327 46446 48036 51394 60723 74442 74834 80106 94386 94829
 99479]
top_k =  1000
Partition function (log Z): -44.55948438660253

Sorted 5' Splice Sites (High to Low Probability):
Position 9025: 0.9042614246926941
Position 15547: 0.6467014247685338
Position 16579: 0.596591619735526
Position 7524: 0.5316301581876487
Position 17621: 0.5192275890495937
Position 18484: 0.4370726691145376
Position 9973: 0.3334372082055599
Position 501: 0.329022572836215
Position 764: 0.3212987972924214
Position 15420: 0.3081990084189269
Position 255: 0.30580975400612004
Position 5357: 0.2574126866098689
Position 13124: 0.25281214657349066
Position 412: 0.25016752739384446
Position 10672: 0.23381787392385972
Position 18506: 0.23188584762074524
Position 8390: 0.2025681103204883
Position 15186: 0.19843289214957682
Position 18874: 0.18175032508254974
Position 22572: 0.14259039373047475
Position 13762: 0.13086165396462462
Position 23008: 0.12501012847373838
Position 702: 0.09249642225185063
Position 16413: 0.08812011689256397
Position 222: 0.0875710977231327
Position 16172: 0.08693167887175994
Position 817: 0.08628099911444008
Position 18715: 0.06881744563207534
Position 16846: 0.06796644700117052
Position 21399: 0.06740927114308734
Position 14045: 0.06447296947878306
Position 10635: 0.06371603239809712
Position 9901: 0.0632754583558839
Position 3295: 0.062288987644315
Position 10415: 0.05748800139492945
Position 10546: 0.05496614604067074
Position 15157: 0.041127250504844226
Position 4157: 0.03423939795237917
Position 13189: 0.02863348778727182
Position 10150: 0.024445391350262722
Position 23027: 0.023276805568398368
Position 11539: 0.019353417925890272
Position 17184: 0.01744433335201994
Position 4246: 0.01583124429982178
Position 18905: 0.010421736679840359
Position 13839: 0.009001092568757032
Position 25451: 0.008497187722431646
Position 19873: 0.007910886431894236
Position 10307: 0.006659361186014007
Position 11075: 0.006566773597178424
Position 18526: 0.00581372902460825
Position 21411: 0.004341206123556454
Position 22212: 0.004136141389476914
Position 448: 0.003915328448115869
Position 674: 0.003838600784210013
Position 13723: 0.003788576636231088
Position 14037: 0.002614119944984677
Position 16716: 0.002544931160394087
Position 425: 0.0025121825497758155
Position 1524: 0.002444512988429847
Position 1845: 0.0023937751142270244
Position 15555: 0.0022783453806009602
Position 11407: 0.0021928162507382173
Position 10173: 0.0012663920528809543
Position 15374: 0.0008969079980945103
Position 9527: 0.0008652348662460444
Position 902: 0.0006181550764243204
Position 17412: 0.0005870988414537092
Position 273: 0.0003906752736406025
Position 10109: 0.0003776823995890947
Position 1128: 0.0003679456671967989
Position 364: 0.00036637268844603684
Position 1363: 0.0003557069014788496
Position 13060: 0.0003512865707120392
Position 5744: 0.00033872385595476364
Position 20943: 0.0003294299874991229
Position 15551: 0.0003278253832551359
Position 16986: 0.0002735032930664292
Position 5813: 0.00020703625908443353
Position 5860: 0.0001532908342801786
Position 7533: 0.00014960251834022812
Position 473: 0.00014125224845443015
Position 2856: 0.00012484404829985504
Position 3703: 0.00012317020467311743
Position 8001: 0.0001136135304776032
Position 3430: 0.00010001988847743414
Position 1001: 7.078067271741461e-05
Position 3736: 7.012336823496125e-05
Position 3609: 6.52942329999483e-05
Position 1234: 6.311367316468437e-05
Position 88: 5.482825626803863e-05
Position 1182: 4.683379144754642e-05
Position 3647: 3.4819047295900215e-05
Position 1339: 3.3462496104058305e-05
Position 3863: 2.993031964941773e-05
Position 2257: 2.8312104643059137e-05
Position 858: 2.7449253668805892e-05
Position 3927: 2.675859106256361e-05
Position 3665: 2.4428635175258135e-05
Position 3614: 2.2197914378371133e-05
Position 3773: 1.87165439380672e-05
Position 1508: 1.6431078692620646e-05
Position 169: 1.6007627800898647e-05
Position 2707: 1.5304713996889242e-05
Position 3577: 1.5027844309769697e-05
Position 18880: 9.058890678789824e-06
Position 322: 8.336718039964036e-06
Position 4413: 4.16183064653823e-06
Position 143: 3.5228580049157124e-06
Position 4798: 2.956617633307725e-06
Position 4370: 1.239465417980606e-06
Position 542: 1.0199188000645469e-06
Position 852: 8.223140353749883e-07
Position 5350: 7.345063881400908e-07
Position 608: 6.068779678748391e-07
Position 509: 4.954449646239592e-07
Position 5234: 3.464740438018907e-07
Position 1158: 2.3754222616148574e-07
Position 667: 2.2684102744688334e-07
Position 1193: 1.990857728301e-07
Position 689: 1.8462609209622778e-07
Position 1514: 1.6691677518872947e-07
Position 804: 1.5796355395295674e-07
Position 1488: 1.450201353728701e-07
Position 113: 9.109728928682819e-08
Position 791: 6.803777221971791e-08
Position 793: 4.0303371563531446e-08
Position 727: 3.6482461748370384e-08
Position 531: 3.5190579156257226e-08
Position 558: 2.9262866862258926e-08
Position 1034: 6.51326609400155e-09
Position 622: 6.052100155147506e-09
Position 619: 4.701855456941475e-09
Position 914: 4.456782620426169e-09
Position 954: 4.446159142817261e-09
Position 464: 4.315372449410248e-09
Position 461: 8.165850295728599e-10
Position 551: 2.702589702564692e-10
