Gene = HRG
index = 664
Annotated 5SS: [ 263 3100 4077 5838 6916 9239]
Annotated 3SS: [ 2982  3985  5670  6834  9136 11094]
SMsplice 5SS: [ 263 3100 5838 6916 8342 9239]
SMsplice 3SS: [ 2982  5670  6834  8204  9136 11094]
top_k =  1000
Partition function (log Z): -1.5344568313367803

Sorted 5' Splice Sites (High to Low Probability):
Position 3100: 0.9546504155425106
Position 9239: 0.9357453708019047
Position 5838: 0.8631870901820228
Position 8342: 0.6721911365700528
Position 6916: 0.6396976756244176
Position 263: 0.6009104619806388
Position 134: 0.27621061892999993
Position 4338: 0.26415070726347467
Position 4077: 0.2583527484122845
Position 1603: 0.22992184577167185
Position 4082: 0.17055198750449968
Position 591: 0.12669357594792036
Position 2852: 0.11263121908661229
Position 4004: 0.08635335275239683
Position 6351: 0.08394853015382664
Position 1843: 0.08007315544717485
Position 1640: 0.06885868796983333
Position 10678: 0.05707024057279022
Position 5854: 0.039475712275497066
Position 8593: 0.03570574356523271
Position 11753: 0.03247964313057807
Position 7742: 0.0272304072939982
Position 6593: 0.02615720842400068
Position 9002: 0.021382871714715243
Position 4280: 0.017424854684791276
Position 1800: 0.01738028533793957
Position 3602: 0.017095370353727275
Position 1335: 0.013383966508289939
Position 7083: 0.01104583253321797
Position 11627: 0.010699244633828504
Position 3297: 0.009998724349670633
Position 6425: 0.00969750297573021
Position 1279: 0.009436250924674379
Position 11684: 0.009286545534493242
Position 3743: 0.008684198988016638
Position 8391: 0.008317311484698386
Position 2700: 0.00816101736553792
Position 2872: 0.008082279309051381
Position 6441: 0.007897071660157507
Position 7994: 0.007463417125950476
Position 2457: 0.006564630960665136
Position 3341: 0.006507979236653088
Position 4342: 0.005874830525114014
Position 4873: 0.005870392046611435
Position 1685: 0.005712420260304598
Position 1283: 0.005634710004087054
Position 903: 0.005619821686603061
Position 11150: 0.005550928565709098
Position 3065: 0.005379841451464874
Position 468: 0.005072097601524084
Position 3999: 0.004831539256940531
Position 5986: 0.0035356850662713254
Position 11882: 0.003355036251362762
Position 748: 0.003276716966549765
Position 1609: 0.0031379458737199038
Position 1748: 0.0030749674682890235
Position 1752: 0.0030126210491277726
Position 2105: 0.002858855145942529
Position 4286: 0.002762254225681653
Position 10901: 0.002520105709038829
Position 1874: 0.0023239317341516796
Position 3531: 0.00219710942965998
Position 1706: 0.001878232279601853
Position 3451: 0.0017495475332551466
Position 3518: 0.001639800206180349
Position 1700: 0.0015378316264827716
Position 3104: 0.0014234856121667873
Position 1225: 0.0014189724091779232
Position 1475: 0.0014155515355491325
Position 7363: 0.0013004917492488621
Position 364: 0.001239717961315184
Position 2704: 0.001205030606787019
Position 780: 0.0010692370731541017
Position 1588: 0.0009558148200812644
Position 4831: 0.0009522269527082492
Position 3694: 0.0008929920590914994
Position 10627: 0.0007726435644202986
Position 6652: 0.000716965927072068
Position 6672: 0.0005854109346267348
Position 10716: 0.0005160946216026397
Position 2671: 0.0005061359651978547
Position 2898: 0.0004886537341464267
Position 464: 0.0004860296258969678
Position 12: 0.0004730782935112127
Position 9333: 0.0003876785614188769
Position 26: 0.0003866838212040768
Position 3887: 0.00035845198851165955
Position 1671: 0.0003309218688487162
