Gene = TIGIT
index = 1401
Annotated 5SS: [ 195 3021 4773 8602]
Annotated 3SS: [ 2897  4442  8494 16792]
SMsplice 5SS: [ 195 3021 5538 8602]
SMsplice 3SS: [ 2897  5400  8494 12058]
top_k =  1000
Partition function (log Z): -8.565363876702243

Sorted 5' Splice Sites (High to Low Probability):
Position 8602: 0.9780947866952727
Position 3021: 0.821444781599265
Position 5538: 0.7604479026466606
Position 195: 0.7243484095502327
Position 4773: 0.43061290104614736
Position 1947: 0.3051885438076371
Position 4550: 0.17989599972345
Position 2018: 0.13077843443945963
Position 4968: 0.12149535573353822
Position 531: 0.08562501692898701
Position 1658: 0.07768409599773139
Position 132: 0.07757836623605426
Position 2497: 0.07545708410524875
Position 1099: 0.06576085138602263
Position 2444: 0.06268448963546412
Position 8282: 0.06211959483491499
Position 282: 0.060399209720299045
Position 16998: 0.052836144753990864
Position 3441: 0.04440287810958475
Position 9647: 0.03736198799214895
Position 241: 0.032492815888874
Position 10334: 0.031477698062540575
Position 4644: 0.030979161150141387
Position 4541: 0.027098658409947365
Position 6828: 0.024904078727579607
Position 2067: 0.021763803974108247
Position 4757: 0.019732352577521997
Position 1640: 0.01775520465324618
Position 4494: 0.014979706388027104
Position 7810: 0.01445159519070133
Position 7777: 0.012085440046526315
Position 478: 0.009610359118754923
Position 6656: 0.008779497819468404
Position 6241: 0.008214257457866001
Position 7658: 0.007950248470911428
Position 6169: 0.007824628029830664
Position 6268: 0.006339488399781134
Position 697: 0.006030130474149621
Position 156: 0.005574848195609329
Position 17239: 0.005317791264670614
Position 1552: 0.004058595266336555
Position 6502: 0.0040390623773791665
Position 8983: 0.004022661156779925
Position 10597: 0.003970547339107633
Position 11833: 0.003756488781419871
Position 1791: 0.0034547016167516633
Position 1612: 0.0030992578042234003
Position 678: 0.0029821033077188984
Position 15903: 0.002920408498345878
Position 875: 0.002918403887051576
Position 14608: 0.0028939799320160265
Position 2430: 0.0021133081417025
Position 682: 0.0016121922049966752
Position 3837: 0.0015845406526932674
Position 9812: 0.0015247706284821764
Position 3981: 0.0013663036409200541
Position 170: 0.0013608258587711351
Position 3834: 0.0012953628085583203
Position 7673: 0.0012664993610544844
Position 10895: 0.0012382333163573971
Position 1492: 0.0011131941484478452
Position 3618: 0.0010911249879037663
Position 8667: 0.0009938347862597163
Position 10925: 0.0009372226386832245
Position 9630: 0.0008724532566151446
Position 1688: 0.0008603028308443318
Position 3866: 0.0007808115219802369
Position 2200: 0.0007561728417562882
Position 1630: 0.0006915340089664509
Position 739: 0.000673698488151695
Position 3749: 0.0006415742192068542
Position 1164: 0.0006348920844975104
Position 9604: 0.0006149518873060845
Position 10866: 0.0005878468126824221
Position 606: 0.0005546502675450195
Position 9292: 0.0005511147487924741
Position 11837: 0.0005380128024134336
Position 2003: 0.00045008329239259223
Position 732: 0.00029996143853798263
