Gene = IGSF21
index = 682
Annotated 5SS: [   453 120265 184242 227265 254485 257952 268650 269247 269686]
Annotated 3SS: [120151 184119 227145 254368 257476 268563 269053 269646 270509]
SMsplice 5SS: [   453  13381  19164  46330  50234  50614  62367  63132  71940  83176
  83376  84397 117901 118631 120265 133172 146214 159378 161461 171139
 173425 175591 178400 184242 205434 215890 227265 235596 250835 252227
 254485 257952 265160 266095]
SMsplice 3SS: [ 13271  19076  46069  50175  50451  62185  62866  71820  82933  83287
  84307 117820 118483 120151 133113 146004 159220 161284 170832 173334
 175404 178270 184119 205321 215770 227145 235445 250706 252138 254368
 257775 265027 265871 266297]
top_k =  1000
Partition function (log Z): -129.44471001031556

Sorted 5' Splice Sites (High to Low Probability):
Position 453: 0.9880746066586481
Position 13381: 0.8672387060545438
Position 19164: 0.35985211418692353
Position 21184: 0.3135735524949678
Position 7280: 0.2760769305535197
Position 7254: 0.25871695287282254
Position 1200: 0.23661199983187065
Position 7136: 0.1266876396520447
Position 7658: 0.12361342083631387
Position 3365: 0.10440449630611036
Position 10789: 0.05539044661727008
Position 11960: 0.05169389273806123
Position 8536: 0.04241661627292987
Position 8011: 0.042260241566259814
Position 5917: 0.04172680764687215
Position 10998: 0.03413889256486495
Position 7547: 0.0292598567732048
Position 18268: 0.026485039779271913
Position 4150: 0.02310405222728397
Position 4798: 0.017826288010675127
Position 3349: 0.013852510683025803
Position 20977: 0.012440045588914279
Position 1119: 0.012376644706470992
Position 6358: 0.012124059048708022
Position 16899: 0.007668199462065612
Position 648: 0.003976673781176235
Position 7922: 0.002664641210169526
Position 10229: 0.0020543902722247667
Position 8710: 0.0017617541442346914
Position 853: 0.0016223191932291914
Position 5626: 0.0012499119151502384
Position 4015: 0.0009974320455074135
Position 15404: 0.000980119452867484
Position 795: 0.000912442444280124
Position 728: 0.0007322021647746073
Position 101: 0.0006174265084416443
Position 4418: 0.0005872125146324718
Position 2136: 0.0005675212044939964
Position 692: 0.0005561858494614028
Position 10185: 0.00044033054214385564
Position 1107: 0.00043122376326123807
Position 1867: 0.0004206911851374069
Position 576: 0.0004150349385082336
Position 492: 0.0003296607609032898
Position 457: 0.0003125688104610911
Position 2686: 0.00030067073162637386
Position 762: 0.00027182997761106026
Position 10662: 0.00023242580212428176
Position 7163: 0.0001672129746493194
Position 869: 0.0001590826619326446
Position 486: 0.00013986007912781826
Position 1893: 0.00010105072354245137
Position 652: 9.639218200701537e-05
Position 973: 8.836236190972492e-05
Position 5521: 8.380993173293452e-05
Position 2556: 7.866515500251405e-05
Position 2385: 7.731681337017803e-05
Position 915: 7.509230782834092e-05
Position 654: 7.239417200132376e-05
Position 754: 6.871740145447166e-05
Position 1685: 6.801384458007225e-05
Position 799: 6.326140196564168e-05
Position 656: 6.235194630331445e-05
Position 658: 6.120131892789443e-05
Position 650: 5.7415347832782656e-05
Position 3151: 5.409626928299283e-05
Position 10767: 5.215838025532774e-05
Position 780: 3.9744408828238804e-05
Position 662: 3.827298837152473e-05
Position 589: 3.4636011163068915e-05
Position 1228: 3.0297425677303856e-05
Position 4579: 2.7535809276506018e-05
Position 4220: 2.7165511840226746e-05
Position 3649: 2.684601274063382e-05
Position 2673: 2.0191256820150416e-05
Position 3687: 2.000084764178944e-05
Position 921: 2.0000636260868707e-05
Position 4291: 1.9985937045729983e-05
Position 891: 1.862020441097621e-05
Position 861: 1.8522450117932212e-05
Position 4322: 1.695994213109229e-05
Position 932: 1.53837929889565e-05
Position 768: 1.4442198360872173e-05
Position 168: 1.372004487767386e-05
Position 1242: 1.3037859759474939e-05
Position 969: 1.200174934059327e-05
Position 4023: 1.1879475018828838e-05
Position 3173: 1.169645577841426e-05
Position 1622: 1.1552634641833959e-05
Position 928: 1.0692756229987882e-05
Position 2065: 1.02073321641163e-05
Position 2815: 9.926620169195355e-06
Position 756: 9.74607887168122e-06
Position 1159: 9.61478509229714e-06
Position 4170: 9.203592349423782e-06
Position 2622: 9.155267666964153e-06
Position 948: 8.413565611520369e-06
Position 4278: 7.983813228257734e-06
Position 1461: 7.821104487852388e-06
Position 758: 7.644930050141517e-06
Position 857: 7.639707943266954e-06
Position 1731: 7.423030387789794e-06
Position 1113: 7.33352882379716e-06
Position 766: 7.241549235109433e-06
Position 2582: 6.786652073515209e-06
Position 787: 6.750463435222938e-06
Position 1653: 6.022068268598951e-06
Position 3166: 5.945085215241904e-06
Position 770: 5.7159477664454864e-06
Position 809: 5.654776051223506e-06
Position 1155: 5.500481287500101e-06
Position 4339: 5.29586936967924e-06
Position 564: 5.2418960568436565e-06
Position 3664: 5.14939934591079e-06
Position 507: 4.9083782047300285e-06
Position 3117: 4.64768870539961e-06
Position 1240: 4.607760440533722e-06
Position 1244: 4.295935157634424e-06
Position 4546: 4.283832759242077e-06
Position 2607: 3.980197177623437e-06
Position 669: 3.913546052633612e-06
Position 3220: 3.71579311639561e-06
Position 1899: 3.42489118478569e-06
Position 1246: 3.424327357286633e-06
Position 1348: 3.124534961493357e-06
Position 1098: 2.864742036277883e-06
Position 2765: 2.7161274667578836e-06
Position 1248: 2.588591521318514e-06
Position 1250: 2.271051558446794e-06
Position 1153: 2.2547130689346023e-06
Position 982: 2.000093490128426e-06
Position 855: 1.9412714963210673e-06
Position 3466: 1.85532180826998e-06
Position 1252: 1.7269971018470767e-06
