Gene = GMPS
index = 603
Annotated 5SS: [  362 23164 27506 33425 35728 40350 40744 44035 45657 48803 51767 54831
 61345 64511 65975]
Annotated 3SS: [22981 27390 33326 35623 40155 40577 43882 45482 48696 51650 54704 61228
 64379 65801 67054]
SMsplice 5SS: [  362 14246 23062 27506 27699 28329 33425 40744 44035 44510 45657 48803
 49666 51767 54831 61345 64511 65975]
SMsplice 3SS: [14158 22981 27390 27589 28203 33326 40577 43882 44253 45482 48696 49595
 51650 54704 61228 64379 65801 67054]
top_k =  1000
Partition function (log Z): 0.3060055383834426

Sorted 5' Splice Sites (High to Low Probability):
Position 27699: 1.0000000000000007
Position 44035: 0.9936741587973026
Position 33425: 0.9796935013316204
Position 40744: 0.9777493327263499
Position 48803: 0.9721485808409375
Position 14246: 0.9653377236403
Position 64511: 0.9641641179939803
Position 362: 0.9268941952088608
Position 61345: 0.8551355050912329
Position 51767: 0.8265622780431695
Position 54831: 0.8240656344911181
Position 16996: 0.8136551683427246
Position 65975: 0.7994550432481281
Position 28329: 0.7130129162941546
Position 45657: 0.7008061948743088
Position 44510: 0.5220999973124212
Position 23062: 0.4106810139398102
Position 67346: 0.39324212080664833
Position 20222: 0.3757516368863577
Position 23164: 0.3466871295770867
Position 34613: 0.34337855140670814
Position 55296: 0.3164737364433737
Position 23098: 0.24263185648310417
Position 59606: 0.22271969026352637
Position 12287: 0.22234190714246416
Position 28305: 0.2192861049115496
Position 41652: 0.17363534906911962
Position 67645: 0.1584027645869779
Position 40350: 0.15015784400080562
Position 46715: 0.14143448915521142
Position 14495: 0.13170270433094142
Position 18794: 0.11472146822085
Position 49898: 0.10863260419028303
Position 54819: 0.10220464393825916
Position 53739: 0.09314981276400511
Position 35803: 0.0924785528344212
Position 2325: 0.09119594529613137
Position 45544: 0.08537150562161923
Position 35780: 0.08047793776646625
Position 54092: 0.07878137421411557
Position 34408: 0.07540942676583731
Position 7203: 0.07233258432316539
Position 70385: 0.06868859139004653
Position 687: 0.06655967658032924
Position 35728: 0.06229869906479356
Position 61448: 0.054374488471489374
Position 55053: 0.05147562786878213
Position 33628: 0.05122939406186812
Position 68678: 0.04913011021049002
Position 9844: 0.04824219099024279
Position 65081: 0.0454729610149851
Position 42518: 0.04435630757948328
Position 59612: 0.0430646493031626
Position 61000: 0.0339121230141011
Position 54033: 0.033741134155339705
Position 44445: 0.032006561168521235
Position 28774: 0.03150992320391041
Position 59589: 0.02942515899792828
Position 35268: 0.027061493031754376
Position 51410: 0.025725644277033034
Position 67696: 0.024909047308203803
Position 42053: 0.02204357338445218
Position 44512: 0.02172810575311577
Position 49830: 0.02048914966486559
Position 63929: 0.01883695181462122
Position 54823: 0.018835928965352734
Position 53207: 0.018616306631352764
Position 46673: 0.018200250544514837
Position 49842: 0.01746533068688688
Position 51556: 0.016883008218545405
Position 40737: 0.016316974641325914
Position 47775: 0.015758980806976526
Position 46886: 0.01415939816179676
Position 49860: 0.013562870301450966
Position 45644: 0.013278952315417057
Position 42196: 0.01311210752775951
Position 65937: 0.012958005911699726
Position 53811: 0.012460157250950952
Position 49633: 0.012084440456419364
Position 55021: 0.01137901901106649
Position 70318: 0.010475904368993889
Position 72089: 0.010243891483239037
Position 60430: 0.010003818797683802
Position 37390: 0.009300687238059751
Position 55916: 0.009278503113188319
Position 66989: 0.00896427643997891
Position 46235: 0.008404272746962945
Position 64903: 0.007365258601306052
Position 60633: 0.007201113396280468
Position 66516: 0.007029240295817566
Position 41384: 0.006791161474538919
Position 48330: 0.0062286909023888
Position 44334: 0.006044932876107721
Position 41434: 0.005895722800047199
Position 46717: 0.005804561999527763
Position 49780: 0.004985246450093067
Position 41245: 0.004777200228298074
Position 41806: 0.0046641868064019
Position 5688: 0.004349984545018182
Position 36457: 0.0043189812909456725
Position 67095: 0.004274849137195748
Position 67651: 0.004229878802343127
Position 67153: 0.004179760516120697
Position 52581: 0.004168143909990029
Position 63917: 0.004074575434822678
Position 41563: 0.004040840819481687
Position 50616: 0.004013688930129969
Position 8281: 0.003738404777361174
Position 55826: 0.0037011123034815527
Position 47924: 0.0030973940673843323
Position 49754: 0.003068426057625318
Position 4618: 0.0030158296023079924
Position 41070: 0.003009368267246245
Position 41088: 0.0028934619890611264
Position 46565: 0.002874952820277902
Position 46102: 0.002801597909441964
Position 51127: 0.002666163934514548
Position 48777: 0.002471787387651893
Position 49331: 0.002436364655310785
Position 46032: 0.0024305654666114005
Position 48186: 0.0023258111226804445
Position 50414: 0.0023174573275431937
Position 43991: 0.002168578403845181
Position 50258: 0.0019955726918748475
Position 47733: 0.0018520981982435957
Position 50591: 0.0017606044725005732
Position 51160: 0.0016988319684151563
Position 1007: 0.0014801907256720324
Position 67340: 0.0013924224282623851
Position 49175: 0.001292358855693952
Position 40765: 0.0012755664126617228
Position 52026: 0.0012754565942367146
Position 33: 0.0012749126637488126
Position 43263: 0.0012446733562501812
Position 64891: 0.0011573397856710725
Position 48931: 0.0011400459182312282
Position 67463: 0.0011355815751310898
Position 51198: 0.0010599451242142587
Position 45976: 0.0010049146850797748
Position 46052: 0.0009427591863288072
Position 681: 0.0009232402533174592
Position 67687: 0.0009148369216177698
Position 41812: 0.0008945453669807664
Position 47743: 0.0008738072019146771
Position 579: 0.0008334595040845041
Position 66587: 0.0008152356709527744
Position 46533: 0.0008117571930739613
Position 43974: 0.0008046370023150337
Position 47936: 0.0008006719846650101
Position 42729: 0.0006581781500220755
Position 42087: 0.0005811924686817207
Position 66452: 0.0005520321917342128
Position 44328: 0.0004740765001635569
Position 117: 0.0004666492686508103
Position 66524: 0.00046070887024356573
Position 1076: 0.0003762127532422571
Position 44063: 0.0003329079126409096
Position 46175: 0.00029838230154350894
Position 48124: 0.00029092919040664097
Position 934: 0.00021357659565717505
Position 45528: 0.0001800544887097541
Position 67874: 0.00016494146866149998
Position 49157: 0.00015856774355128077
Position 1734: 0.00015236528360450122
Position 44077: 0.0001476055708705217
Position 1630: 0.00013950977098398733
Position 45686: 0.0001391881611579985
Position 44378: 8.522581219431775e-05
Position 46270: 7.85699309133803e-05
Position 1088: 7.814795304365468e-05
Position 512: 7.783690437772339e-05
Position 12: 7.614280325434225e-05
Position 130: 6.897754031730879e-05
Position 49273: 6.68721467680825e-05
Position 1485: 5.689214026888242e-05
Position 1686: 5.31935365579802e-05
Position 44029: 3.8821132411203834e-05
Position 725: 3.8356879976330576e-05
Position 1249: 3.482303663744156e-05
Position 46018: 3.336631518904418e-05
Position 707: 3.077307965884597e-05
Position 1416: 2.4668917053449663e-05
Position 45663: 2.27198544334932e-05
Position 368: 2.2662485608585032e-05
Position 46196: 1.9153828716973386e-05
Position 55153: 1.849371384349907e-05
Position 1028: 1.755891569768039e-05
Position 374: 1.6073700688743853e-05
Position 1137: 1.4607966180449482e-05
Position 813: 1.1007638345095131e-05
Position 2101: 1.0320463764350113e-05
Position 943: 9.913017309298675e-06
Position 294: 9.320557866222342e-06
