Gene = ATG3
index = 108
Annotated 5SS: [  507  3588  8684 11772 13431 17907 20161 23818 24229 25489 27695]
Annotated 3SS: [ 3545  8633 11700 13322 17856 20078 23782 24072 25360 27625 29182]
SMsplice 5SS: [  507 11772 13431 20161 24229]
SMsplice 3SS: [11700 13322 20078 24072 27625]
top_k =  1000
Partition function (log Z): 5.040505583723393

Sorted 5' Splice Sites (High to Low Probability):
Position 13431: 0.9995763364584161
Position 24229: 0.9951735730280915
Position 20161: 0.9900139734768932
Position 11772: 0.8815714860208892
Position 507: 0.6428769916528014
Position 3588: 0.5964335245985541
Position 12139: 0.5291085655183887
Position 13133: 0.4946649093872174
Position 23818: 0.45866948826360726
Position 25489: 0.4440263815200233
Position 763: 0.3445674891624899
Position 12811: 0.33375143556010056
Position 118: 0.2342454826693537
Position 17907: 0.2002162772855047
Position 14196: 0.18519654067357302
Position 16704: 0.12421559899182412
Position 8684: 0.11273708375835921
Position 27711: 0.10749874860056587
Position 16692: 0.09702608794632196
Position 26796: 0.09496645122288275
Position 11813: 0.08303959632018518
Position 23398: 0.0621060454004708
Position 27707: 0.06159725203525885
Position 1568: 0.061180736883111854
Position 20660: 0.060086689936841006
Position 124: 0.059082711735284156
Position 3940: 0.05641497316329641
Position 26518: 0.056307915306103344
Position 23524: 0.05283668061762058
Position 27369: 0.04508677133141723
Position 3893: 0.03833169990162554
Position 5939: 0.035762434280967474
Position 14905: 0.03456386296804528
Position 199: 0.034065168242882776
Position 12000: 0.02691298697889968
Position 24490: 0.02492841260385748
Position 12444: 0.024450253355026416
Position 3378: 0.023740215194618792
Position 15666: 0.023738281979710542
Position 26119: 0.01946633630762357
Position 24606: 0.018944815963757765
Position 7446: 0.018192809909051595
Position 1326: 0.015358474320564097
Position 15662: 0.014533051377938758
Position 25944: 0.013308221751469403
Position 2456: 0.01204566979742427
Position 1911: 0.0119348041673454
Position 20835: 0.011702437267210467
Position 17651: 0.011627633516499992
Position 1920: 0.011086178027854322
Position 24730: 0.010516199962756828
Position 146: 0.010459286736494641
Position 2850: 0.00991561400701377
Position 14181: 0.008909520465500129
Position 13062: 0.008834157447867023
Position 26553: 0.008590051997257589
Position 20702: 0.008086376843417184
Position 16032: 0.00803146653207003
Position 1241: 0.007982498527686933
Position 20654: 0.007674329841315443
Position 24602: 0.007278776749767496
Position 21887: 0.006729346503288851
Position 11759: 0.0063827546323449655
Position 1836: 0.00575620175353432
Position 15561: 0.005597461895261936
Position 20251: 0.005242101911115133
Position 917: 0.005135583158285804
Position 19148: 0.004687281505642643
Position 25829: 0.004359955667282255
Position 22267: 0.003766805572043704
Position 12982: 0.003751416167851053
Position 27930: 0.003366264374274328
Position 28996: 0.0029992632259264475
Position 19568: 0.002916492967484038
Position 26167: 0.0028637263864946696
Position 23621: 0.002835469813803512
Position 17109: 0.002800236508184181
Position 25895: 0.0027332856904756014
Position 45: 0.002160640058078934
Position 16327: 0.0021106663238260968
Position 23822: 0.001933729466436108
Position 604: 0.0018506880850470676
Position 20544: 0.001775033588597763
Position 22215: 0.0017270896780587823
Position 13737: 0.0017014227039061013
Position 2799: 0.0016144353079047893
Position 11947: 0.0015497871535847794
Position 22550: 0.001546459926887215
Position 2113: 0.0014752765606399548
Position 314: 0.0014099843320748897
Position 14923: 0.0013867273754806502
Position 1907: 0.001211294481185132
Position 14655: 0.0010938916025837713
Position 2994: 0.00099793037917305
Position 21549: 0.0009647344116582641
Position 27695: 0.0009590386967161972
Position 15259: 0.0009561784114704387
