Gene = OTULIN
index = 990
Annotated 5SS: [  230  8971 14028 16860 22899 25561]
Annotated 3SS: [ 8893 13932 16715 22772 25290 28105]
SMsplice 5SS: [  230  8971 14028 16860 25561]
SMsplice 3SS: [ 8893 13932 16715 25290 28105]
top_k =  1000
Partition function (log Z): -7.084265643398031

Sorted 5' Splice Sites (High to Low Probability):
Position 230: 0.9961978637602026
Position 8971: 0.9618255334486076
Position 28229: 0.8013415581256155
Position 14028: 0.790100998716403
Position 25561: 0.6521744355078936
Position 16860: 0.559077825498437
Position 22899: 0.5571541007326999
Position 30233: 0.486078759755842
Position 15317: 0.43717147450421984
Position 3682: 0.3303763653634609
Position 16877: 0.2712734540892987
Position 20345: 0.21816765402138635
Position 7480: 0.19801778806271655
Position 14041: 0.14470016679140185
Position 13855: 0.10778665640273807
Position 3787: 0.10571612127772233
Position 7384: 0.08969367004115794
Position 7881: 0.08649288385225057
Position 15907: 0.0717195964399999
Position 31285: 0.07166011889152812
Position 25180: 0.0653860495008396
Position 20129: 0.05472988762266671
Position 16098: 0.05145057920800474
Position 32249: 0.049302800583276345
Position 11612: 0.042020649223360525
Position 28371: 0.04168888319733731
Position 3972: 0.03903313614207549
Position 28347: 0.03780960086329844
Position 10253: 0.03162085555513001
Position 14056: 0.030663780574665712
Position 842: 0.030476678251222498
Position 4965: 0.02982765736884133
Position 11711: 0.02844852236727163
Position 5008: 0.0282111051927935
Position 1991: 0.025097596668535154
Position 25534: 0.022961671208928884
Position 15385: 0.0218948201248053
Position 6000: 0.02137281777125692
Position 7821: 0.020649496965128036
Position 4633: 0.019565890141086756
Position 13476: 0.01811802998483399
Position 4843: 0.016329142623263238
Position 2165: 0.016103153189165036
Position 28649: 0.015595123476699635
Position 19054: 0.015027879714562873
Position 10258: 0.014339482091860192
Position 9524: 0.014278824164045847
Position 21244: 0.013397209518738337
Position 29274: 0.012491116350419385
Position 20458: 0.012308304057768725
Position 14017: 0.01083845979229411
Position 13314: 0.010466132092124589
Position 32794: 0.010190775801263832
Position 11934: 0.0097647170930923
Position 22432: 0.008438104150684553
Position 15703: 0.007791769629381059
Position 8709: 0.007621263959526632
Position 12577: 0.007380569716939496
Position 13768: 0.0072608554049680375
Position 12673: 0.0066445354046086764
Position 16973: 0.00585480288156415
Position 21696: 0.0054770901894850635
Position 724: 0.005293798837920006
Position 20401: 0.0043676226005661305
Position 1882: 0.0041428866845723555
Position 2907: 0.004030003467498179
Position 758: 0.003976977947022108
Position 16084: 0.003972534612819915
Position 20316: 0.003184582801645288
Position 14566: 0.003020065385343277
Position 1604: 0.002820575768489311
Position 15714: 0.0027574136991856332
Position 6856: 0.002697329543392154
Position 2525: 0.00258070397849275
Position 6836: 0.0023729941150891927
Position 13399: 0.0022917605335232355
Position 10929: 0.0021074607551147513
Position 15081: 0.0019846659607349777
Position 1372: 0.0018798194643358758
Position 4793: 0.0017369895570018019
Position 13294: 0.0016306277665082429
Position 13026: 0.001556220227869284
Position 4157: 0.0014615146988995855
Position 12595: 0.0014080168785749103
Position 3282: 0.001372295312706764
Position 22931: 0.001369302126614675
Position 768: 0.0013427898952177908
Position 7526: 0.0012638632474860152
Position 9876: 0.0009652445341437744
Position 5030: 0.0008978378246724661
Position 344: 0.000795299981175727
Position 6171: 0.0007103525356518185
Position 7356: 0.0005442091048715494
Position 2101: 0.0005172936151424921
Position 2355: 0.0004958697701179669
Position 3733: 0.00044355840761303543
Position 3640: 0.0004026373767191918
Position 3676: 0.0003622150091791453
Position 2580: 0.0003530681673525917
Position 2768: 0.0003354130256488333
Position 391: 0.0002936988379663172
Position 586: 0.0002367166810326927
Position 1075: 0.0002211396439594626
Position 1680: 0.00017438563305468375
Position 234: 0.0001651521312680179
Position 2490: 0.00016162858072970985
Position 834: 0.00015375282488107745
Position 14678: 0.00015189633594161892
Position 2080: 0.00014855130452279177
Position 19751: 0.00012652492989143115
Position 300: 0.0001244612143420597
Position 1381: 0.00010667729252187613
Position 1845: 0.00010056035409612098
Position 4327: 8.299868360389352e-05
Position 1490: 7.520688186534683e-05
Position 1888: 7.317800724291662e-05
Position 9376: 7.243314762467959e-05
Position 3319: 7.100842845304099e-05
Position 984: 6.586589999960848e-05
Position 2537: 5.3503392718544254e-05
Position 531: 4.8957660239224924e-05
Position 3351: 4.605059019226947e-05
Position 9368: 4.441961074263256e-05
Position 14673: 4.327550032539755e-05
Position 2072: 4.166284115004744e-05
Position 658: 4.128566038992201e-05
Position 2497: 3.632054388590818e-05
Position 591: 3.5605919570996066e-05
Position 9112: 2.700513407173056e-05
Position 276: 2.594774550330678e-05
Position 4476: 2.430175374360864e-05
Position 3797: 2.2562266273712503e-05
Position 260: 2.211307215288088e-05
Position 3484: 2.1223493147155358e-05
Position 871: 2.0337536562431146e-05
Position 3791: 1.89433314299591e-05
Position 3659: 1.8878915129206468e-05
Position 2924: 1.8660966393710723e-05
Position 4194: 1.8220185482158727e-05
Position 526: 1.7593353656440906e-05
Position 2939: 1.723574223730709e-05
Position 3730: 1.6128361366663805e-05
Position 2208: 1.5987117249890252e-05
Position 1858: 1.4617170408951638e-05
Position 2890: 1.2688415801886225e-05
Position 4953: 1.1576380692986176e-05
Position 1870: 1.1333310861060802e-05
Position 787: 1.1150705076132624e-05
Position 4239: 1.07026968224112e-05
Position 397: 9.899132623598702e-06
Position 3617: 9.834413542031032e-06
Position 3692: 9.81165073474355e-06
Position 4312: 9.009629039361496e-06
Position 1659: 7.88331145936761e-06
Position 3748: 7.241773814403277e-06
Position 1886: 7.117569095868292e-06
Position 4033: 7.039058258782123e-06
Position 2643: 6.5371742006507876e-06
Position 4436: 6.200682890544161e-06
Position 2415: 6.007101824971147e-06
Position 14687: 1.8584981073737271e-06
Position 4098: 1.415721681552942e-06
Position 434: 1.1467513015299373e-06
Position 442: 1.048520752882204e-06
Position 389: 6.218401591300559e-07
Position 485: 5.42191154399815e-07
Position 321: 3.259943597786248e-07
Position 215: 1.869674935760538e-07
Position 310: 1.2123178413945079e-07
Position 38: 1.1501553392179221e-07
Position 380: 6.241447826043115e-08
Position 82: 5.496694950775639e-08
Position 478: 4.910094589792573e-08
Position 307: 1.9755128484098902e-08
Position 456: 1.9354258424112985e-08
