Gene = ERV3-1
index = 510
Annotated 5SS: [113]
Annotated 3SS: [13238]
SMsplice 5SS: [113]
SMsplice 3SS: [10133]
top_k =  1000
Partition function (log Z): -13.217931999805655

Sorted 5' Splice Sites (High to Low Probability):
Position 113: 0.9300915791510933
Position 10319: 0.3565917504432491
Position 13359: 0.08220752422927348
Position 5801: 0.061252028769956765
Position 7086: 0.0464846709035491
Position 3281: 0.04217034200469373
Position 7533: 0.039754532518517655
Position 60: 0.03935386667855215
Position 7538: 0.031761276298161986
Position 1341: 0.031682892125891274
Position 2586: 0.031173916409801345
Position 126: 0.026593062082663196
Position 2983: 0.021472557961985602
Position 11461: 0.017991616401843248
Position 5994: 0.016353283481907534
Position 13365: 0.014732445981163841
Position 6198: 0.014483348603426005
Position 3301: 0.014449650656923777
Position 679: 0.014129467836353523
Position 2974: 0.011440119013130632
Position 1544: 0.010014400599186993
Position 6182: 0.009291104775526578
Position 474: 0.008682586761424454
Position 2736: 0.006723082809519039
Position 9096: 0.0036477883597938175
Position 3390: 0.0033186640332952336
Position 7729: 0.0033088591064488505
Position 7041: 0.0022634986661085868
Position 5578: 0.0013300596786245725
Position 5555: 0.0012705665615781359
Position 3425: 0.0011608779683685423
Position 1116: 0.0007365932407438119
Position 167: 0.0006205315632712738
Position 5431: 0.0005353486088005882
Position 2258: 0.00048691358747309535
Position 2778: 0.0004462290663180702
Position 1684: 0.0003553582365913779
Position 5480: 0.00022543411698054683
Position 558: 0.000181046479254793
Position 2019: 0.0001654874411578616
Position 2086: 0.0001558278779478478
Position 157: 0.00015065374272714102
Position 2865: 0.0001393830690485135
Position 4806: 0.00010943884334878366
Position 523: 9.734796412169841e-05
Position 417: 9.613249221760776e-05
Position 2511: 9.585099907458929e-05
Position 3148: 7.750976228399399e-05
Position 5501: 6.98252263803994e-05
Position 358: 5.0044781653761964e-05
Position 1578: 4.7763917664550424e-05
Position 1665: 4.394743694375317e-05
Position 1524: 2.9195558088946178e-05
Position 483: 2.852999425880151e-05
Position 2564: 2.7476504052615885e-05
Position 1749: 2.708884877575496e-05
Position 2374: 1.967148305361682e-05
Position 330: 1.9195742255844423e-05
Position 674: 1.770453629197538e-05
Position 1448: 1.7040003567431736e-05
Position 1431: 1.4822099372643406e-05
Position 1311: 1.3186159752089646e-05
Position 744: 1.1348493582875933e-05
Position 2400: 1.0854067725793482e-05
Position 734: 1.0347214888564138e-05
Position 451: 8.917179923377112e-06
Position 1612: 8.857836231420049e-06
Position 3064: 8.475841324821279e-06
Position 1898: 7.670003700471376e-06
Position 715: 5.468102759050239e-06
Position 704: 3.5611960600558533e-06
Position 1093: 2.0715379452272254e-06
Position 1105: 1.935764636765245e-06
Position 684: 1.5497588360776112e-06
Position 3214: 1.213408177069168e-06
Position 795: 1.2099506904309535e-06
Position 3936: 1.2043657472043245e-06
Position 3830: 1.1365379153343354e-06
Position 119: 1.0774032450126842e-06
Position 641: 7.85879359776767e-07
Position 762: 7.381336714222795e-07
Position 336: 6.277784939841643e-07
Position 1800: 4.2173810768265237e-07
Position 597: 3.2108603745292074e-07
Position 351: 2.4878981371423036e-07
Position 572: 2.3888885784827e-07
Position 314: 1.8773360617720163e-07
Position 174: 1.244325216578701e-07
Position 1004: 1.1367355502697573e-07
Position 490: 1.1244993965031968e-07
Position 604: 1.0880528234233497e-07
Position 420: 1.052263183798783e-07
Position 231: 9.616635640158999e-08
Position 594: 8.622881732521626e-08
Position 258: 8.622193800441721e-08
Position 398: 7.853949891228774e-08
Position 343: 7.851008779477626e-08
Position 1240: 3.5550463896235995e-08
Position 1235: 2.80041693757581e-08
Position 1317: 1.6914605713794886e-08
Position 180: 5.545109324949259e-09
Position 41: 4.684841148446196e-09
Position 11: 3.544834108004641e-09
Position 49: 1.3279604154555136e-09
Position 13: 1.7289403049277457e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10133: 0.45879747062544546
Position 13238: 0.20598273712899323
Position 14242: 0.10509799410331054
Position 13607: 0.10422404836551477
Position 12602: 0.10362530571951564
Position 7474: 0.07947183859124403
Position 3179: 0.07564004600395327
Position 5725: 0.07222441604254036
Position 7013: 0.06728364774195192
Position 13244: 0.06392234722202574
Position 7139: 0.05504406743729964
Position 205: 0.041847428914866314
Position 1193: 0.028469077170197376
Position 2776: 0.028249456249773895
Position 385: 0.027973028767737326
Position 13272: 0.020725649351352265
Position 12492: 0.019754077616667746
Position 2293: 0.018162420932485455
Position 5322: 0.018136845678113606
Position 3050: 0.01785954015487951
Position 6041: 0.015653893335906846
Position 5675: 0.013853442395534293
Position 1391: 0.013779720383894693
Position 2510: 0.010946790490745843
Position 5863: 0.010824463622929254
Position 11611: 0.010767915414207577
Position 2318: 0.010452663534279706
Position 6067: 0.010005328564252826
Position 6092: 0.009364356190181385
Position 11350: 0.009128362886469791
Position 11368: 0.00886325351537344
Position 2456: 0.008304708866288337
Position 3199: 0.007535801100517738
Position 5895: 0.006551046948052545
Position 8834: 0.0064190559793779346
Position 2694: 0.005625267713941455
Position 1281: 0.005462381584057027
Position 403: 0.00525020614849356
Position 7209: 0.005240254219189615
Position 3502: 0.005235380716531648
Position 4867: 0.005233634382629513
Position 10813: 0.005068890391777124
Position 11648: 0.0049424334552517065
Position 11111: 0.004899867209201368
Position 10838: 0.004785849596456686
Position 12704: 0.0047519661106433814
Position 5875: 0.004526807570015165
Position 8878: 0.003880349246715966
Position 8772: 0.0038663158289494112
Position 12185: 0.003431096510869201
Position 3486: 0.00307626396585169
Position 2234: 0.0029834705084328143
Position 2547: 0.0027312188227118965
Position 2944: 0.002629120364882736
Position 2875: 0.0025173716506173456
Position 5279: 0.0023069684668095562
Position 6650: 0.0022983070712836715
Position 3806: 0.002177875823712449
Position 9912: 0.0021421471652297527
Position 330: 0.0019827475758518523
Position 4988: 0.0018988247000013571
Position 10463: 0.0016316314871561812
Position 1458: 0.0014756483479519736
Position 986: 0.0012733201632793953
Position 2792: 0.001234444183714507
Position 1149: 0.0010325893704181666
Position 246: 0.001003872521359373
Position 5477: 0.0009478991936966881
Position 7800: 0.0009245625534783694
Position 2485: 0.0009084927262229633
Position 4884: 0.0008895828300305145
Position 5171: 0.0008560880515631126
Position 5931: 0.0007730736159036857
Position 2973: 0.0007391810409001042
Position 8938: 0.0007333742620806425
Position 4847: 0.0007277065824851586
Position 907: 0.0007232400315562806
Position 8618: 0.0007092803505465722
Position 10008: 0.0006909983807834756
Position 8351: 0.0006665205695609228
Position 6776: 0.0006441147418641397
Position 947: 0.0005990200726607004
Position 532: 0.0005934214018943309
Position 365: 0.000583227717093539
Position 8385: 0.0005803531674138232
Position 5537: 0.0005694662295601689
Position 597: 0.0005580244858819515
Position 9771: 0.0005488529092906372
Position 4719: 0.0005434277714494864
Position 8536: 0.0005265061024017409
Position 4722: 0.0005223943690944608
Position 5623: 0.000503122993583435
Position 8088: 0.0004964390612661693
Position 950: 0.0004500379332365654
Position 1653: 0.0004440237175317898
Position 1340: 0.00043881541334548046
Position 1448: 0.0004304541290346666
Position 8252: 0.0004140147267126382
Position 7119: 0.0004017282883255715
Position 6706: 0.00038735554627013094
Position 3255: 0.0003613325020874592
Position 1103: 0.0003367725473661983
Position 2878: 0.00032171836767946345
Position 6164: 0.00030883673392612923
Position 8178: 0.0002835025378327542
Position 3665: 0.0002759656498983521
Position 4769: 0.00025144888929990567
Position 1172: 0.00024689391764721536
Position 4059: 0.00024525673465651163
Position 351: 0.00024460942451571
Position 3525: 0.00023939732119842026
Position 2166: 0.0002293658550497471
Position 806: 0.00022544712445729217
Position 2075: 0.0002102337103630813
Position 5771: 0.00020889412451632753
Position 490: 0.00020353241727152829
Position 1004: 0.00020194113072237024
Position 5203: 0.000184044301567369
Position 6579: 0.00016648632189287567
Position 258: 0.0001583448653435416
Position 5114: 0.00015011226036250067
Position 1596: 0.00014524708389607066
