Gene = ASZ1
index = 105
Annotated 5SS: [  168   688  5287  7361 41826 42798 44538 45455 46513 47586 58912 60172]
Annotated 3SS: [  587  5163  7248 41713 42662 44412 45378 46455 47475 58805 60057 63774]
SMsplice 5SS: [  168   688  5287 41826 42798 44538 45455 47586]
SMsplice 3SS: [  587  5163 41713 42662 44412 45239 47475 58805]
top_k =  1000
Partition function (log Z): -31.028710938700847

Sorted 5' Splice Sites (High to Low Probability):
Position 168: 0.9754587388198027
Position 688: 0.9648709846191315
Position 5287: 0.8550093066278119
Position 7361: 0.45834371422039943
Position 11957: 0.07569375924058894
Position 13305: 0.050695475328783074
Position 11091: 0.03169504696125594
Position 5840: 0.026729847893874836
Position 5727: 0.01920745527145243
Position 4722: 0.01738565240034643
Position 146: 0.016219363328929363
Position 5069: 0.010970871932902884
Position 13438: 0.008887961154491973
Position 6235: 0.006883061342757252
Position 4118: 0.006520597706747835
Position 5263: 0.0060735583125703495
Position 3377: 0.005798677927503023
Position 11460: 0.003142374977023061
Position 6750: 0.0022782926044651866
Position 5104: 0.002130629670022871
Position 3372: 0.0018560755299835286
Position 12528: 0.0015156773718800172
Position 4438: 0.001360837703678747
Position 759: 0.0013308190343391763
Position 7664: 0.001324820032782555
Position 7357: 0.0010618700394153077
Position 4878: 0.001031834630539275
Position 12198: 0.0007702437207511404
Position 112: 0.0007641239173694001
Position 383: 0.0007031250897904146
Position 399: 0.0006734201718162716
Position 1688: 0.000668747376471646
Position 1328: 0.0005515702659815243
Position 6278: 0.0004915977128602739
Position 464: 0.0004733133584892081
Position 3344: 0.0004587453823256264
Position 7143: 0.00039567200937067396
Position 2359: 0.0003333819076947808
Position 2023: 0.000322627570579861
Position 266: 0.00031437258404706016
Position 2922: 0.00030755505364765093
Position 377: 0.0003066773234315129
Position 731: 0.00027068996310038195
Position 502: 0.0002471221038718738
Position 3134: 0.00022946658361985194
Position 3116: 0.00016577855437382565
Position 9559: 0.00011543294208354816
Position 2182: 8.962391503188482e-05
Position 3432: 8.930677941444442e-05
Position 2861: 8.468076750516329e-05
Position 982: 7.836237910646679e-05
Position 35: 7.640083581948788e-05
Position 298: 5.3707460197399996e-05
Position 2431: 4.562025046569292e-05
Position 3591: 4.555561298183522e-05
Position 264: 4.181165661871831e-05
Position 394: 3.363721127249163e-05
Position 161: 3.325269879852368e-05
Position 201: 2.6045335195892194e-05
