Gene = MGLL
index = 841
Annotated 5SS: [   167   1557  41462 100821 102198 112675 128276]
Annotated 3SS: [  1411  41354 100683 102086 112584 128059 130926]
SMsplice 5SS: [   167   1557   8143  10401  14046  14368  22873  24460  30202  41462
  56112  57560  68767  87546 100821 102198 112675 128108 128276]
SMsplice 3SS: [  1411   7920  10320  13954  14311  22777  24319  29992  41354  55987
  57442  68688  87356 100683 102086 112584 128059 128194 130926]
top_k =  1000
Partition function (log Z): -38.27014578399491

Sorted 5' Splice Sites (High to Low Probability):
Position 41462: 0.9994043171716763
Position 167: 0.962386852490888
Position 10401: 0.8987211728597506
Position 14368: 0.869720547120067
Position 8143: 0.841325979475237
Position 24460: 0.7700738343175465
Position 1557: 0.7679363262021366
Position 14046: 0.7502947482861998
Position 6005: 0.7358847129593417
Position 22873: 0.7335731787935429
Position 30202: 0.7005233332747834
Position 4617: 0.36497004415084855
Position 25334: 0.2701054697046197
Position 942: 0.25493087963016425
Position 12880: 0.23008905364328028
Position 18385: 0.22386455308759234
Position 1530: 0.2215119771141259
Position 24524: 0.17104308602218332
Position 3907: 0.1640235002508333
Position 14685: 0.16374459402591093
Position 4303: 0.14577852510349887
Position 9136: 0.14161170448542817
Position 8576: 0.13144991828093605
Position 46612: 0.11968847341289937
Position 583: 0.11925150606905255
Position 2541: 0.10198893206367465
Position 4656: 0.09011823107625766
Position 2568: 0.0877499149898354
Position 14782: 0.079759317835767
Position 42595: 0.07293856169001134
Position 26473: 0.07078737548608573
Position 6777: 0.06110212060098216
Position 9767: 0.0592122428325524
Position 6848: 0.05588853047269288
Position 10498: 0.05347081230279152
Position 2207: 0.05143707435423848
Position 4363: 0.051149866648242046
Position 22911: 0.04999695495284483
Position 43361: 0.049458939594802805
Position 42257: 0.04801512480890924
Position 527: 0.04231458329160359
Position 18416: 0.04149515816374385
Position 591: 0.03835355077416778
Position 570: 0.03728846914302181
Position 523: 0.029603256054121632
Position 24509: 0.026705197200686374
Position 3155: 0.024981397961638445
Position 2380: 0.021914348751810146
Position 25284: 0.021335953354983273
Position 7129: 0.01932373834023789
Position 46124: 0.01725018248574639
Position 27730: 0.015830187603416635
