Gene = RGSL1
index = 1137
Annotated 5SS: [    33   3895   8248   9988  22412  24397  38202  39057  42984  71964
  77627  80216  80765  82646  90276  98310  98679 101064 103396 104548
 106077]
Annotated 3SS: [  3811   8172   9857  22249  23428  38138  38833  42875  71857  77432
  80097  80643  82515  90100  98170  98553 100953 103308 104480 105877
 110132]
SMsplice 5SS: [    33  22387  27782  38202  39057  42984  65636  80216  80823  82646
  90276  98310  98679 100804 101064 103396 105720 106077]
SMsplice 3SS: [ 22249  27554  38018  38833  42875  65491  80097  80643  82515  90100
  98170  98553 100714 100990 103308 105592 105877 110132]
top_k =  1000
Partition function (log Z): -51.12250567543771

Sorted 5' Splice Sites (High to Low Probability):
Position 22387: 0.7375996848065075
Position 27782: 0.7028106194396349
Position 3409: 0.6783005243333461
Position 8248: 0.6477625721752072
Position 33: 0.6222858195090725
Position 3895: 0.6015602603064047
Position 431: 0.5567144514351222
Position 9988: 0.5193229826010302
Position 22318: 0.19873354474446658
Position 10611: 0.17446266967497384
Position 10912: 0.09216587831780956
Position 316: 0.07511607260698974
Position 5102: 0.06429712125456191
Position 17254: 0.0634134532149983
Position 5119: 0.052739054580924795
Position 1222: 0.04072200608762924
Position 8268: 0.037446913111089525
Position 1619: 0.036482854115907716
Position 17050: 0.028114092143544392
Position 9772: 0.016027627558726925
Position 860: 0.009017981831980285
Position 8711: 0.00898419019357738
Position 5091: 0.008911529963171457
Position 1694: 0.007868891739935326
Position 10219: 0.007275529908667647
Position 10604: 0.005782415443688072
Position 22412: 0.00546807269046205
Position 566: 0.003377462028822761
Position 942: 0.0033705582399617376
Position 820: 0.0023060491006690175
Position 3600: 0.0022346608381609806
Position 3033: 0.00219957768264582
Position 3386: 0.0019176993167053103
Position 3359: 0.001574740862241907
Position 9251: 0.0012423466910674468
Position 10589: 0.00110959241447681
Position 10159: 0.001068569739975595
Position 1395: 0.0008229917877892153
Position 1649: 0.0007968657297564195
Position 1768: 0.0006872394026483221
Position 4438: 0.0004321344502542306
