Gene = AKNA
index = 48
Annotated 5SS: [   49 13346 17940 20313 25967 26863 29846 32000 32702 34510 34812 36485
 37543 38481 43547 46682 47737 48543 50698 52397 52873]
Annotated 3SS: [12958 16872 20237 25809 26707 29785 31871 32493 34342 34610 36237 37435
 38268 43383 46504 47620 48395 50601 52279 52679 57098]
SMsplice 5SS: [   49  8573 13051 13346 19322 20313 21371 24532 25757 25967 26206 26863
 32000 32702 34510 34697 36485 38481 43136 43547 46682 47737 48543 49954
 50698 52397]
SMsplice 3SS: [ 8455 12958 13226 19223 20237 21238 24450 25619 25905 26155 26753 31871
 32493 34342 34610 36371 38313 42974 43383 46504 47620 48395 49799 50601
 52279 57098]
top_k =  1000
Partition function (log Z): 35.50309967312291

Sorted 5' Splice Sites (High to Low Probability):
Position 36485: 0.9815994918064114
Position 25967: 0.9699001392900072
Position 20313: 0.9678959647495687
Position 34510: 0.9670796235869964
Position 48543: 0.965991221158681
Position 32000: 0.9654475872886416
Position 13051: 0.947344710176028
Position 49: 0.9275615884316482
Position 43547: 0.9226003829767379
Position 32702: 0.9088948067199815
Position 38481: 0.9054057034892804
Position 19322: 0.8592776919482696
Position 26863: 0.8438029230746389
Position 13346: 0.8435574161104276
Position 34697: 0.8143504343727082
Position 25757: 0.8067659596684545
Position 50698: 0.7430219085753214
Position 46682: 0.6943406598671364
Position 21371: 0.6525990310730655
Position 8573: 0.6188746686717451
Position 24532: 0.6124497683704085
Position 47737: 0.6018174777589584
Position 26206: 0.5870187769686742
Position 49954: 0.5736353990978443
Position 19969: 0.5675699672874958
Position 52397: 0.5383455576348093
Position 45209: 0.5120656147368344
Position 43136: 0.49200745172327204
Position 44957: 0.4578259863746446
Position 52873: 0.4506985702802639
Position 17033: 0.43821112889306046
Position 40543: 0.4352319446922295
Position 17940: 0.39117877452039684
Position 17027: 0.38845751696343483
Position 4911: 0.3333923217452077
Position 42346: 0.3281394896305957
Position 28621: 0.3152042822749144
Position 34277: 0.2655795068235487
Position 22904: 0.26533896643608473
Position 9207: 0.22219039646452135
Position 24538: 0.2121958415718627
Position 6546: 0.19229108238768874
Position 40089: 0.19207400444602651
Position 34812: 0.17979545527321128
Position 52467: 0.17327875655828395
Position 29846: 0.1477272671031883
Position 27451: 0.1372027703416757
Position 33916: 0.1333552848445911
Position 21390: 0.11930073861695387
Position 43046: 0.1165456727604591
Position 27333: 0.11073468213905975
Position 37543: 0.10945906771274228
Position 4349: 0.1089473584304668
Position 37351: 0.10389520803459666
Position 5893: 0.09889624872455952
Position 8565: 0.09227601778215871
Position 4951: 0.08462747147197484
Position 53495: 0.08389137852549584
Position 44213: 0.08384902556818072
Position 23513: 0.08296217201861937
Position 54588: 0.07492567454781518
Position 57379: 0.07283733939344969
Position 23533: 0.07249562473407146
Position 47543: 0.07180796183728
Position 11948: 0.06965912179194345
Position 23474: 0.06572439777420874
Position 50201: 0.06544903721891547
Position 23493: 0.06481013532910368
Position 6437: 0.06414787262273765
Position 8485: 0.057085502614358435
Position 57383: 0.05559513578125085
Position 25699: 0.05529288164390792
Position 44570: 0.05468332031769998
Position 54777: 0.054098427096490986
Position 5483: 0.0535637546767589
Position 25: 0.051879706555393514
Position 24562: 0.05077635027735315
Position 54749: 0.04965498855193719
Position 1745: 0.0496400480771741
Position 25810: 0.04913928662730068
Position 52783: 0.04309623933386058
Position 49950: 0.041413729824693955
Position 3094: 0.04073859747599152
Position 25720: 0.03880722485917067
Position 46146: 0.03871047362420109
Position 38682: 0.038086050555841945
Position 26365: 0.037581809782424765
Position 7979: 0.035699547358756044
Position 20158: 0.034854973034888964
Position 36276: 0.03483701436137109
Position 32587: 0.0338078802464042
Position 43054: 0.033122329122042514
Position 24731: 0.03296975903276324
Position 48911: 0.03292054156050649
Position 24607: 0.0325113549943654
Position 23435: 0.03226259337632738
Position 24746: 0.03172311604124012
Position 24779: 0.031423433221014145
Position 49916: 0.031179552795258407
Position 47644: 0.030420915670149668
Position 19338: 0.02952074860504882
Position 54161: 0.027843372230201724
Position 31768: 0.027817945907283755
Position 33728: 0.027202813954413447
Position 52570: 0.027131325180540303
Position 5686: 0.025906151588332642
Position 40738: 0.025821620031492933
Position 35646: 0.02570339515170874
Position 3964: 0.02551518117624254
Position 37638: 0.0254642465060148
Position 16458: 0.024209751816204404
Position 48188: 0.024106169619373133
Position 40732: 0.02390626023651467
Position 23913: 0.023143016081682087
Position 20361: 0.022159538076753645
Position 48491: 0.021935863105362514
Position 53212: 0.02106185698305106
Position 22670: 0.020671701924950846
Position 33744: 0.02057438465436747
Position 8104: 0.019568833902351833
Position 16811: 0.019443206213349523
Position 30776: 0.019325547513560106
Position 5884: 0.01930382008182089
Position 36257: 0.018820050873892418
Position 44455: 0.018530475818370376
Position 6381: 0.017809178311391748
Position 46084: 0.017800322091005478
Position 35587: 0.01623726221273676
Position 43986: 0.015579110812898186
Position 50407: 0.015356452657078813
Position 20928: 0.015290960917259623
Position 40358: 0.014553101326345571
Position 34224: 0.014191678082857881
Position 24547: 0.013891631578823381
Position 24719: 0.013851170866493704
Position 22666: 0.013328807361662203
Position 34403: 0.012929253784362141
Position 53603: 0.012808647868479553
Position 5195: 0.012650010865428015
Position 40681: 0.012574381051754138
Position 53591: 0.012405459090487783
Position 47718: 0.012154305938537252
Position 24632: 0.012093126576069172
Position 45981: 0.012027054488884812
Position 154: 0.011886665717435503
Position 21164: 0.011448531175326087
Position 19820: 0.011351395646854041
Position 35540: 0.011091621402859126
