Gene = MTURN
index = 895
Annotated 5SS: [  489 11490]
Annotated 3SS: [11366 22627]
SMsplice 5SS: [  541 11490 20067 22724]
SMsplice 3SS: [11408 19978 22627 26904]
top_k =  1000
Partition function (log Z): -4.25046325073723

Sorted 5' Splice Sites (High to Low Probability):
Position 11490: 0.8800327933012833
Position 541: 0.7856153238890587
Position 6856: 0.7527133117962802
Position 22724: 0.7521482365256563
Position 20067: 0.5561077061298022
Position 24629: 0.5443907672811804
Position 4872: 0.44924932770343096
Position 2550: 0.3907697585383233
Position 1790: 0.380046303922295
Position 7105: 0.3636353552801532
Position 20072: 0.27036360015892774
Position 26002: 0.26786640725520433
Position 16352: 0.2433825547581076
Position 20394: 0.2386528152959023
Position 2885: 0.21121166112390682
Position 26748: 0.18236483483395668
Position 489: 0.17197916425835955
Position 2235: 0.17056378983376938
Position 23181: 0.17038793290674456
Position 9382: 0.16852167474009877
Position 5136: 0.16657943436109193
Position 7515: 0.14824640269625533
Position 11917: 0.13599692952406228
Position 22735: 0.1276355582880466
Position 2619: 0.1251596011608067
Position 27034: 0.11602583483299142
Position 20151: 0.1144444085374416
Position 11494: 0.09902260631069114
Position 22765: 0.09474640343815534
Position 7099: 0.07830125313853213
Position 21111: 0.06775479942724034
Position 26651: 0.05710521055999442
Position 24286: 0.05677881034529748
Position 7368: 0.05490307379235158
Position 4724: 0.051614557755886074
Position 5504: 0.0502600374912057
Position 21287: 0.049227320226165584
Position 9876: 0.03590174813284502
Position 8470: 0.031010923672515327
Position 912: 0.02967332940129883
Position 25535: 0.027955495699592974
Position 1279: 0.02644752597636329
Position 9324: 0.021793512725769407
Position 27137: 0.01575568904310233
Position 7574: 0.01563388214258626
Position 25462: 0.014709548138595437
Position 2209: 0.012932938650453842
Position 1032: 0.01162339201851583
Position 9865: 0.011562703554275171
Position 7346: 0.011211651030968939
Position 11532: 0.011190003620350372
Position 1463: 0.011149425606688477
Position 22333: 0.010967586504587056
Position 2230: 0.010678396705917383
Position 10543: 0.009995763614057393
Position 1802: 0.009776056078977047
Position 655: 0.008643699403100181
Position 3681: 0.008627157655044723
Position 1577: 0.00818926692036887
Position 1549: 0.00817352817353681
Position 20479: 0.007818546357067298
Position 2226: 0.007601896653165649
Position 580: 0.007548148296309315
Position 9624: 0.007459450566225189
Position 9262: 0.007324179839169774
Position 5219: 0.006930191612629496
Position 9818: 0.0068151769037152095
Position 9457: 0.006195278219234328
Position 570: 0.005988374706438828
Position 11568: 0.005173219914620733
Position 25269: 0.005044213849037937
Position 7062: 0.004957307888401143
Position 2027: 0.004128111352252564
Position 685: 0.003548713494283171
Position 9204: 0.003102664698192279
Position 17776: 0.002969030502363983
Position 16457: 0.0029585298324722575
Position 21175: 0.002913096280616777
Position 27723: 0.0028036295693764975
Position 21055: 0.0027895873433200317
Position 14529: 0.0026053554613043434
Position 1499: 0.002265057568979233
Position 25982: 0.002243898346671237
Position 17699: 0.00220928815598844
Position 2598: 0.0021564525374266905
Position 5911: 0.00214057298079784
Position 5204: 0.0020771553242258543
Position 11890: 0.0020633462517104313
Position 16503: 0.0020581041183024514
Position 22786: 0.0017602191300445087
Position 4877: 0.0016929467225222465
Position 5164: 0.0016590865678757633
Position 26369: 0.0014984422115726982
Position 27718: 0.0012224063081247042
Position 25752: 0.0012122327986720644
Position 14416: 0.0010480247547972508
Position 24065: 0.0009907907551449278
Position 739: 0.0009437927227868548
Position 1604: 0.0009358970702525299
Position 17418: 0.0009239997080859571
Position 675: 0.0009198228730716645
Position 23109: 0.0008351807905860553
Position 22777: 0.0007150670969380831
Position 1677: 0.0006690934080433312
Position 1993: 0.0006650994428662355
Position 17289: 0.0005765706036564352
Position 601: 0.0005113499862304171
Position 1637: 0.0004592988649139106
Position 441: 0.0003305723175310605
Position 726: 0.000298550885532494
Position 1527: 0.0002953981562513948
Position 1749: 0.0002906868757896235
Position 970: 0.0002781656197109272
Position 190: 0.00026192280699816853
Position 846: 0.00024960060365980064
Position 460: 0.0002470104581314617
Position 877: 0.0002426188648111254
Position 1779: 0.00024078942107020246
Position 7578: 0.0002156748724550173
Position 848: 0.000205759347351245
Position 821: 0.00017924344867933367
Position 8075: 0.00016635698579277612
Position 1513: 0.00013017009836495923
Position 458: 0.00012126981155722844
Position 814: 7.187482629965425e-05
Position 1408: 6.52306333671962e-05
Position 453: 6.170507843724942e-05
Position 5088: 5.818613521027606e-05
Position 365: 5.659670905748204e-05
Position 5064: 5.2315263443846514e-05
Position 1281: 4.650686645914938e-05
Position 1737: 4.575348837004171e-05
Position 1645: 4.428977374294795e-05
Position 34: 4.398770111273563e-05
Position 941: 4.108893745082245e-05
Position 12361: 2.3320778357480554e-05
