Gene = TFB2M
index = 1395
Annotated 5SS: [  499  1979  8944  9752 15112 17780 21804]
Annotated 3SS: [ 1889  8789  9602 15021 17716 21642 25121]
SMsplice 5SS: [  499 17780 21804 25387]
SMsplice 3SS: [17716 21642 25121 25547]
top_k =  1000
Partition function (log Z): -8.146741241277649

Sorted 5' Splice Sites (High to Low Probability):
Position 499: 0.9911987706558923
Position 17780: 0.9878010269536103
Position 21804: 0.9003793733257099
Position 9752: 0.48496982599289307
Position 8944: 0.40718243674069116
Position 25387: 0.3626201448330197
Position 2000: 0.31656437748475763
Position 6600: 0.23306409052260582
Position 7798: 0.22852357947283602
Position 18038: 0.21143931886748507
Position 1979: 0.16716984187488618
Position 9421: 0.13834311566989882
Position 12376: 0.13288930211271915
Position 2026: 0.13067602249765845
Position 9313: 0.08866517794061635
Position 10105: 0.0849372737949105
Position 24918: 0.08046909009461009
Position 153: 0.07745069564960462
Position 15112: 0.06967899796295335
Position 24604: 0.04988962231905692
Position 1798: 0.04341174541941939
Position 11171: 0.041883105636737986
Position 8988: 0.03730668412662331
Position 6641: 0.03518156184125202
Position 5208: 0.029540621774116652
Position 3790: 0.028148927669247804
Position 8669: 0.02313518041962723
Position 25635: 0.02277399298671903
Position 15: 0.0160664640570784
Position 6376: 0.015617197480779957
Position 7870: 0.01540005313052848
Position 111: 0.014750791924877403
Position 24922: 0.0126305918586063
Position 4117: 0.012496351529269313
Position 6329: 0.010999150187165383
Position 3311: 0.009490784713354553
Position 5885: 0.00907061219358496
Position 4625: 0.008437043190960211
Position 21903: 0.007219537857589245
Position 22275: 0.006756284341337366
Position 22713: 0.005564280563479313
Position 25290: 0.005410400046585026
Position 7536: 0.003614534306874188
Position 137: 0.0028757124723133567
Position 130: 0.0026719575915029347
Position 247: 0.0021851745548693543
Position 7565: 0.0021833017580809777
Position 1414: 0.0019230902974468973
Position 6673: 0.001720521380012607
Position 266: 0.0014585485881856044
Position 6380: 0.0012647610405826723
Position 4195: 0.0012564669961363248
Position 125: 0.0009724373987692023
Position 5318: 0.000930653190878348
Position 4907: 0.0007976812788248144
Position 408: 0.0006699489939324395
Position 6365: 0.0006011191720526306
Position 873: 0.0005015698786344112
Position 4765: 0.0004932500147398703
Position 958: 0.00046040522729828224
Position 4615: 0.00045807538755154723
Position 140: 0.000440691258413205
Position 44: 0.00041358896912927027
Position 188: 0.00023837108027507557
Position 5337: 0.00023747557952774883
Position 2300: 0.00023639535753395603
Position 1446: 0.00021626679875852477
Position 2389: 0.0001851769683617623
Position 463: 0.0001781996006824111
Position 846: 0.00015881099498667254
Position 2198: 0.00011646858822424278
Position 201: 9.307993761576976e-05
Position 1352: 8.693930608847624e-05
Position 690: 7.827058754048967e-05
Position 1254: 7.699919010191624e-05
Position 66: 6.58832228138806e-05
Position 980: 6.576737803929992e-05
Position 810: 6.450463912575551e-05
Position 1312: 5.970882848746925e-05
Position 9719: 5.9520413722621204e-05
Position 1569: 5.8105880079001124e-05
Position 949: 5.034542628961768e-05
Position 503: 4.905827116516845e-05
Position 549: 3.8652035722706926e-05
Position 1831: 3.670833575150469e-05
Position 1612: 3.5967146554051016e-05
Position 954: 2.681218537257855e-05
Position 104: 1.8365199229437118e-05
Position 1651: 1.8279958661647674e-05
Position 1806: 1.7600472339952644e-05
Position 1198: 1.4532535845063713e-05
Position 1826: 1.446495086748139e-05
Position 310: 1.1944155946849551e-05
Position 963: 1.1683866770900161e-05
Position 722: 8.695957092167483e-06
Position 901: 8.589628745047283e-06
Position 1325: 7.841731092159698e-06
Position 3466: 7.086055896864313e-06
Position 829: 5.430851037466952e-06
Position 2762: 5.234121337876793e-06
Position 64: 4.377409239549254e-06
Position 4445: 3.0084783796596164e-06
Position 198: 2.7520820545488373e-06
Position 1456: 2.557802579044305e-06
Position 2218: 2.5482781639410544e-06
Position 4245: 2.526542739214522e-06
Position 5722: 1.4168473661631049e-06
Position 3589: 6.108553091193275e-07
Position 1717: 5.942348100802828e-07
Position 1808: 5.761483899966332e-07
Position 2939: 5.658724695568152e-07
Position 3795: 4.787156840855888e-07
Position 2983: 4.373733360003902e-07
Position 2010: 9.436396533779351e-08
Position 530: 1.6014369321466568e-08
Position 1890: 1.450250727408889e-08
Position 1233: 4.8181989561781395e-09
Position 567: 4.4727063455341375e-09
Position 1950: 3.889123594870438e-09
Position 683: 2.90023989132528e-09
Position 1202: 2.2562428946266415e-09
Position 488: 8.796098131026941e-10
Position 589: 6.641156065083569e-10
Position 338: 4.358455595488837e-10
Position 377: 4.067395216703144e-10
Position 622: 3.121592380968626e-10
Position 1101: 5.621819070353559e-11
Position 403: 4.3474487023353834e-11
Position 651: 1.4221377306998908e-11
Position 797: 6.4295470422447885e-12
Position 646: 7.153934622317342e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 17716: 0.9994769585132631
Position 21642: 0.9228961324646328
Position 25121: 0.616115575717477
Position 1889: 0.5905389541089088
Position 25547: 0.4882100450893243
Position 9602: 0.48503019981928897
Position 8789: 0.4051829623392956
Position 6507: 0.2590231153498318
Position 24821: 0.2120120264994121
Position 17893: 0.18223173066309054
Position 7735: 0.1247852405413336
Position 9126: 0.112954282493092
Position 9217: 0.10078041210631335
Position 15021: 0.06967899796295335
Position 12172: 0.06785331168438943
Position 264: 0.0664342139424136
Position 7456: 0.06114338271822214
Position 7732: 0.059927397420215696
Position 12197: 0.059176001626813954
Position 24534: 0.05258753783763979
Position 9880: 0.05090516761894044
Position 335: 0.045794447894749325
Position 10759: 0.042188936560192826
Position 8850: 0.031291720546891715
Position 6146: 0.02657917758919544
Position 25004: 0.025336077480446334
Position 1752: 0.021551026891876268
Position 9835: 0.020570040066482755
Position 17846: 0.01902495090833577
Position 5116: 0.01869798699666498
Position 22077: 0.018015202017617835
Position 24710: 0.016763449756638925
Position 25668: 0.013879221199905553
Position 9054: 0.013291441285734347
Position 1909: 0.013280412265014963
Position 21896: 0.012828313920833709
Position 9950: 0.012237836603788238
Position 22583: 0.011434038979411636
Position 25761: 0.011433557307799325
Position 3732: 0.011308139452716252
Position 3709: 0.010703556801773022
Position 25731: 0.009887048455941764
Position 24221: 0.009291546286115511
Position 4067: 0.008953125260855531
Position 8348: 0.008421145620224574
Position 8796: 0.008092605284789233
Position 5807: 0.007803116529421759
Position 25526: 0.007401260260499003
Position 3240: 0.007256181644668402
Position 4507: 0.006946370431621319
Position 3694: 0.006321408541110317
Position 8317: 0.006291399409253057
Position 8389: 0.006290635871456162
Position 1784: 0.006094637945079163
Position 1708: 0.00588029160235438
Position 12341: 0.005865354815700768
Position 24124: 0.005665590856380184
Position 358: 0.005330178056702339
Position 6512: 0.005233390227526586
Position 1680: 0.005062028258034195
Position 1797: 0.004117092644533616
Position 5052: 0.0038880679360649784
Position 7559: 0.0038692689349719223
Position 25383: 0.0036999974070555837
Position 6433: 0.0030834953783062825
Position 5070: 0.002898699583992775
Position 3964: 0.0028781439467053475
Position 5184: 0.0028516630769786578
Position 6483: 0.0026449603789726766
Position 1309: 0.0025760759047868025
Position 25739: 0.002374637916181434
Position 19421: 0.002347905833582198
Position 5094: 0.0023205288690062186
Position 8252: 0.002131999518693436
Position 1659: 0.0016249285354256581
Position 3273: 0.0015299587992552777
Position 22167: 0.0014371069583383883
Position 5803: 0.0012779993721489151
Position 10050: 0.0012541672680466015
Position 6259: 0.0012376736133492949
Position 4547: 0.0012242337063390043
Position 4527: 0.0011810549186944501
Position 22335: 0.0011049521041501793
Position 3961: 0.001072930817951316
Position 616: 0.0009281625566817126
Position 4768: 0.000797481384332298
Position 22557: 0.0007145236462810466
Position 18146: 0.0006754114785826777
Position 4015: 0.0006658860694354165
Position 22341: 0.0006629223256618179
Position 1598: 0.0006326016930244462
Position 3276: 0.0006027956020546427
Position 22966: 0.0005816664641853356
Position 1922: 0.0005738239184261059
Position 22777: 0.00046688211959572715
Position 1610: 0.00044886578745454217
Position 22361: 0.0004245287450849113
Position 6263: 0.0004057096274357021
Position 2120: 0.00040055359480079347
Position 22411: 0.00037938793075356994
Position 1387: 0.00037915389822239394
Position 1311: 0.0003684229310541916
Position 22101: 0.00035096012796020606
Position 20519: 0.0003052759912446951
Position 19576: 0.00030038594806188206
Position 22032: 0.0002949675794709945
Position 1378: 0.0002903181614839164
Position 18128: 0.0002766858278448051
Position 6321: 0.0002609963920353976
Position 1650: 0.00022395458322626422
Position 18443: 0.0002213340214757608
Position 19737: 0.00020967182349126626
Position 1685: 0.00020718037241059212
Position 18096: 0.00020702066690020285
Position 21123: 0.00020469081056894182
Position 845: 0.0001999492932189223
Position 18803: 0.0001952260791332984
Position 18983: 0.0001305984848262132
Position 1513: 0.00012253217026854092
Position 19713: 0.00011307587720484297
Position 1239: 0.00010322095776890572
Position 18246: 9.865726844313345e-05
Position 639: 9.646454796991803e-05
Position 1194: 9.525317342179288e-05
Position 18037: 9.40740954838744e-05
Position 1115: 8.780630790257264e-05
Position 1554: 7.761750817178544e-05
Position 3172: 7.388954314129565e-05
Position 1826: 6.804891244197584e-05
Position 18760: 6.781081474509237e-05
Position 1755: 6.234815271051411e-05
Position 1643: 5.304403156623257e-05
Position 4946: 5.1385903676362964e-05
Position 779: 4.833716854660794e-05
Position 2197: 4.2652187584250085e-05
