Gene = IDNK
index = 675
Annotated 5SS: [   54  5044  5792 18424]
Annotated 3SS: [ 5012  5704 18379 20260]
SMsplice 5SS: [  656  5044  5792 15037 18465]
SMsplice 3SS: [ 5012  5704 14773 18379 20260]
top_k =  1000
Partition function (log Z): -10.580058602861774

Sorted 5' Splice Sites (High to Low Probability):
Position 5792: 0.9850465723684511
Position 15037: 0.7727006692618096
Position 5044: 0.731773934182529
Position 18465: 0.6045752837616097
Position 656: 0.47621499138999085
Position 54: 0.3914781128569619
Position 16845: 0.3485823417060093
Position 356: 0.22685974883977453
Position 20056: 0.14312070091735887
Position 10710: 0.12803360376170358
Position 908: 0.09166925645182701
Position 18566: 0.08707582127605784
Position 18424: 0.05483938278520442
Position 1936: 0.050701253932826804
Position 58: 0.04608531732022171
Position 542: 0.043748210558747974
Position 18530: 0.031541217013805925
Position 2941: 0.03106108345618241
Position 37: 0.030691594789943585
Position 7945: 0.02175955607470928
Position 28: 0.01779276185030925
Position 16858: 0.016506499725625085
Position 11616: 0.016493071594078767
Position 1305: 0.014514169933614977
Position 1340: 0.01388533325948602
Position 11132: 0.013819720537030913
Position 7556: 0.013478554642455544
Position 3861: 0.012769472737943398
Position 12040: 0.012549900845292861
Position 18767: 0.011820188304369851
Position 884: 0.011715412954107857
Position 5213: 0.011559589634957191
Position 1975: 0.010184370483621674
Position 4291: 0.009868241291477165
Position 5252: 0.009774231433184087
Position 386: 0.007338840161411327
Position 592: 0.007330391637859055
Position 4493: 0.0062587000622667584
Position 1119: 0.0051712925584921875
Position 18800: 0.004885644027407264
Position 4319: 0.004157414986483955
Position 270: 0.004101591360697209
Position 3106: 0.0031682044132979965
Position 1508: 0.0029090849802580064
Position 5184: 0.002878496221616787
Position 6407: 0.0020872451837905264
Position 135: 0.001970980611174847
Position 4421: 0.0019300119905939757
Position 5048: 0.0017946968496388343
Position 18922: 0.0017723879933890059
Position 5877: 0.0017058222465406983
Position 4426: 0.0015013198639902618
Position 618: 0.001397950406328685
Position 3805: 0.0013516953738555452
Position 3529: 0.0012485978733761376
Position 5468: 0.0009594796509675126
Position 2784: 0.0009393887539003663
Position 5094: 0.0008692050138328135
Position 1062: 0.0008265614351708284
Position 1365: 0.0007281729948306477
Position 3737: 0.000721334621391626
Position 4219: 0.0006710149818197287
Position 2368: 0.0005968762245461839
Position 1138: 0.0004810255839551621
Position 4533: 0.00032077106640454584
Position 9957: 0.00031184323786023836
Position 5918: 0.0002841460326362418
Position 3988: 0.0002623261898282318
Position 1045: 0.00025709749254880423
Position 145: 0.0001728146201077414
Position 92: 0.00016091510859251313
Position 90: 0.00015106753532510714
Position 6560: 6.495478438858748e-05
Position 401: 5.252342819601966e-05
Position 10745: 3.949245872263309e-05
Position 605: 3.650953619281184e-05
Position 5889: 3.638621432045822e-05
Position 1092: 2.3683372345595823e-05
Position 664: 1.9386791981296422e-05
Position 6059: 1.776088851964343e-05
Position 2015: 1.65341868557298e-05
Position 1319: 1.473240585081189e-05
Position 666: 1.3049822354502952e-05
Position 6127: 9.293201084402477e-06
Position 2658: 9.146109004668935e-06
Position 2064: 8.310218513420296e-06
Position 6073: 6.403107900209911e-06
Position 6579: 5.111427919884706e-06
Position 2159: 4.67752314478495e-06
Position 2195: 4.411195490117014e-06
Position 864: 4.1590137414580814e-06
Position 2404: 4.040898102739133e-06
Position 2379: 3.385852886416231e-06
Position 7093: 2.6757580276474667e-06
Position 119: 2.5576290056429738e-06
Position 5873: 1.9238559320738817e-06
Position 688: 1.6773669750453215e-06
Position 6222: 1.3814084771354297e-06
