Gene = ADCK2
index = 27
Annotated 5SS: [ 1111  1605  6131  7985 14089 16573 17661]
Annotated 3SS: [ 1457  6001  7888 13836 16443 17606 21509]
SMsplice 5SS: [  350  1605  6131  7985 14089 16573]
SMsplice 3SS: [ 1457  6001  7888 13836 16443 21509]
top_k =  1000
Partition function (log Z): -3.5211733118019723

Sorted 5' Splice Sites (High to Low Probability):
Position 1605: 0.9952224482596099
Position 16573: 0.8822817918228754
Position 6131: 0.8561434794083341
Position 14089: 0.8010998818328683
Position 7985: 0.6948742095485745
Position 350: 0.42845840610949487
Position 15528: 0.38668924702238355
Position 1111: 0.38362917634330196
Position 3011: 0.25022994941371657
Position 17661: 0.1907843364245281
Position 3071: 0.11069814263936306
Position 6124: 0.09121821811602211
Position 325: 0.07878143095930043
Position 17044: 0.07502733218488057
Position 19998: 0.06314794225500767
Position 5527: 0.060163876108343436
Position 7720: 0.05559685330783258
Position 17696: 0.05067008004033107
Position 346: 0.05034711686196044
Position 15336: 0.0475257926390771
Position 2762: 0.046096450709985345
Position 7705: 0.04285413000879351
Position 16581: 0.04226898028081968
Position 228: 0.03498635541322005
Position 4910: 0.03229802029712964
Position 11190: 0.031668108315044324
Position 18769: 0.030656841212013137
Position 4659: 0.02969252293886677
Position 4781: 0.029563219349433727
Position 86: 0.027416986574050423
Position 4974: 0.026362971816642242
Position 12997: 0.017122083831822153
Position 920: 0.014936108105691223
Position 15496: 0.014615981381608897
Position 5456: 0.013026813750169987
Position 19733: 0.012576693880092572
Position 31: 0.011686114659412435
Position 385: 0.010911191034526455
Position 15517: 0.010628786847227024
Position 2282: 0.010200700273626273
Position 5039: 0.009098620675283726
Position 15169: 0.008044281706422822
Position 17486: 0.007282376637147773
Position 5119: 0.006950095188377068
Position 336: 0.006289742978722773
Position 4625: 0.006257492181924739
Position 18539: 0.00614089205998681
Position 499: 0.006065772919553859
Position 208: 0.005752284868083511
Position 18773: 0.0054184374272319485
Position 18009: 0.00528095692636561
Position 5903: 0.005257437293376918
Position 6663: 0.00496046564890085
Position 2125: 0.004676362267709412
Position 16284: 0.00467584714585135
Position 6298: 0.004295129353647133
Position 2507: 0.004174533302738403
Position 2376: 0.0038949484728126407
Position 2803: 0.003560411034842519
Position 3062: 0.0033270141725957525
Position 15958: 0.0033189039815205473
Position 2784: 0.0031109812716856
Position 3529: 0.002869316697630443
Position 19879: 0.0028525527222607104
Position 1385: 0.0022445035565478665
Position 495: 0.0021691098853849206
Position 5424: 0.0019614302296262695
Position 13999: 0.0019401971580884087
Position 17683: 0.0017923167110209983
Position 7722: 0.0017531169746714613
Position 18277: 0.001737518552553757
Position 5127: 0.001576059232780848
Position 2072: 0.0013841942804836305
Position 1696: 0.0013100913788038262
Position 817: 0.0011934591629439687
Position 5329: 0.001114907359375912
Position 1060: 0.0010874856854057309
Position 181: 0.0010145386331131049
