Gene = RP4-613B23.5
index = 1185
Annotated 5SS: [   83 10362 18491 46394]
Annotated 3SS: [10242 18355 46166 47303]
SMsplice 5SS: [  347 10362 18491]
SMsplice 3SS: [10218 18355 43770]
top_k =  1000
Partition function (log Z): -23.919704886639934

Sorted 5' Splice Sites (High to Low Probability):
Position 10362: 0.9366191054494798
Position 18491: 0.5075263322483498
Position 347: 0.41429505717387033
Position 19574: 0.3285036707623949
Position 300: 0.2801611031605582
Position 18534: 0.2279401509275505
Position 83: 0.1389701316480101
Position 570: 0.10038272830538825
Position 13280: 0.07628744217930797
Position 18557: 0.07158779820741085
Position 384: 0.06519029287196403
Position 2614: 0.023619606455381286
Position 10672: 0.01748145909524421
Position 11278: 0.016861784582355176
Position 13479: 0.01672983130837097
Position 20520: 0.013031437837781677
Position 20202: 0.009763715423162157
Position 10897: 0.008968185217733576
Position 17667: 0.008775080114183488
Position 19359: 0.008282465094772418
Position 19008: 0.00423510889047768
Position 914: 0.0002724432643420116
Position 543: 0.00014466878949079555
Position 28: 0.0001316466683901278
Position 905: 0.00012359832273185217
Position 578: 0.0001186429761806804
Position 5531: 8.09891089689451e-05
Position 10398: 7.885473402259898e-05
Position 180: 6.966442046726984e-05
Position 3309: 6.600474932042762e-05
Position 8448: 5.9638754078562993e-05
Position 1951: 5.900961229453149e-05
Position 68: 5.823332326020587e-05
Position 8031: 5.28976303644412e-05
Position 756: 5.245824856326817e-05
Position 8498: 4.8748631968262025e-05
Position 1663: 4.30801523641164e-05
Position 4045: 3.9813466629448026e-05
Position 1289: 1.9191822835919412e-05
Position 53: 1.4831922385675019e-05
Position 193: 8.559998651763219e-06
Position 2402: 3.463583661496334e-06
Position 1595: 2.953156354856312e-06
Position 2110: 2.720380508036044e-06
Position 2864: 1.8260214035078865e-06
Position 1417: 1.5275878998779378e-06
Position 3153: 1.5257934146741297e-06
Position 3073: 1.1333568798350034e-06
Position 2280: 4.92824526813956e-07
Position 1274: 3.8904780714207166e-07
Position 1508: 2.3215962984671657e-07
Position 1580: 1.506569380286902e-07
Position 1462: 1.267926067301848e-07
Position 734: 9.700947551726089e-08
Position 220: 8.715444923391692e-08
Position 937: 7.747508110758126e-08
Position 59: 7.022031381572e-08
Position 61: 6.729155380261523e-08
Position 4: 3.557847236762826e-08
Position 1756: 2.8528226285781215e-08
Position 142: 2.1046094371568746e-08
Position 524: 1.1724137624093204e-08
Position 2827: 1.012316120972979e-08
Position 2761: 9.665403960034137e-09
Position 291: 9.114793251373982e-09
Position 946: 8.149288623780523e-09
Position 2808: 8.052358674934111e-09
Position 664: 6.515698222231651e-09
Position 2218: 5.33775521595055e-09
Position 1765: 4.58435880463796e-09
Position 1499: 4.43569192149131e-09
Position 1912: 4.405358431374956e-09
Position 381: 3.4491921530776016e-09
Position 1313: 2.9384475290453863e-09
Position 1175: 2.8266372518945447e-09
Position 853: 2.2697871332761606e-09
Position 679: 1.5485935543863014e-09
Position 887: 1.4619045818193542e-09
Position 1229: 1.35722218670351e-09
Position 957: 7.676505448918522e-10
Position 642: 5.612181742529862e-10
Position 199: 2.5975253981576894e-10
Position 619: 2.460727582446311e-10
Position 592: 2.344767219040112e-10
Position 686: 2.341341522206044e-10
Position 927: 1.3911693073772088e-10
Position 996: 1.0996243485993604e-10
