Gene = APOD
index = 92
Annotated 5SS: [  328  4867 10356 12929]
Annotated 3SS: [ 4709 10233 12839 15069]
SMsplice 5SS: [  328  1139  4867 10356]
SMsplice 3SS: [ 1002  4709 10233 15069]
top_k =  1000
Partition function (log Z): 0.5882122177101303

Sorted 5' Splice Sites (High to Low Probability):
Position 10356: 0.9956502058608614
Position 328: 0.9882270064684474
Position 4867: 0.7531537011695295
Position 1139: 0.696684003718908
Position 5081: 0.546774837896292
Position 12929: 0.31206110333999815
Position 8242: 0.20572534256763586
Position 4790: 0.20410710217618122
Position 494: 0.19924121965181893
Position 6637: 0.19864059410667384
Position 8074: 0.1714212429487829
Position 5283: 0.16955484761955555
Position 5113: 0.11906591123374242
Position 14659: 0.06187237675026037
Position 5338: 0.05402077540091538
Position 11795: 0.048440644958864715
Position 5808: 0.043540552728207046
Position 5445: 0.03463582698403619
Position 5883: 0.03452967154280565
Position 13407: 0.03165893662279816
Position 9945: 0.02572443970050911
Position 12180: 0.025662092087848795
Position 658: 0.02366563400046504
Position 2745: 0.022366188380933506
Position 5961: 0.020943044372177536
Position 7144: 0.019686818504377816
Position 2413: 0.018887140109798837
Position 5147: 0.017011655025310452
Position 11701: 0.015878106013060028
Position 1589: 0.01583303299323033
Position 2375: 0.0158116653144741
Position 5073: 0.014606920198471587
Position 14669: 0.013382403556307617
Position 13211: 0.013224415917661997
Position 5455: 0.012870504763630714
Position 684: 0.011173135535722545
Position 12933: 0.009800463945922789
Position 6849: 0.009733628896994011
Position 15282: 0.008961534168147416
Position 8130: 0.008665189500003622
Position 2688: 0.00861655271926778
Position 12913: 0.007543360103998656
Position 1079: 0.007361738234651608
Position 12194: 0.007150380508702579
Position 3091: 0.005481456358485794
Position 723: 0.005257794699772823
Position 900: 0.005157368728335861
Position 14697: 0.004981949892155936
Position 3507: 0.0049145521330212615
Position 12869: 0.004909564489284291
Position 3294: 0.004520939836054649
Position 11109: 0.004002995711559583
Position 498: 0.0037352626859563287
Position 5742: 0.0034691121776863386
Position 7281: 0.0033746621342248097
Position 9626: 0.0030958686997042215
Position 1190: 0.0030754704895047964
Position 13200: 0.0029816148908398134
Position 13914: 0.002897157414219215
Position 4387: 0.002785530657060776
Position 5888: 0.002783602225528375
Position 8050: 0.0026794464468780288
Position 4926: 0.0025470567863139504
Position 8767: 0.0025163329301959485
Position 5500: 0.002504731779976424
Position 449: 0.002394353733431722
Position 11807: 0.0023589064401277455
Position 4840: 0.0021666790220387653
Position 11127: 0.00198244351231597
Position 2455: 0.001961887555675891
Position 10742: 0.0017616699193136287
Position 4557: 0.0017406043675742711
Position 630: 0.0016497740257608656
Position 3570: 0.0014626715170554087
Position 11876: 0.0014216273929824295
Position 1040: 0.001420177178707405
Position 15310: 0.0013691388586724654
Position 535: 0.0011071026814766165
Position 13359: 0.0010778403024884122
Position 9477: 0.0010565249700705524
Position 15136: 0.0010415938980130642
Position 3101: 0.0009836678102121898
Position 10248: 0.0009757536647199374
Position 5326: 0.0007292475754046515
Position 4933: 0.0006840201092778692
Position 6802: 0.0006596509078205654
Position 694: 0.0005274390561021648
Position 13539: 0.0005033077088863892
Position 13395: 0.0004851783405605272
Position 2496: 0.0003874267484093459
Position 4747: 0.00036774756968158714
Position 13789: 0.00035992053205883623
Position 13120: 0.00034637898912883775
Position 209: 0.0003009575213689529
Position 11707: 0.0002929048965211193
Position 15128: 0.0002738740643403611
Position 6869: 0.0002674063932921188
Position 15162: 0.0002624935603462503
Position 2725: 0.0002483352036262334
Position 1063: 0.0002422475672341191
Position 2135: 0.00023852223300010195
Position 855: 0.00023512324020507727
Position 4512: 0.00021309571426859678
Position 2825: 0.00018958168302442763
Position 4448: 0.0001794615159715272
Position 4150: 0.00017616417911260848
Position 332: 0.00016734658406682352
Position 11209: 0.00016704849882832683
Position 4174: 0.00016692295845494327
Position 13853: 0.00015726321927221086
Position 337: 0.00012777113832940129
Position 5552: 0.00012042499705683779
Position 6285: 0.00011363985011426685
Position 487: 0.00010898933165183888
Position 6430: 0.00010807091124336042
Position 5041: 8.59178773178086e-05
Position 5221: 5.105551967335165e-05
Position 15302: 4.527977310011977e-05
Position 11076: 3.18553509912606e-05
Position 2519: 2.96685637081152e-05
Position 725: 2.701000527838503e-05
Position 5276: 1.156180195609202e-05
Position 632: 8.97776021805076e-06
Position 580: 6.925833545631629e-06
Position 135: 5.919089788406397e-06
Position 1350: 5.3411806261409704e-06
