Gene = SHISA5
index = 1254
Annotated 5SS: [ 199 3491 3858]
Annotated 3SS: [3374 3644 4031]
SMsplice 5SS: [ 199 3532 3858 4160]
SMsplice 3SS: [3374 3644 4031 4895]
top_k =  1000
Partition function (log Z): -8.140342963889626

Sorted 5' Splice Sites (High to Low Probability):
Position 3858: 0.8658375820890489
Position 4160: 0.6237105070863495
Position 3532: 0.5464842325847086
Position 199: 0.5323594295446729
Position 3491: 0.2624054675602034
Position 310: 0.1909070998265021
Position 2708: 0.12115970293922684
Position 159: 0.10929609121425293
Position 514: 0.1091260932381843
Position 4288: 0.08459815142005461
Position 4156: 0.05359599048604749
Position 306: 0.051730309576959836
Position 4896: 0.027854755775759386
Position 2588: 0.02726102563802482
Position 176: 0.0215261321375746
Position 2715: 0.020289816772192906
Position 3099: 0.019121888148060283
Position 1997: 0.014703086569717435
Position 4598: 0.010963036706667026
Position 519: 0.009530066588814596
Position 1556: 0.009484168194759128
Position 223: 0.008361669705137971
Position 5182: 0.007616562563896006
Position 1514: 0.007170312598252485
Position 335: 0.006985581582731597
Position 2730: 0.005977196929391117
Position 5068: 0.004793767717362268
Position 493: 0.004182252581733889
Position 221: 0.0038864240761165778
Position 2751: 0.0038819809276032465
Position 432: 0.003582286747552354
Position 2510: 0.0035173860160913786
Position 300: 0.003436488789161731
Position 4152: 0.003061286174105765
Position 3236: 0.001787436272874471
Position 4167: 0.0012978234883086583
Position 4236: 0.0010729313008609569
Position 4245: 0.0009825751995464235
Position 1619: 0.0007108717731405121
Position 4426: 0.000602742261127253
Position 4652: 0.000599395533411094
Position 4243: 0.0004955404011701588
Position 46: 0.00043604055080639903
Position 4150: 0.0004032723666766632
Position 308: 0.0003909259790317273
Position 3516: 0.00036787423905857656
Position 4196: 0.0003565711907207745
Position 4205: 0.00033296656280284455
Position 365: 0.0002781353025662479
Position 4142: 0.0002620934397125138
Position 4203: 0.00022809367470256063
Position 4220: 0.0002223901686167977
Position 3796: 0.00021087964720554263
Position 657: 0.00014569683957060548
Position 4767: 0.00013693744543929876
Position 3705: 8.077435976305306e-05
Position 2923: 6.586834061362014e-05
Position 1541: 5.358954894800716e-05
Position 2158: 4.2345381560424155e-05
Position 2369: 3.3582208120444704e-05
Position 2401: 2.714046246136587e-05
Position 1558: 2.2615208009501177e-05
Position 2236: 2.171862531859453e-05
Position 298: 1.1291831246307593e-05
Position 50: 1.0732324370141e-05
Position 125: 1.0681277360598962e-05
Position 29: 1.0641791453767373e-05
Position 279: 8.41230906621888e-06
Position 354: 7.801635928057057e-06
Position 422: 7.782438616744671e-06
Position 667: 6.9368311098143784e-06
Position 4154: 6.9262563974603906e-06
Position 4407: 5.142388584847553e-06
Position 2077: 4.661300068948688e-06
Position 286: 4.604057251616772e-06
Position 472: 3.915963256131348e-06
Position 619: 3.773540828125675e-06
Position 1992: 3.7307631700911276e-06
Position 2005: 3.576583825264912e-06
Position 607: 3.342824528070419e-06
Position 477: 3.1655260044392564e-06
Position 4412: 3.1637426611963007e-06
Position 357: 2.3874905290574943e-06
Position 4247: 2.2584544026257876e-06
Position 59: 1.2804749929626159e-06
Position 15: 1.157497088972073e-06
Position 968: 1.1292892776658053e-06
Position 1220: 1.036052743247867e-06
Position 227: 8.978752669707394e-07
Position 1765: 7.228132115254722e-07
Position 225: 4.3751554624164326e-07
Position 4310: 4.2270262751343034e-07
Position 4180: 4.217043934739914e-07
