Gene = CHCHD4
index = 368
Annotated 5SS: [ 204 8433]
Annotated 3SS: [ 8333 11663]
SMsplice 5SS: [ 204 2942 8433]
SMsplice 3SS: [ 2771  8333 11663]
top_k =  1000
Partition function (log Z): -5.228933022077717

Sorted 5' Splice Sites (High to Low Probability):
Position 8433: 0.997331966767624
Position 2942: 0.7705587268161602
Position 204: 0.5110651125686849
Position 315: 0.2513915160161188
Position 9763: 0.16840396049073236
Position 6753: 0.11518701758491094
Position 3988: 0.10967672241871515
Position 456: 0.09228739365544934
Position 3941: 0.08140120279302802
Position 2913: 0.08013920097643522
Position 9516: 0.0790476243980402
Position 160: 0.07302831917148694
Position 7321: 0.06462618682035315
Position 10953: 0.06149950725232394
Position 9750: 0.06005184697381072
Position 5862: 0.05841485671845069
Position 1025: 0.04668410721541645
Position 9366: 0.03914245458320834
Position 2499: 0.03863744231708693
Position 6205: 0.03440482967985923
Position 4996: 0.029540684271267235
Position 5714: 0.02719474965698778
Position 129: 0.02663963785777725
Position 10496: 0.02557255534904475
Position 762: 0.024239763942184325
Position 2508: 0.02422161201848086
Position 7326: 0.02350922972130083
Position 10456: 0.022460877314883953
Position 10968: 0.020610402768538233
Position 7245: 0.01976983539417545
Position 2848: 0.0151968147866525
Position 12292: 0.015073850863865585
Position 7231: 0.013951984210385833
Position 9143: 0.013538496931395558
Position 5366: 0.013323021094520767
Position 3665: 0.012970527657142347
Position 8799: 0.012421568104745042
Position 8692: 0.012307369499836884
Position 10039: 0.010103706120064861
Position 9627: 0.008713852469955362
Position 10354: 0.008680030164671457
Position 11545: 0.008533286059329005
Position 9631: 0.007898768029472104
Position 5016: 0.007831678736317944
Position 6585: 0.007739420008465588
Position 9857: 0.007567931876166849
Position 1785: 0.006899165056655094
Position 8594: 0.006105406348365844
Position 418: 0.005939747626495209
Position 479: 0.005743482478319247
Position 7365: 0.00479644702533611
Position 5000: 0.004469111770691277
Position 7615: 0.004419114628293296
Position 460: 0.003853392447688876
Position 8538: 0.002987869913203804
Position 11794: 0.002867080805159222
Position 11597: 0.002753960649754813
Position 5988: 0.002720820414390657
Position 1979: 0.0024798495922592513
Position 2595: 0.0021710375927008244
Position 10620: 0.002111785788623385
Position 4426: 0.0020314385999745566
Position 6761: 0.0019161033742431581
Position 536: 0.0018726550742599222
Position 69: 0.0018241119787221337
Position 1101: 0.001474125995066893
Position 11967: 0.0012091683417853446
Position 9520: 0.0011933777233290152
Position 9823: 0.001129563254986591
Position 1256: 0.001128368969507669
Position 484: 0.0011180856108693774
Position 635: 0.0010174978720687174
Position 10276: 0.0010075138413208685
Position 12296: 0.0009495520820105212
Position 10715: 0.0009282140193381228
Position 10739: 0.0008647963460324867
Position 2732: 0.0008370072768237119
Position 1294: 0.0008135344003402462
Position 8702: 0.0008006656672842622
Position 11050: 0.0007505696741725006
Position 9216: 0.0006809206194442013
Position 10479: 0.0006589640511271459
Position 8794: 0.0005243143558584227
Position 1239: 0.0005229839272818962
Position 115: 0.00033363873271533267
Position 9538: 0.0003071259352837423
Position 11088: 0.00026102412841464556
Position 954: 0.0002426325483740742
