Gene = NREP
index = 961
Annotated 5SS: [   141 241695 262035]
Annotated 3SS: [241633 261956 266417]
SMsplice 5SS: [   141  35182  98605 104438 129958 146179 175333 250008 258925 262035
 262795]
SMsplice 3SS: [ 35074  98516 104212 129860 146112 175230 249957 258808 261956 262653
 266417]
top_k =  1000
Partition function (log Z): -129.53609945608596

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.7400495887520918
Position 13330: 0.3119117664800327
Position 5445: 0.2870200525293
Position 173: 0.2554748476941662
Position 13272: 0.1286916153496276
Position 6041: 0.11427893628913852
Position 10084: 0.029017050204611948
Position 687: 0.026408541536363458
Position 19255: 0.013136676293737307
Position 4479: 0.012712556975199204
Position 1662: 0.012382219358137277
Position 5421: 0.012051547824812667
Position 1297: 0.010312644728487521
Position 9390: 0.010139077556995758
Position 7395: 0.005183893268059758
Position 8245: 0.004523267102843748
Position 3986: 0.004144551937554117
Position 6735: 0.004030658990582939
Position 4797: 0.00402477504670629
Position 1387: 0.0038709919440435554
Position 2293: 0.0033370682108500266
Position 227: 0.0031450358099332967
Position 9304: 0.0030433871948325362
Position 4813: 0.002601311726182979
Position 5045: 0.00220996099009637
Position 2653: 0.001979106809666398
Position 8891: 0.0019506181841694187
Position 3991: 0.001762545737148495
Position 2951: 0.0017340627127752043
Position 5180: 0.001568975694155091
Position 886: 0.0013041348248054715
Position 3948: 0.0011513561437263666
Position 9839: 0.0009650756941960095
Position 4758: 0.0009193853414335883
Position 847: 0.0008109308277070682
Position 4151: 0.0006921054533439859
Position 4514: 0.0005806198785960101
Position 3579: 0.00047239070395998925
Position 5528: 0.00022896921541929886
Position 5509: 0.0001476439697883148
Position 231: 0.00011152931997579667
Position 6124: 0.00010377457987499442
Position 177: 5.9185819811594577e-05
Position 654: 5.3162399235201346e-05
Position 180: 4.953607489949732e-05
Position 939: 4.1969174267150695e-05
Position 235: 3.800546872364552e-05
Position 3952: 3.561502931311322e-05
Position 650: 2.4814271883975366e-05
Position 248: 2.408635146042311e-05
Position 1195: 2.241153995819155e-05
Position 2287: 1.730932929152122e-05
Position 4059: 1.4114829525896926e-05
Position 3522: 1.3111688502724887e-05
