Gene = SZRD1
index = 1367
Annotated 5SS: [  226 24342 26400]
Annotated 3SS: [24291 26144 27954]
SMsplice 5SS: [  226 26400]
SMsplice 3SS: [26220 27954]
top_k =  1000
Partition function (log Z): -19.296893492892465

Sorted 5' Splice Sites (High to Low Probability):
Position 226: 0.971846339207258
Position 5904: 0.07887840231569117
Position 1893: 0.06955567007231173
Position 9352: 0.061938112441493484
Position 11033: 0.03403848216487557
Position 7273: 0.020726374138504436
Position 170: 0.01685094449081184
Position 5716: 0.013348545757019832
Position 5261: 0.007535384194571896
Position 2367: 0.006717533271365211
Position 7650: 0.0066771811211631974
Position 1649: 0.006394025739613793
Position 7938: 0.005753244634320156
Position 8172: 0.004815119093250133
Position 1235: 0.004505004017993119
Position 3951: 0.004183271718695734
Position 272: 0.0039055956795774893
Position 1230: 0.003621365713687129
Position 7632: 0.0034153871752010093
Position 8556: 0.0033113352024715975
Position 428: 0.003188679795557396
Position 8073: 0.002919712073871849
Position 5209: 0.0016026485752722883
Position 2530: 0.0009319383024514864
Position 904: 0.0008184793812961127
Position 2575: 0.0007683813346847223
Position 5414: 0.0007623974616555809
Position 614: 0.0007487499608528782
Position 7165: 0.0006425190631573679
Position 5923: 0.0006081666353489884
Position 5786: 0.0005716201635004541
Position 5698: 0.0005543843184780018
Position 3931: 0.0004336693311934267
Position 6355: 0.00041748217795022714
Position 6438: 0.00037631661146344327
Position 296: 0.0003749057698118994
Position 1026: 0.00037176242437824314
Position 190: 0.00034243470147653
Position 5375: 0.0003196800139281277
Position 1198: 0.0002632692201499127
Position 146: 0.0002483764925442466
Position 933: 0.0002356262085373637
Position 6062: 0.00021128735092374647
Position 5696: 0.00020865141374848376
Position 4236: 0.0001270555212045221
Position 5332: 0.00012495473364394435
Position 1544: 0.00011862055172382289
Position 1323: 0.00010647397809722761
Position 1206: 9.4167297225188e-05
Position 4065: 9.135690429511588e-05
Position 822: 9.095842316574571e-05
Position 7698: 8.842008869701676e-05
Position 5177: 8.728871362818937e-05
Position 2593: 8.558621181833554e-05
Position 82: 8.07754510413631e-05
Position 3994: 6.222602125666308e-05
Position 1329: 5.4531745322205493e-05
Position 5821: 4.7982018759490444e-05
Position 1401: 4.4337652270348254e-05
Position 5704: 4.3098367494830987e-05
Position 1518: 4.295577608377454e-05
Position 624: 3.969925683592449e-05
Position 5683: 3.956130767180632e-05
Position 2188: 3.393433542871774e-05
Position 1319: 3.2861033865027044e-05
Position 3169: 3.2050403467482365e-05
Position 3912: 2.8008416426231737e-05
Position 2673: 2.5905934521227736e-05
Position 2283: 2.50261689460544e-05
Position 1954: 2.2626156466069186e-05
Position 5010: 1.3139481186465875e-05
Position 22: 1.1982658900410419e-05
Position 4879: 1.1050593196332272e-05
Position 3042: 8.6151164612508e-06
Position 3238: 8.494718432736594e-06
Position 73: 8.11694083627039e-06
Position 755: 7.796860373108027e-06
Position 1546: 6.657292908749297e-06
Position 1681: 6.038318052924548e-06
Position 652: 4.289325029514571e-06
Position 5869: 4.160808937437785e-06
Position 1204: 3.5121074317540526e-06
Position 1448: 2.1039277031446335e-06
Position 942: 2.0649361507981566e-06
Position 1273: 1.6049509676531088e-06
Position 1381: 1.600013450469071e-06
Position 1537: 1.2462876552484407e-06
Position 1468: 1.1695408767708906e-06
Position 2974: 1.0031961695732246e-06
Position 2625: 9.506745056660203e-07
Position 912: 8.162786582166288e-07
Position 802: 5.737021023890143e-07
Position 768: 5.019280717964333e-07
Position 920: 4.801484389127181e-07
Position 926: 3.323922636962991e-07
Position 621: 2.6809978777122455e-07
Position 618: 2.5127500522156264e-07
Position 2136: 2.0930989972531838e-07
Position 2097: 2.0639375585748555e-07
Position 985: 1.6293605670222085e-07
Position 935: 1.1399424778567203e-07
Position 1327: 1.0863589896999421e-07
Position 526: 1.0449096312596446e-07
Position 1246: 1.0433282049655885e-07
Position 763: 1.0427977624108197e-07
Position 345: 7.279366920520235e-08
Position 581: 7.184135085956428e-08
Position 536: 6.427950942060163e-08
Position 1349: 6.379836105258473e-08
Position 1222: 2.886962521067315e-08
Position 806: 2.8398114643662845e-08
Position 970: 2.7719316455810614e-08
Position 348: 2.726271616418915e-08
Position 558: 2.5546843592335034e-08
Position 1109: 1.0426674693387522e-08
Position 1098: 3.3969633624025472e-09
Position 1037: 3.0679949580376724e-09
Position 1009: 1.6697661383361753e-09
Position 2891: 1.4845714592610323e-09
Position 2499: 1.0236425770568638e-09
Position 2109: 9.798984273831529e-10
Position 2517: 8.484516702797583e-10
Position 2162: 3.6213820399063365e-10
Position 1897: 3.618381343973316e-10
Position 1215: 3.0440354208357713e-10
Position 749: 2.749657848178683e-10
Position 587: 2.632141472566439e-10
Position 307: 8.537544604190289e-11
Position 242: 3.1021953597496005e-11
Position 363: 1.770898347817281e-11
Position 458: 1.7164545803088663e-11
Position 376: 7.022528058121147e-12
Position 94: 8.235297012029283e-13
Position 1003: 5.222209868168372e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 27954: 0.6155393809578141
Position 17749: 0.11704790780779518
Position 5548: 0.10821783157053423
Position 17768: 0.08351631502368571
Position 7815: 0.07642417834387515
Position 9248: 0.06649733564360592
Position 1795: 0.06360664105553593
Position 10987: 0.05086411013281785
Position 7060: 0.02554132074703328
Position 5062: 0.017307725376765674
Position 1096: 0.007016630693945687
Position 12057: 0.0065286624119536936
Position 18940: 0.005973874765544743
Position 2959: 0.005127649024602537
Position 3798: 0.00511031464987725
Position 2282: 0.00499133744360199
Position 1423: 0.004854048875070245
Position 11032: 0.004799644737023096
Position 7463: 0.004707855048139875
Position 12698: 0.004454764657331878
Position 1654: 0.0038718618645021117
Position 17703: 0.0035914719235777427
Position 16156: 0.003524814518442802
Position 17381: 0.0035219257631146036
Position 10919: 0.003375122946831392
Position 8413: 0.003302338982655864
Position 6540: 0.003145152320425475
Position 7502: 0.003068711103549893
Position 5803: 0.00294894906711852
Position 5683: 0.002418829492429724
Position 5750: 0.0023278641315749916
Position 2428: 0.0022345270538347496
Position 8871: 0.0018072590535746411
Position 7605: 0.0017825958709263578
Position 1601: 0.0017650630082228101
Position 1574: 0.0016884419181021901
Position 10817: 0.0016045296993026465
Position 5058: 0.0013333863409451605
Position 7555: 0.0011970559332843255
Position 15126: 0.0011073316923297322
Position 8152: 0.0009965847504808938
Position 11223: 0.000937504729408611
Position 2218: 0.0008192432211160104
Position 3903: 0.0007389892536712776
Position 5769: 0.0006654681493055366
Position 7194: 0.0006399513545515673
Position 13427: 0.0006242278740597917
Position 1070: 0.0005933727352505447
Position 13890: 0.0005770899911883029
Position 8277: 0.0005733543096968529
Position 12421: 0.0005111690016965566
Position 6167: 0.0005100362113794832
Position 1197: 0.0004928016186784404
Position 1817: 0.0004884503754736142
Position 4133: 0.00046786952464468527
Position 2023: 0.00040519796670519673
Position 13402: 0.0004003343682612014
Position 2147: 0.0003932042427479775
Position 6170: 0.0003750650111417923
Position 4911: 0.0003537831150827111
Position 11674: 0.00032278605235363297
Position 844: 0.00031674985191273156
Position 6609: 0.000302848578767564
Position 10023: 0.00027332994451105715
Position 11440: 0.0002586875357626182
Position 6248: 0.0002548750684850968
Position 10717: 0.00025431019412035195
Position 11570: 0.0002466959415383409
Position 1502: 0.0002298009542259348
Position 1386: 0.00020165807834427748
Position 6560: 0.0001899293386383617
Position 7141: 0.00018610152073262533
Position 1020: 0.00017809817841779328
Position 5711: 0.00017565350093966034
Position 5660: 0.00017534864786690346
Position 1631: 0.00017188268504919081
Position 6773: 0.000167065660934672
Position 1098: 0.0001615612092189515
Position 10560: 0.0001542621544705783
Position 883: 0.00015403884378329674
Position 2214: 0.00015330975761113067
Position 7572: 0.00015214319985640162
Position 5092: 0.0001482209640529597
Position 797: 0.00013566624482234504
Position 3237: 0.00012922034599429253
Position 5621: 0.00012851118194454693
Position 9794: 0.00012250326753666157
Position 9474: 0.00011819121731157292
Position 6382: 0.00010653938088039808
Position 2341: 0.00010296590291904796
Position 3074: 9.022528393884342e-05
Position 3825: 8.841017449280874e-05
Position 3598: 8.58923828589319e-05
Position 3476: 8.001500045382239e-05
Position 4153: 7.313808075367664e-05
Position 2140: 7.218162700928978e-05
Position 2290: 7.110835800450953e-05
Position 3983: 7.073032499933301e-05
Position 6876: 6.873632128581408e-05
Position 4206: 6.741697709101576e-05
Position 8190: 6.70231819852466e-05
Position 6940: 6.693953687070058e-05
Position 5656: 6.671646908430499e-05
Position 4423: 6.612441275070027e-05
Position 6536: 6.553955697897524e-05
Position 6704: 5.910162705518932e-05
Position 3930: 5.812932836538946e-05
Position 8699: 5.812762940481336e-05
Position 665: 5.766025790784326e-05
Position 3736: 5.7207328505440545e-05
Position 7821: 5.170131445146537e-05
Position 8661: 4.9297977495429325e-05
Position 8253: 4.7594161849436385e-05
Position 2440: 4.664535324548908e-05
Position 7691: 4.189556527834893e-05
Position 3572: 4.0676423852387556e-05
Position 2124: 4.066607322503326e-05
Position 4399: 4.0066572889562346e-05
Position 2055: 3.851940432339124e-05
Position 1617: 3.766383903720224e-05
Position 581: 3.6804723373566005e-05
Position 7095: 3.5614831666391883e-05
Position 3187: 3.554450823287088e-05
Position 1368: 3.35768088108869e-05
Position 1935: 3.300608557990523e-05
Position 2890: 3.197716633313947e-05
Position 4837: 2.856193206884684e-05
Position 7373: 2.7314338616206272e-05
Position 4129: 2.697036632656696e-05
Position 903: 2.5358778671981945e-05
Position 318: 2.469310868198033e-05
Position 4715: 2.33260605199488e-05
Position 3168: 2.269115812064046e-05
Position 1710: 2.2565991793902635e-05
Position 1260: 2.133939587416783e-05
Position 6824: 2.1246674179351932e-05
Position 5524: 2.1068628958105435e-05
Position 3655: 2.0340633148155946e-05
Position 1514: 2.0292788594921238e-05
Position 6897: 2.0154564950559388e-05
Position 1131: 1.6229831422804813e-05
Position 1605: 1.5213548485697844e-05
Position 1693: 1.5126221253113875e-05
Position 5554: 1.499093973309503e-05
Position 2499: 1.477998610609226e-05
Position 1850: 1.4178253057411315e-05
Position 5010: 1.3393102652412258e-05
Position 1336: 1.3140410682201782e-05
Position 322: 1.301748087706805e-05
Position 4226: 1.289310028719347e-05
Position 2192: 1.2248861240588908e-05
Position 4561: 1.1654742203834396e-05
Position 931: 1.1638663090633347e-05
Position 867: 1.1543631074380335e-05
Position 4957: 1.0896328844641537e-05
Position 1543: 9.989777874627034e-06
Position 1442: 8.850443774516498e-06
Position 4405: 8.710433740815398e-06
Position 1457: 8.700246404528154e-06
Position 813: 8.516328532186984e-06
Position 800: 8.507633764375574e-06
Position 2557: 8.498396798811887e-06
Position 4857: 8.405837704158331e-06
Position 3325: 7.894836782080278e-06
Position 4564: 7.790212120804213e-06
Position 1887: 7.619989141234615e-06
Position 3397: 6.285133608599194e-06
Position 3328: 6.1409063173885915e-06
Position 307: 5.335007613607829e-06
Position 1533: 5.260118916570267e-06
Position 817: 5.159565199540689e-06
Position 2732: 4.619790639901888e-06
Position 2443: 4.580535663659079e-06
Position 3578: 4.571476823900299e-06
Position 1822: 3.9263969200104745e-06
Position 2777: 3.5351275274229683e-06
Position 253: 3.5193782257703924e-06
Position 1319: 3.1914411595263166e-06
Position 644: 3.1377278029263774e-06
Position 2529: 3.088475572718655e-06
Position 2964: 3.022168337898198e-06
Position 1003: 2.8676763473691496e-06
Position 1316: 2.8410122540874174e-06
Position 2692: 2.6412793893465264e-06
Position 2371: 2.2287954814476588e-06
Position 950: 1.814170012097447e-06
Position 1029: 1.2093411809797557e-06
Position 392: 1.1203010901159961e-06
Position 2109: 8.78807501570534e-07
Position 854: 8.769079268676959e-07
Position 1471: 4.378910861988698e-07
Position 909: 3.4547530171116325e-07
