Gene = AJAP1
index = 45
Annotated 5SS: [   723  57968 115209 117794 119827]
Annotated 3SS: [ 57167 115120 117547 119694 122668]
SMsplice 5SS: [   723  10917  11293  14173  17358  22981  39278  47917  64663 115209
 117794 118258 119827]
SMsplice 3SS: [ 10763  11090  13983  17247  22777  39170  47814  64592 115120 117547
 118102 119694 122613]
top_k =  1000
Partition function (log Z): -52.93921161294679

Sorted 5' Splice Sites (High to Low Probability):
Position 22981: 0.9259307726285093
Position 17358: 0.9099901895984222
Position 11293: 0.6807739265199421
Position 723: 0.6024692896022621
Position 10917: 0.6011202853984148
Position 14173: 0.4941545178258977
Position 16999: 0.47460121495465274
Position 17622: 0.4622736526202086
Position 14184: 0.3026475130097759
Position 746: 0.2930928503105688
Position 18469: 0.287733802795433
Position 21143: 0.2771758628101054
Position 23964: 0.2665551720239594
Position 10940: 0.21646734196960238
Position 23188: 0.21339097481220948
Position 15500: 0.1658636394656865
Position 18199: 0.16312408271743578
Position 15779: 0.15701977165090455
Position 11176: 0.15053423181456513
Position 4735: 0.14085779987442812
Position 7655: 0.13306017669770046
Position 18418: 0.09883119324512896
Position 16456: 0.09046564779168297
Position 5362: 0.08719988056211106
Position 18481: 0.08221909323281466
Position 664: 0.0716377186520062
Position 2606: 0.06350500146026136
Position 20694: 0.0628444537828439
Position 15815: 0.06048372076245587
Position 4279: 0.05811817198325737
Position 21183: 0.057456801186971274
Position 11165: 0.052071699524076955
Position 15784: 0.04779399447889817
Position 17951: 0.046536541451386866
Position 12467: 0.04472088567492811
Position 10141: 0.04105187309577075
Position 15541: 0.03753308297215814
Position 13197: 0.03387075619389346
Position 10501: 0.032824445036674615
Position 284: 0.029979740543419148
Position 25221: 0.029392050180152302
Position 16424: 0.02892007115743922
Position 18290: 0.02677922556291889
Position 9702: 0.02481434395708347
Position 17383: 0.024164682359201092
Position 18068: 0.02281684929129263
Position 2898: 0.021118161876964144
Position 7705: 0.020091019234269872
Position 10957: 0.01951261466260894
Position 14894: 0.01932898760161946
Position 17963: 0.019020997307703673
Position 27432: 0.018879577593305392
Position 14736: 0.018778623219207907
Position 6682: 0.017491926497507068
Position 9732: 0.01603798541216283
Position 9653: 0.015914378868074817
Position 20201: 0.015708590160321136
Position 2850: 0.015625945900043268
Position 19805: 0.014758592226143208
Position 12844: 0.014551187803705493
Position 20666: 0.01226154098923203
Position 15155: 0.012173598728108505
Position 29182: 0.010215504734054335
Position 12965: 0.00931402273287859
Position 16777: 0.00893786083573698
Position 25929: 0.008885315613207533
Position 14188: 0.008057634959636911
Position 17353: 0.0069773512966292426
Position 14120: 0.006263772408640556
Position 12551: 0.0043728705947122
