Gene = CARTPT
index = 280
Annotated 5SS: [290 801]
Annotated 3SS: [ 716 1344]
SMsplice 5SS: [ 290  801 1141]
SMsplice 3SS: [ 716 1012 1344]
top_k =  1000
Partition function (log Z): -4.535072562062202

Sorted 5' Splice Sites (High to Low Probability):
Position 801: 0.7235567937693409
Position 290: 0.5161934032233505
Position 1141: 0.4647341372106755
Position 537: 0.4302040329317807
Position 294: 0.402948094025379
Position 806: 0.22613780663895316
Position 146: 0.07675941575367679
Position 612: 0.0749013984117394
Position 989: 0.06087517975948677
Position 1355: 0.04981967392213876
Position 948: 0.03077688297793292
Position 1112: 0.02344158852392838
Position 89: 0.01996752710029509
Position 618: 0.009653412793722477
Position 1279: 0.0078112445834873975
Position 904: 0.006909412939787625
Position 782: 0.006751737630239547
Position 1210: 0.0065317516641041126
Position 201: 0.0035409275280272887
Position 622: 0.003344327018865846
Position 754: 0.003088710477649577
Position 1020: 0.0019184476942049626
Position 979: 0.0016151549120044658
Position 472: 0.0015215591577210506
Position 1231: 0.0015109404121810982
Position 1305: 0.0009074780569189268
Position 1369: 0.0005828369127792297
Position 468: 0.00046503690198594925
Position 555: 0.0004410411134861537
Position 564: 0.00041447432713041544
Position 1174: 0.00032326030236686583
Position 590: 0.00031674186234253846
Position 706: 0.00031366571240042926
Position 5: 0.000308861495392577
Position 588: 0.00025798310836857663
Position 541: 0.0002259213434571653
Position 652: 0.00021780117376249134
Position 845: 7.54374955511094e-05
Position 1657: 6.984674041042437e-05
Position 880: 6.834818842263088e-05
Position 1068: 5.455178545625517e-05
Position 792: 5.400301377004548e-05
Position 1443: 5.143273374955344e-05
Position 102: 3.9961494204772794e-05
Position 196: 3.728406661849756e-05
Position 443: 3.727750702077206e-05
Position 1666: 2.6000863535419527e-05
Position 1214: 2.140421862978545e-05
Position 120: 2.1030046700368308e-05
Position 99: 1.1298701733912145e-05
Position 616: 7.211591932783285e-06
Position 760: 3.4311931215581225e-06
Position 333: 2.182777323891634e-06
Position 325: 1.6366734737868688e-06
Position 599: 7.793750108390015e-07
Position 387: 7.530977667876499e-07
Position 813: 7.36595078686152e-07
Position 1239: 3.1876661173444335e-07
Position 1000: 3.183878957535364e-07
Position 735: 2.631475810510369e-07
Position 260: 2.295105913448321e-07
Position 1160: 1.887481965566725e-07
Position 1272: 6.718581354407139e-08
Position 207: 2.153267441869134e-08
Position 993: 1.2400409691531257e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.6235552526216289
Position 1344: 0.5895444181842638
Position 385: 0.501745710195597
Position 1012: 0.2996093982902424
Position 1201: 0.2503441028209486
Position 1042: 0.20285126278661011
Position 643: 0.15513879319233503
Position 676: 0.153713618895605
Position 883: 0.10343520728523739
Position 1501: 0.07502662159312964
Position 214: 0.05626498865697183
Position 1567: 0.03496307195401591
Position 1217: 0.02276172395176278
Position 217: 0.010062132541395527
Position 1044: 0.008636549346681413
Position 387: 0.006774125263653496
Position 1443: 0.006276933377481192
Position 1762: 0.0060332089921575375
Position 1111: 0.005915642268439722
Position 903: 0.004964395818902711
Position 1019: 0.004413241643004227
Position 918: 0.004361501282359883
Position 510: 0.0037730700256895584
Position 1258: 0.002801768468222372
Position 1362: 0.0026208229281767235
Position 610: 0.0021832930845098165
Position 694: 0.0019028746728573026
Position 1715: 0.0018407920603874224
Position 1503: 0.0017871997342829844
Position 439: 0.0017235886351639866
Position 871: 0.0016594526032006041
Position 1414: 0.0014791822751528832
Position 1260: 0.0012800834192812614
Position 1264: 0.0012093227404558233
Position 391: 0.0011739060559015765
Position 1050: 0.001112807080597104
Position 599: 0.0008916504842608854
Position 839: 0.0008657072507348279
Position 468: 0.0006328738353283168
Position 952: 0.0005857234636359026
Position 1525: 0.00042208226027369393
Position 681: 0.0004053420851869462
Position 703: 0.000377710149091615
Position 419: 0.00034922097867093083
Position 1573: 0.00034351048642533913
Position 1718: 0.0002736487021392898
Position 1604: 0.0001577669597924528
Position 1173: 0.00015358882673077476
Position 1614: 0.00012886970323977117
Position 987: 0.0001284805095065951
Position 967: 0.00011666837925079334
Position 441: 0.00011021444312668138
Position 652: 0.00010567516895214773
Position 779: 9.697924720989075e-05
Position 1630: 8.57972053404215e-05
Position 1369: 7.916848170958609e-05
Position 1793: 6.278747866767499e-05
Position 232: 6.04114457985867e-05
Position 1454: 5.6144001960186045e-05
Position 841: 5.1429014395961154e-05
Position 1774: 5.049674593053178e-05
Position 519: 4.931955422455265e-05
Position 541: 3.388260106558691e-05
Position 723: 3.221772974068051e-05
Position 283: 2.8179881814228018e-05
Position 973: 2.4413935896043282e-05
Position 239: 1.9043217578813297e-05
Position 735: 1.6522044531999482e-05
Position 553: 1.4808092068198486e-05
Position 110: 1.3830673003814746e-05
