Gene = LCE4A
index = 768
Annotated 5SS: [235]
Annotated 3SS: [894]
SMsplice 5SS: [235]
SMsplice 3SS: [894]
top_k =  1000
Partition function (log Z): -4.715169191124527

Sorted 5' Splice Sites (High to Low Probability):
Position 235: 0.9846120120822315
Position 975: 0.25290710907134967
Position 208: 0.008102907923731717
Position 770: 0.00482155235621966
Position 606: 0.004657082631475694
Position 161: 0.0037969039726581445
Position 731: 0.0033470643345220384
Position 739: 0.002678566824233338
Position 476: 0.0015499350416214883
Position 960: 0.001161751531084702
Position 295: 0.0006754571610400049
Position 999: 0.0006153017699963548
Position 610: 0.0006119515081678474
Position 69: 0.00046311508619605523
Position 370: 0.0003203155184102651
Position 488: 0.0002921448610488293
Position 327: 0.00028023504547065024
Position 1082: 0.00023248395892057295
Position 346: 0.00016475583859063524
Position 1116: 0.00011102857237440381
Position 623: 0.00010631393277617178
Position 1001: 4.0576381211114154e-05
Position 373: 3.6319420782373716e-05
Position 962: 2.4415040782792883e-05
Position 315: 2.163378143324589e-05
Position 680: 2.0387861455479714e-05
Position 528: 1.647190864045578e-05
Position 422: 9.04989369552133e-06
Position 843: 7.11326959704571e-06
Position 1181: 6.784609653746637e-06
Position 1246: 4.565368714960159e-06
Position 782: 3.9415444804826435e-06
Position 90: 2.9285922607359815e-06
Position 759: 2.8503825213005153e-06
Position 322: 1.5773982175785702e-06
Position 222: 1.339243645769435e-06
Position 163: 1.07724441782485e-06
Position 241: 9.884260738548296e-07
Position 239: 7.407239454362166e-07
Position 376: 6.997120051259906e-07
Position 1061: 6.683307061269992e-07
Position 1058: 6.514378840507867e-07
Position 307: 3.0809323803782086e-07
Position 214: 2.9345797427780086e-07
Position 989: 2.770064720710844e-07
Position 918: 2.379417224797398e-07
Position 1173: 1.7274743366369498e-07
Position 1037: 1.3032905905235381e-07
Position 634: 1.2545083297028593e-07
Position 1208: 6.893242394361155e-08
Position 1163: 5.8599564916170796e-08
Position 165: 9.916577206245822e-09
Position 103: 4.703855798829652e-09
Position 942: 2.899318896209715e-11
Position 895: 2.0305588208939575e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 894: 0.9843361437730714
Position 1046: 0.1599976958924204
Position 1070: 0.05744380629735794
Position 1312: 0.02575395828806112
Position 1157: 0.005453622704438274
Position 533: 0.0050846664916661816
Position 642: 0.004857907254225199
Position 563: 0.004428622924133702
Position 595: 0.0033608685320239847
Position 1130: 0.002979433755022975
Position 1106: 0.002114283102327718
Position 930: 0.001955038253434648
Position 395: 0.0018796419555660105
Position 672: 0.0018542833633993251
Position 1115: 0.0018389273439936946
Position 1225: 0.0017875356494120081
Position 863: 0.0015733918230853314
Position 915: 0.0007347046405995348
Position 1201: 0.000652296575746089
Position 794: 0.0005206045939995319
Position 510: 0.0002897368088906564
Position 927: 0.0002722173135554932
Position 203: 0.0002603393764227681
Position 429: 0.00025560927337833224
Position 1163: 0.0002475948943093593
Position 250: 0.00020322207130756345
Position 433: 0.00018077755829741366
Position 495: 0.00016793208598301176
Position 728: 0.00014543231857196042
Position 1077: 0.00013202065128026352
Position 392: 0.00011250670201060679
Position 1228: 8.485017478344508e-05
Position 999: 7.88529894499169e-05
Position 307: 7.726759301893703e-05
Position 767: 5.704287573034217e-05
Position 960: 5.344852520067953e-05
Position 1231: 4.9258985316213116e-05
Position 315: 4.786681446717483e-05
Position 975: 4.702002462480927e-05
Position 514: 4.6219177110675185e-05
Position 1137: 4.124713282560009e-05
Position 1081: 3.0754625613045923e-05
Position 677: 2.6522025553351743e-05
Position 1173: 2.3327795409555307e-05
Position 1267: 1.8662415470315143e-05
Position 722: 1.8050367208849436e-05
Position 613: 1.7669472859047487e-05
Position 1170: 1.7364172612999894e-05
Position 354: 1.4502159133123733e-05
Position 939: 1.3823342951028536e-05
Position 330: 1.0204021378902921e-05
Position 359: 1.0133168026147081e-05
Position 1246: 7.141899777796514e-06
Position 1239: 5.312346676005188e-06
Position 148: 5.2844445421058365e-06
Position 411: 4.959180382087338e-06
Position 769: 3.869497538995289e-06
Position 710: 3.701303969526641e-06
Position 239: 2.7750048501398736e-06
Position 362: 2.334832593972327e-06
Position 320: 2.3235513569370906e-06
Position 1097: 2.267002400894293e-06
Position 1139: 2.141074737823682e-06
Position 258: 2.0950411071308797e-06
Position 142: 1.99780502149993e-06
Position 271: 1.7936726164163991e-06
Position 680: 1.7007917125469238e-06
Position 336: 8.396413334686444e-07
Position 287: 6.862366851363091e-07
Position 437: 6.663442583342947e-07
Position 281: 6.305006426280699e-07
Position 942: 6.211795459558352e-07
Position 1255: 5.512628509081161e-07
Position 948: 5.359303063835034e-07
Position 747: 4.0698723834294147e-07
Position 376: 2.92024155621617e-07
Position 161: 2.4701492836653235e-07
Position 136: 1.745800448049027e-07
Position 333: 5.995817058492143e-08
Position 373: 5.3299087454487616e-08
Position 327: 5.175668556276309e-08
Position 370: 1.5246612573338165e-08
Position 821: 1.1929745580427838e-08
Position 739: 4.456425807280447e-09
Position 260: 4.907856348231772e-10
Position 367: 1.827610019879774e-10
Position 293: 1.5981842420362014e-10
Position 295: 6.459690166174006e-11
