Gene = NUPR1L
index = 980
Annotated 5SS: [386]
Annotated 3SS: [1502]
SMsplice 5SS: [386]
SMsplice 3SS: [1502]
top_k =  1000
Partition function (log Z): -9.376795929601164

Sorted 5' Splice Sites (High to Low Probability):
Position 386: 0.9545668426362613
Position 572: 0.024568543756271516
Position 1116: 0.008951601812003917
Position 55: 0.008508866795509341
Position 698: 0.007142830419044312
Position 299: 0.004547164675953448
Position 390: 0.00238156372696635
Position 1389: 0.0009902801593390997
Position 730: 0.0007115669464529966
Position 1432: 0.0005560110079302458
Position 576: 0.00041550779923832566
Position 1158: 0.0002167036885390237
Position 1377: 0.00019886745330383244
Position 794: 0.00016210811857264273
Position 1582: 0.00010138994475046121
Position 65: 4.2909809792898026e-05
Position 117: 3.713856941549999e-05
Position 1534: 3.3395392706458696e-05
Position 1525: 2.737904838881687e-05
Position 1222: 2.6653849743075987e-05
Position 1546: 1.9018478150079795e-05
Position 1467: 1.3814381217327823e-05
Position 496: 1.309683631045585e-05
Position 1577: 1.0277993990200089e-05
Position 1075: 9.832882996069812e-06
Position 1263: 9.228727737266292e-06
Position 1266: 9.11835430775593e-06
Position 1189: 7.714027054701164e-06
Position 1035: 7.692149958559346e-06
Position 637: 7.3982264579559575e-06
Position 863: 5.530689772018495e-06
Position 1610: 4.930166481793223e-06
Position 474: 4.722768986884203e-06
Position 26: 4.7176203860384074e-06
Position 1176: 4.232219865900939e-06
Position 1257: 3.7500471382215645e-06
Position 740: 2.245359658349626e-06
Position 1518: 2.1613784324660404e-06
Position 869: 1.8609203001409185e-06
Position 415: 1.8499760392852416e-06
Position 1554: 1.5477696202523006e-06
Position 1311: 1.5348958452320923e-06
Position 1308: 7.028219171481361e-07
Position 1324: 6.484569790351885e-07
Position 655: 5.616701828296058e-07
Position 1029: 4.051457524135965e-07
Position 437: 9.085447805621863e-11
Position 1093: 5.1103230043847494e-11
Position 791: 8.41184507786963e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1502: 0.9322850157847231
Position 664: 0.014509792867612219
Position 1233: 0.010027303224523923
Position 472: 0.009234453099720341
Position 1589: 0.007508686359034312
Position 642: 0.005782688867498209
Position 1109: 0.004627622065852581
Position 1198: 0.0033686671003990104
Position 1147: 0.003143618080705139
Position 1184: 0.002716590754418434
Position 124: 0.002513808112826991
Position 1069: 0.002104556414140355
Position 571: 0.0015155011034195752
Position 540: 0.0011742234073251782
Position 1708: 0.0011717909645432062
Position 1215: 0.0010973647420146329
Position 622: 0.0009203011732082351
Position 807: 0.0008075181391934118
Position 1610: 0.0007651610695657312
Position 1525: 0.0007623043216927888
Position 1115: 0.0007061459071027291
Position 1418: 0.0006038496169015382
Position 502: 0.000592140069416862
Position 1238: 0.0005777704512340802
Position 1561: 0.0004919186328387667
Position 519: 0.00039791606135899823
Position 1659: 0.0003091822197051029
Position 153: 0.000294377231939171
Position 221: 0.0002707124457280999
Position 253: 0.00023067347029289478
Position 1656: 0.00022769368765422068
Position 781: 0.00022589197787468084
Position 1081: 0.00021170253273371725
Position 862: 0.0002060457232746866
Position 1684: 0.0001834224063953745
Position 1701: 0.00017502512063151905
Position 1382: 0.00015476769488657693
Position 1247: 0.00015433348593035744
Position 1014: 0.00014867575370031648
Position 1454: 0.00014028462767942185
Position 681: 0.0001393622371267261
Position 1327: 0.00013408070914842083
Position 1567: 0.0001266645193741077
Position 474: 0.00012179325271952511
Position 432: 0.00011982021984609172
Position 489: 9.375272178986839e-05
Position 1423: 8.687386821736079e-05
Position 1705: 7.662369140540233e-05
