Gene = SLC51A
index = 1271
Annotated 5SS: [  247  1433 10616 11234 11770 12417 13558 16021]
Annotated 3SS: [ 1337 10460 11159 11610 12304 13410 15914 16558]
SMsplice 5SS: [  247  1433  1845 10616 11770 12417 13558 16021]
SMsplice 3SS: [ 1300  1727 10460 11610 12304 13410 15914 16669]
top_k =  1000
Partition function (log Z): 7.15437389868775

Sorted 5' Splice Sites (High to Low Probability):
Position 247: 0.9961825320771639
Position 1433: 0.9862818862137634
Position 11770: 0.9782410461166503
Position 10616: 0.8744861460754259
Position 12417: 0.8342090267805751
Position 16021: 0.6853957777670309
Position 1845: 0.6177558606363107
Position 11234: 0.521429256748845
Position 13558: 0.4463770659117571
Position 3089: 0.2995298047537927
Position 3099: 0.2897862953783232
Position 546: 0.20457070570029942
Position 13520: 0.17575398069492157
Position 12114: 0.1608228439258422
Position 403: 0.10864498149521734
Position 15806: 0.1026223530715784
Position 589: 0.1017456497990025
Position 9293: 0.08486268042794179
Position 634: 0.08189802543480898
Position 12428: 0.0740731209465091
Position 14727: 0.07264022664638005
Position 14974: 0.06480602204004471
Position 11537: 0.0520590510777571
Position 469: 0.025263723217443863
Position 15970: 0.019296478669398157
Position 13618: 0.018186150467272146
Position 11786: 0.016271829579210192
Position 538: 0.016123106475091336
Position 1867: 0.013182765561494293
Position 419: 0.00939726061577668
Position 2272: 0.007683059823817672
Position 16431: 0.007391052276385555
Position 407: 0.007192642001774966
Position 16647: 0.0052713312129087945
Position 15208: 0.005147587415485746
Position 13614: 0.0047845323860116
Position 10671: 0.004735360296019536
Position 388: 0.004071146897413024
Position 12372: 0.0038571546521890604
Position 16013: 0.0037893962800075176
Position 12674: 0.0034723231537975977
Position 16642: 0.0033382050901298124
Position 542: 0.0030357070431370507
Position 7498: 0.0030061398593892543
Position 16697: 0.002757876845661203
Position 2707: 0.0026562816229481756
Position 2287: 0.0024039982147884185
Position 3640: 0.0022160240196236903
Position 11295: 0.0021459171166303428
Position 6865: 0.0019727651129042823
Position 9061: 0.0019217054030296963
Position 3240: 0.0018809080011904632
Position 12644: 0.001837261577016912
Position 14453: 0.001727841032334998
Position 15045: 0.0016943561235804247
Position 251: 0.0015241633364932756
Position 7968: 0.001207284708501378
Position 7978: 0.0011891701580969795
Position 11884: 0.0011824801814279877
Position 5161: 0.0009568952307490591
Position 675: 0.0009157006779343549
Position 14216: 0.0008709661039207068
Position 12053: 0.0007643889153369236
Position 3353: 0.0007638186092256984
Position 13291: 0.0007157147393213124
Position 14388: 0.0006668062624261255
Position 12190: 0.0006222137924805738
Position 21: 0.0006044815352552331
Position 7960: 0.0005883585288159192
Position 3952: 0.0005640641623764911
Position 8833: 0.0005313581099112893
Position 8043: 0.0004876733918454642
Position 12062: 0.0004334323872246281
Position 7074: 0.0004274495157494426
Position 6115: 0.00041450814933778607
Position 1338: 0.00040675044585432736
Position 2340: 0.00039241075002183434
Position 3103: 0.0003876635302290703
Position 3575: 0.00038752762386496525
Position 11160: 0.0003748802679581342
Position 12233: 0.00028906482879960003
Position 9446: 0.0002662925260626239
Position 10742: 0.00024082146641798147
Position 2364: 0.0002395843318365575
Position 16836: 0.00022041660588167222
Position 1606: 0.0001965212309460803
Position 1360: 0.00019519248896800718
Position 13153: 0.00017030853340015354
Position 2541: 0.0001503358845790033
Position 6755: 0.00014930208271839127
Position 7482: 0.00014715581718147708
Position 9469: 0.00014580386235513333
Position 14260: 0.00013931415691396888
Position 8657: 0.00012806582117652583
Position 2495: 0.00011641660992665697
Position 40: 0.0001109094623894006
Position 1997: 0.00011009642910877619
Position 455: 9.279756135335105e-05
Position 177: 8.033540859922436e-05
Position 1757: 6.984276150491098e-05
Position 12068: 6.207341200846773e-05
Position 1602: 4.59227800415884e-05
Position 1619: 4.570568769884214e-05
Position 897: 4.21216544343346e-05
Position 1965: 4.163453127671282e-05
Position 12266: 3.828192310060329e-05
Position 11711: 3.677776665468481e-05
Position 1836: 3.3240222815581503e-05
Position 2209: 2.873076224065675e-05
Position 2711: 2.435989636364875e-05
Position 1437: 1.9824104223426163e-05
Position 1765: 1.896479153500335e-05
Position 2200: 1.8348784605955694e-05
Position 3259: 1.725438003612033e-05
Position 1839: 1.4994447944061947e-05
Position 2047: 1.2910399070553985e-05
Position 1784: 1.0772145486421761e-05
Position 2664: 1.0110940413792223e-05
Position 5100: 8.044813332657504e-06
Position 421: 7.41649923222374e-06
Position 4488: 6.4351134953780435e-06
Position 2428: 5.902901384910305e-06
Position 1553: 5.642615634934181e-06
Position 380: 4.4541290006492935e-06
Position 1610: 3.815837263363883e-06
Position 752: 3.523243497440389e-06
Position 3157: 3.1746191844135166e-06
Position 6162: 3.147605287172186e-06
Position 1656: 2.479871674973883e-06
Position 3760: 2.1476660936865633e-06
Position 1951: 2.042425947873045e-06
Position 966: 1.9682867352603734e-06
Position 1518: 1.955012786373729e-06
Position 593: 1.3050890543569491e-06
Position 3060: 1.2722720408973807e-06
Position 3075: 1.0823170509720184e-06
Position 3136: 1.018602154102842e-06
Position 2970: 9.704665712605618e-07
Position 979: 8.553037834746306e-07
Position 837: 6.675786585616179e-07
Position 824: 6.673985001227128e-07
Position 816: 5.439109020103902e-07
Position 1953: 2.3421746792876465e-07
Position 289: 1.9983979118306254e-07
Position 2039: 1.235822175972746e-07
Position 1961: 1.0282317400698165e-07
Position 2094: 2.4417533007108182e-08
Position 2121: 1.2720800088884939e-08
Position 275: 8.101094028630697e-09
Position 1878: 4.720944534663679e-09
Position 486: 1.961451638986649e-09
Position 1568: 4.2563679082237595e-10
Position 310: 1.0764997726993111e-10
Position 1555: 6.427004111292168e-11
Position 1245: 2.454257792729624e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 11610: 0.9493217169857608
Position 15914: 0.9304558658137084
Position 12304: 0.8939716179253456
