Gene = EQTN
index = 503
Annotated 5SS: [  160   527  2824  4739  6121  7468 10931]
Annotated 3SS: [  400  2736  4651  6075  7407 10776 12166]
SMsplice 5SS: [  280   527  2824  4917  6121  7468 10931]
SMsplice 3SS: [  400  2736  4651  6075  7407 10776 12166]
top_k =  1000
Partition function (log Z): -0.45242844425279105

Sorted 5' Splice Sites (High to Low Probability):
Position 10931: 0.9316970062376785
Position 7468: 0.8822165485516541
Position 2824: 0.7494191033540594
Position 527: 0.7176173119414002
Position 6121: 0.7082500180809663
Position 4917: 0.45434893730834974
Position 280: 0.4537544768253965
Position 5360: 0.35183985720849886
Position 4739: 0.2923897707497728
Position 5884: 0.18579218614262305
Position 160: 0.1846866085919364
Position 196: 0.0995820292005418
Position 229: 0.08471413547256686
Position 6274: 0.08139142953949158
Position 7932: 0.06932970102112357
Position 8652: 0.05976937703997742
Position 6139: 0.04668866964403949
Position 11537: 0.03204753074970294
Position 10380: 0.028827475475177812
Position 1919: 0.02233339631062757
Position 5661: 0.014310038226125945
Position 8799: 0.013684424780558483
Position 4891: 0.013428287680960094
Position 6598: 0.013310400829730309
Position 3672: 0.013138009115905966
Position 2377: 0.009576179113467904
Position 8855: 0.009541035920490623
Position 1099: 0.009207696344255112
Position 192: 0.008115881488761608
Position 2681: 0.0067606710498465065
Position 4905: 0.006664249658996194
Position 3269: 0.006449207544501804
Position 2026: 0.0060189729745083465
Position 7628: 0.006013754531926485
Position 1568: 0.005840928652356459
Position 1999: 0.005689097600060529
Position 4758: 0.005005967062258246
Position 5373: 0.004932918494597887
Position 10003: 0.004842388647784959
Position 8658: 0.004664634781675072
Position 751: 0.004649794988008803
Position 5946: 0.004348528931770288
Position 9773: 0.003819791661901744
Position 8371: 0.003773533224180082
Position 380: 0.0032815906799665644
Position 12241: 0.002752765590164852
Position 10582: 0.0024123362725473768
Position 42: 0.002235703196334522
Position 12292: 0.0022266397927834143
Position 2068: 0.0021140501805643895
Position 11962: 0.002017752941766236
Position 1932: 0.001997718073450025
Position 11318: 0.0019528392308117207
Position 6507: 0.0014954937907986307
Position 8715: 0.0013627360705055409
Position 3943: 0.0013340866502042667
Position 7320: 0.0011266330652663287
Position 11797: 0.0009737664050010233
Position 2784: 0.0009413906050897065
Position 6242: 0.0007940274049281154
Position 814: 0.0007069008693061143
Position 540: 0.0006553325960518069
Position 2852: 0.0006434097598922028
Position 1645: 0.0006207795175768257
Position 3077: 0.0005904350474636327
Position 4785: 0.0005755811412838087
Position 3390: 0.000573863639071908
Position 8617: 0.0005524092788482552
Position 7156: 0.0004227791261762426
Position 5929: 0.0003883127222437948
Position 6490: 0.00035762539166329514
Position 11920: 0.00035412664629213745
Position 9858: 0.00030301010879677133
Position 3361: 0.0002906163268532176
Position 5710: 0.00027429120733257095
Position 5274: 0.00027341564301266123
Position 8673: 0.0002538570611088628
Position 5586: 0.0002537320350174741
Position 5121: 0.00025222195780026804
Position 2095: 0.0002401146999247186
Position 5899: 0.00023217061008443053
Position 3604: 0.00015615538000633735
Position 8078: 0.00014493193168409836
Position 1977: 0.00014421980194406653
Position 3892: 0.00014400374483110044
Position 1133: 0.00014288480899886415
Position 1983: 0.00013117373218686618
Position 2293: 0.00013114133776786252
Position 9696: 0.0001220735917329334
Position 1385: 0.00012195251113390667
Position 7545: 0.0001160562623056221
Position 2951: 0.0001061435938180549
Position 4093: 0.00010314662717805174
Position 11154: 9.96702245621999e-05
Position 1962: 9.455070926009072e-05
Position 2896: 8.501917811768944e-05
Position 4079: 8.444574460540283e-05
Position 5160: 8.013401285610059e-05
Position 3750: 6.706780485423307e-05
Position 631: 6.522236605523264e-05
Position 1633: 5.59067288119554e-05
Position 757: 4.5005775979377536e-05
Position 11753: 3.905801344088566e-05
Position 2277: 3.677867031110566e-05
Position 4046: 3.280154193132638e-05
Position 332: 1.9325377874049524e-05
Position 349: 1.4625358125092291e-05
Position 552: 1.2753566644910608e-05
Position 133: 1.1898140356847296e-05
Position 268: 8.673390146444898e-06
Position 564: 2.5346632486744023e-06
Position 1551: 2.287315983751712e-06
Position 914: 2.2571444197755136e-06
Position 946: 2.055244758038561e-06
Position 98: 1.1234375123641816e-06
Position 690: 1.1050162406622957e-06
Position 819: 8.662641487560756e-07
Position 318: 7.76848490340789e-07
Position 1175: 5.976164351545446e-07
Position 412: 5.313756884809937e-07
Position 10910: 3.714963301573477e-07
Position 10881: 3.7013270239117654e-07
Position 1783: 3.5695395560850114e-07
