Gene = SUB1
index = 1353
Annotated 5SS: [  284 56952 60053 67437]
Annotated 3SS: [56878 59929 67327 69371]
SMsplice 5SS: [  284  3365  5063  8154 39286 39542 60053 67437]
SMsplice 3SS: [ 3297  5004  8018 39195 39423 59929 67327 69371]
top_k =  1000
Partition function (log Z): -33.09872989685677

Sorted 5' Splice Sites (High to Low Probability):
Position 8154: 0.9233900785170165
Position 284: 0.8758917060650824
Position 5063: 0.6735053693668166
Position 3365: 0.6274015253083104
Position 1159: 0.3311119775513013
Position 6651: 0.32474189517991686
Position 946: 0.2928441264315274
Position 6607: 0.262462358468593
Position 14741: 0.24114244766267157
Position 12966: 0.1903722713984999
Position 6620: 0.11165967497546231
Position 6956: 0.09187263880880854
Position 1823: 0.06811071159331278
Position 7707: 0.06808132450777654
Position 345: 0.05269464337347052
Position 7737: 0.05054610486867601
Position 9173: 0.04726328376234521
Position 3445: 0.041130173618086366
Position 702: 0.039344833774569585
Position 10815: 0.03269228301483488
Position 2823: 0.028431730904517335
Position 9190: 0.020663217862062842
Position 486: 0.02053801680245342
Position 12801: 0.018800315059397277
Position 11185: 0.01167815958239911
Position 11001: 0.010032492689243363
Position 10043: 0.008747275628174952
Position 95: 0.008611562404974751
Position 4823: 0.008260864311030569
Position 3354: 0.00756096057515299
Position 14357: 0.007556429810702174
Position 7467: 0.007436163517600442
Position 1816: 0.006083578696376347
Position 414: 0.005324591877086096
Position 381: 0.005067196825509445
Position 9117: 0.0047878334345378285
Position 6898: 0.004435352480524771
Position 10944: 0.004407986292776443
Position 1497: 0.004175507656443073
Position 1577: 0.003748993762136684
Position 2962: 0.0035155899329901564
Position 299: 0.003398524036008688
Position 2057: 0.002801606464416057
Position 8838: 0.0026638959196995035
Position 1910: 0.0023409148284257862
Position 924: 0.001949539797875721
Position 117: 0.001932957119579942
Position 6398: 0.0018757303885649607
Position 10819: 0.0018207353799949942
Position 5933: 0.001705134141461989
Position 4916: 0.0016583674245357028
Position 528: 0.001385567556617142
Position 2884: 0.0010345791910991767
Position 5345: 0.000935529426337417
Position 2987: 0.0008223491490563081
